tabela,wierszy,zapytan_sql_server_src,wzmianek_slownych_server_src,zapytan_server_scripts,zapytan_migrations,wzmianek_frontend,wzmianek_scripts,pierwszy_plik_sql_server_src
ai_market_inbox,1400,2,2,0,1,1,0,server/src/routes/llm.routes.ts
financial_model_validations,1276,3,4,1,1,0,0,server/src/routes/financial-modeling.routes.ts
ai_run_events,1240,1,2,0,0,0,0,server/src/services/aiRunLedgerService.ts
ai_chat_runs,1205,1,1,0,1,0,0,server/src/services/ai/chatTraceService.ts
wave6_context_snapshots,1110,1,1,0,0,0,0,server/src/services/wave6ContextLearningService.ts
rvn_kpi_measurements,1100,12,17,4,1,1,1,server/src/routes/resultsVnext/kpi.routes.ts
ai_quality_metrics,1098,5,7,0,1,0,0,server/src/routes/ai/aiLearning.ts
ai_cost_usage,1097,1,2,0,1,0,0,server/src/services/ai/cost-monitoring.service.ts
kb_article_tags,1084,1,1,2,6,0,0,server/src/services/KnowledgeBaseService.ts
financial_statement_candidate_rows,1039,6,6,2,2,0,0,server/src/routes/finance-statements.routes.ts
financial_statement_value_evidence,1026,2,2,1,1,0,0,server/src/routes/finance-statements.routes.ts
realtime_presence,1020,1,3,0,1,0,0,server/src/services/realtimePlatformService.ts
schema_migrations,1007,3,9,15,4,0,4,server/src/scripts/g01-environment-qualification.ts
kb_article_translations,957,2,2,2,21,0,0,server/src/routes/testSupport.routes.ts
finance_legacy_usage_events,896,1,1,0,2,0,0,server/src/services/financeLegacyCutover.ts
ai_usage_logs,895,21,24,0,9,0,0,server/src/controllers/SuperAdminController.ts
v8_run_state_transitions,870,8,9,0,0,0,0,server/src/scripts/a11OperatorConsoleRealDbProof.ts
my_idea_maps,848,8,15,5,4,4,2,server/src/realtime/ideaMapAccess.ts
conversation_messages,833,15,18,2,8,0,1,server/src/routes/share.routes.ts
conversations,801,18,55,3,14,53,4,server/src/routes/share.routes.ts
canonical_inbox_items,775,3,8,0,3,1,1,server/src/routes/my-work.routes.ts
tp_migration_history,656,2,6,3,0,0,0,server/src/database/DatabaseInitializer.ts
financial_statement_line_aliases,648,1,1,0,1,0,0,server/src/services/financialStatementService.ts
kb_article_collections,629,2,2,2,8,0,0,server/src/services/KnowledgeBaseService.ts
artifact_lineage_events,611,1,3,0,1,0,0,server/src/services/lineage/artifactLineageService.ts
v8_artifact_run_audit_log,521,1,1,0,0,0,0,server/src/services/v8/artifactRegistryService.ts
tp_audit_events,473,4,8,0,0,0,0,server/src/routes/table-platform.routes.ts
tasks,453,111,235,28,25,238,23,server/src/middleware/demoGuard.middleware.ts
work_canvas_drafts,414,4,7,0,6,3,0,server/src/routes/public-artifacts.routes.ts
presentation_cards,411,2,6,1,2,0,0,server/src/controllers/ToolController.ts
document_studio_editor_audit,372,1,1,0,1,0,0,server/src/services/documentStudio/documentEditorStateRegistryDao.ts
notifications,371,16,71,10,9,104,12,server/src/Gateway.ts
financial_statement_lines,353,27,32,7,12,1,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
ie_audit_events,341,3,3,0,0,0,0,server/src/domain/initiatives-execution/postgresMaterialCommandUnitOfWork.ts
ie_command_receipts,340,1,1,0,0,0,0,server/src/domain/initiatives-execution/postgresMaterialCommandUnitOfWork.ts
ie_outbox_events,339,2,2,0,1,0,0,server/src/domain/initiatives-execution/postgresMaterialCommandUnitOfWork.ts
organizations,331,111,171,93,49,87,25,server/src/middleware/demoGuard.middleware.ts
kb_articles,329,3,3,2,24,0,0,server/src/routes/partners.routes.ts
wave5_artifact_versions,328,2,2,1,1,0,0,server/src/services/wave5ArtifactRuntimeService.ts
project_role_templates,324,2,3,0,0,0,0,server/src/routes/access.routes.ts
link_graph_edges,320,12,16,1,0,5,0,server/src/controllers/DecisionController.ts
wave5_artifacts,304,6,13,2,1,2,0,server/src/services/wave5ArtifactRuntimeService.ts
knowledge_doc_versions,291,1,2,0,1,0,0,server/src/services/vault/vaultDocumentVersionService.ts
knowledge_docs,291,26,33,3,13,4,0,server/src/database/DatabaseInitializer.ts
presentation_deck_versions,290,9,9,2,2,2,0,server/src/scripts/t01FinalOutputRealDbProof.ts
deliverables_generation_events,279,2,2,0,1,0,0,server/src/services/deliverables/deliverablesMetricsService.ts
interview_library_template_questions,269,4,6,8,10,1,0,server/src/scripts/t01InterviewRealDbProof.ts
teresa_audit_log,264,1,1,0,1,0,0,server/src/services/v8/teresaCopilotService.ts
test_support_runs,260,1,1,0,1,0,0,server/src/routes/testSupport.routes.ts
project_users,252,5,6,1,1,1,0,server/src/controllers/SuperAdminController.ts
revoked_tokens,243,6,11,1,1,0,0,server/src/middleware/auth.middleware.ts
finance_stmt_lines,238,16,22,4,5,0,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
ie_aggregate_state,238,11,16,5,1,4,3,server/src/scripts/p11CreateCapacityAnalysis.ts
interview_notifications,229,2,2,0,1,0,0,server/src/controllers/InterviewController.ts
radar_actions,218,3,4,0,0,0,0,server/src/services/radar/radarActionService.ts
task_comments,214,4,6,0,1,0,0,server/src/controllers/TaskController.ts
interview_insight_evidence_pointers,208,2,2,1,1,0,0,server/src/services/v8/interviewInsightFindingsService.ts
my_idea_map_snapshots,200,4,5,1,0,2,0,server/src/jobs/ideaMapAutoSnapshotJob.ts
decisions,198,75,255,12,21,259,20,server/src/middleware/demoGuard.middleware.ts
generated_workbook_versions,196,1,1,1,1,0,0,server/src/routes/workbook.routes.ts
financial_analysis_ratios,195,4,5,1,3,0,0,server/src/routes/economics.routes.ts
document_lifecycle_states,189,1,1,0,0,0,0,server/src/services/documentStudio/documentLifecycleRegistryDao.ts
presentation_decks,187,23,37,13,9,3,0,server/src/scripts/t01FinalOutputRealDbProof.ts
radar_ranked_signals,183,2,3,0,0,0,0,server/src/services/radar/radarInsightService.ts
slack_router_dedupe,183,1,1,0,1,0,0,server/src/services/slack/slackRouter.ts
financial_statement_validations,181,4,5,2,0,0,0,server/src/routes/finance-statements.routes.ts
rvn_kpi_scorecard_items,181,4,6,2,1,2,1,server/src/routes/resultsVnext/kpiScorecard.routes.ts
ie_initiative_card_versions,175,2,2,0,1,0,0,server/src/domain/initiatives-execution/postgresMaterialCommandUnitOfWork.ts
initiatives,173,181,387,40,72,492,73,server/src/middleware/demoGuard.middleware.ts
artifact_evidence,168,1,12,0,3,0,0,server/src/services/evidence/evidenceEnvelopeService.ts
interview_report_pack_worksheets,165,1,1,0,0,0,0,server/src/services/interviewInsightReportPackService.ts
tp_fields,158,26,30,2,0,1,0,server/src/routes/data-collection.routes.ts
ai_purpose_assignments,155,8,10,1,1,2,0,server/src/routes/llm.routes.ts
rvn_platform_resource_visibility,155,7,22,3,1,0,1,server/src/services/resultsVnext/roi/roiCaseCommands.ts
knowledge_graph_entities,143,2,2,0,2,0,0,server/src/services/knowledgeGraph/unifiedKGService.ts
radar_processed_signals,142,4,5,0,0,0,0,server/src/services/radar/radarActionService.ts
radar_raw_items,142,1,2,0,0,0,0,server/src/services/radar/radarProcessingService.ts
tp_schema_versions,142,1,1,0,0,0,0,server/src/services/tablePlatform/MetadataService.ts
rvn_kpi_definition_versions,140,12,16,3,2,4,1,server/src/routes/resultsVnext/kpi.routes.ts
rvn_kpi_definitions,140,16,21,4,2,2,1,server/src/services/resultsVnext/roi/roiBenefitEvidenceLinkCommands.ts
artifact_lineage_receipts,139,1,1,0,1,0,0,server/src/services/lineage/artifactLineageService.ts
conclusions,139,4,33,0,1,53,2,server/src/scripts/economics-gate-probe.ts
conclusion_source_packs,138,1,1,0,1,0,0,server/src/services/conclusions/ConclusionService.ts
generated_workbooks,135,6,10,3,5,7,0,server/src/routes/workbook.routes.ts
tool_sessions,132,15,26,5,7,13,0,server/src/controllers/ToolController.ts
v8_execution_runs,132,21,24,1,2,0,0,server/src/scripts/a12TemplateGovernanceRealDbProof.ts
ai_actions,129,4,10,0,0,1,0,server/src/services/aiActionExecutor.ts
ai_run_ledger,129,3,3,0,0,0,0,server/src/services/wave7ConnectorRuntimeService.ts
teresa_proposals,129,1,1,0,1,0,1,server/src/services/v8/teresaCopilotService.ts
v8_artifact_runs,129,1,4,0,3,0,0,server/src/services/v8/artifactRegistryService.ts
document_studio_schema_overlay,126,1,2,0,1,0,0,server/src/services/documentStudio/documentEditorStateRegistryDao.ts
v8_action_proposals,123,5,7,0,0,1,0,server/src/scripts/a11OperatorConsoleRealDbProof.ts
interview_assignments,118,10,12,4,11,0,1,server/src/middleware/effectiveCapability.middleware.ts
financial_statement_quality_runs,116,3,3,2,1,0,0,server/src/routes/finance-statements.routes.ts
notification_dedup,115,2,2,0,1,0,0,server/src/scripts/t01InterviewRealDbProof.ts
document_version_snapshots,113,1,3,1,1,0,0,server/src/services/documentStudio/documentVersionSnapshotRegistryDao.ts
financial_statement_source_artifacts,111,3,3,2,1,0,0,server/src/routes/finance-statements.routes.ts
decision_history,107,9,13,0,3,1,0,server/src/scripts/t01InterviewRealDbProof.ts
ie_aggregate_relations,107,3,3,3,1,0,1,server/src/domain/initiatives-execution/postgresMaterialCommandUnitOfWork.ts
financial_analysis_insights,104,5,5,1,1,0,0,server/src/routes/economics.routes.ts
work_canvas_versions,103,1,1,0,2,0,0,server/src/routes/work-canvas.routes.ts
research_session_events,101,1,1,0,0,0,0,server/src/services/researchSessionService.ts
tool_assets,93,1,2,0,2,0,0,server/src/services/ToolAssetsService.ts
interview_questions,91,9,10,3,11,0,1,server/src/scripts/t01InterviewRealDbProof.ts
tp_base_members,89,3,3,0,0,0,0,server/src/services/tablePlatform/PermissionsService.ts
partner_exam_questions,88,1,1,0,2,0,0,server/src/services/partnerCertificationService.ts
financial_statements,86,23,29,26,8,0,1,server/src/scripts/economics-gate-probe.ts
notebook_embeddings,85,1,1,0,1,0,0,server/src/services/notebookService.ts
initiative_gate_ai_events,84,0,1,0,0,0,0,
client_error_events,80,1,1,0,1,0,0,server/src/routes/client-errors.routes.ts
interview_insight_findings,80,4,5,1,1,0,0,server/src/services/demo/demoSeedService.ts
partner_commission_transactions,80,4,4,1,4,0,0,server/src/routes/partners.routes.ts
context_pack_snapshots,78,1,1,0,1,0,0,server/src/services/contextPackBuilder.ts
initiative_milestones,78,23,24,3,3,1,1,server/src/scripts/t01InterviewRealDbProof.ts
v8_context_snapshots,77,12,12,0,1,0,0,server/src/scripts/a12TemplateGovernanceRealDbProof.ts
partner_learning_modules,75,1,2,0,4,0,0,server/src/services/partnerCertificationService.ts
kb_collection_translations,74,1,1,2,8,0,0,server/src/services/KnowledgeBaseService.ts
v8_output_exports,73,4,4,0,0,0,0,server/src/routes/v8/finance.routes.ts
interview_insight_audit_log,72,4,4,0,1,0,0,server/src/routes/v8/interview.routes.ts
kb_tag_translations,72,1,1,2,6,0,0,server/src/services/KnowledgeBaseService.ts
valuation_snapshots,71,3,3,2,1,0,0,server/src/routes/economics.routes.ts
financial_ratio_snapshots,68,1,1,0,1,0,0,server/src/services/ratioAnalysisService.ts
citation_verification_logs,67,2,2,0,1,0,0,server/src/services/ai/citationVerifier.ts
financial_statement_versions,65,3,3,2,0,0,0,server/src/routes/finance-statements.routes.ts
meeting_participants,65,2,2,0,1,0,1,server/src/services/meetingService.ts
tp_views,62,6,10,1,4,1,0,server/src/services/artifacts/sheetArtifactContentAdapter.ts
consulting_templates,60,1,2,0,2,0,0,server/src/services/ConsultingTemplatesService.ts
builtin_role_permissions,59,1,1,0,3,0,0,server/src/services/permissionService.ts
interview_insight_candidates,57,1,1,0,0,0,0,server/src/services/v8/interviewInsightCandidateService.ts
notebook_pages,57,25,31,2,13,1,2,server/src/gateways/notebookCollabWs.gateway.ts
kb_category_translations,56,2,2,2,13,0,0,server/src/routes/testSupport.routes.ts
document_studio_templates,55,4,8,1,3,1,0,server/src/services/deliverableTemplateService.ts
partner_referral_clicks,54,2,2,0,5,0,0,server/src/services/partnerReferralService.ts
tp_records,54,29,33,2,3,5,0,server/src/routes/table-platform.routes.ts
tp_tables,54,30,33,2,3,15,0,server/src/routes/table-platform.ai-editor.routes.ts
work_canvas_proposals,54,2,3,0,2,0,0,server/src/routes/work-canvas.routes.ts
idea_workspace_lock_events,53,1,1,0,1,0,0,server/src/realtime/ideaMapAccess.ts
kpi_scorecard_items,53,1,3,0,1,0,0,server/src/services/results/kpiScorecardService.ts
financial_statement_ingest_runs,51,4,6,3,1,0,0,server/src/routes/finance-statements.routes.ts
interview_library_templates,51,9,12,9,10,0,1,server/src/scripts/t01InterviewRealDbProof.ts
financial_statement_value_versions,50,1,1,1,1,0,0,server/src/services/financialStatementService.ts
_z139_repair_backup_20260710,49,0,0,0,1,0,0,
ai_security_audit_log,49,1,2,0,1,0,0,server/src/services/ai/enterpriseSecurity.ts
role_permissions,49,3,5,2,14,0,0,server/src/controllers/ToolController.ts
financial_model_versions,48,6,7,1,3,1,0,server/src/routes/v8/finance.routes.ts
partner_attributions,48,6,6,1,4,0,0,server/src/routes/partners.routes.ts
ai_agent_plan_steps,47,1,4,0,1,0,1,server/src/services/ai/agentPlannerService.ts
tp_base_templates,47,8,12,1,12,8,0,server/src/services/deliverableTemplateService.ts
finance_periods,45,0,0,0,0,0,0,
initiative_status_history,45,6,10,0,4,1,1,server/src/scripts/t01InterviewRealDbProof.ts
tp_bases,45,29,31,2,0,5,0,server/src/routes/table-platform.ai-editor.routes.ts
finance_statement_source_receipts,44,4,5,2,1,0,0,server/src/services/financialStatementReadService.ts
financial_statement_extracted_sections,44,3,3,1,1,0,0,server/src/routes/finance-statements.routes.ts
v8_kpi_definitions,44,6,11,1,1,0,0,server/src/services/executionResultsBridge.ts
initiative_handoffs,41,3,3,0,0,0,1,server/src/scripts/t01InterviewRealDbProof.ts
interview_template_questions,39,0,1,0,3,0,0,
presentation_runtime_events,38,3,4,3,0,0,0,server/src/routes/presentations.routes.ts
team_members,38,7,11,1,4,0,0,server/src/routes/teams.routes.ts
partner_campaign_links,37,2,3,0,5,0,0,server/src/services/partnerReferralService.ts
finance_analysis_kpi_values,36,3,7,3,1,2,0,server/src/services/finance/canonical/kpiComputeService.ts
organization_limits,36,6,8,4,1,0,0,server/src/routes/adminP32.routes.ts
document_studio_template_audit,34,1,1,0,2,0,0,server/src/services/documentStudio/documentTemplateRegistryDao.ts
report_builder_templates,33,7,16,2,19,9,0,server/src/database/DatabaseInitializer.ts
rollout_kpis,33,3,3,0,0,0,0,server/src/routes/rollout.routes.ts
my_work_session_context,32,1,1,0,1,0,0,server/src/routes/my-work.routes.ts
virtual_worker_messages,32,2,2,0,1,0,0,server/src/services/ai/virtualWorkerInsightsEngine.ts
ai_purposes,31,3,5,1,1,2,0,server/src/routes/llm.routes.ts
feedback_items,31,6,8,0,17,0,0,server/src/routes/feedback.routes.ts
partner_payouts,31,3,4,1,4,0,0,server/src/services/partnerProgramLedgerService.ts
projects,31,114,191,35,17,130,21,server/src/middleware/demoGuard.middleware.ts
report_builder_sections,31,12,15,2,7,0,0,server/src/scripts/t01FinalOutputRealDbProof.ts
tools,31,2,129,0,16,289,21,server/src/routes/report-builder.routes.ts
budget_lines,30,9,9,1,2,0,0,server/src/routes/economics.routes.ts
initiative_kpis,30,45,58,7,11,0,0,server/src/scripts/t01InterviewRealDbProof.ts
kpi_definition_versions,30,2,10,0,1,0,0,server/src/scripts/t01InterviewRealDbProof.ts
okr_vnext_checkins,30,7,10,3,1,3,1,server/src/services/resultsVnext/okr/okrCheckInRepository.ts
okr_vnext_key_results,30,11,16,4,1,0,1,server/src/services/resultsVnext/okr/okrReflectionCommands.ts
report_builder_block_types,30,2,5,2,4,0,0,server/src/services/reportBuilderService.ts
transformation_plan_steps,30,6,6,0,0,0,0,server/src/scripts/t01InterviewRealDbProof.ts
generated_workbook_revisions,29,2,3,1,0,0,0,server/src/routes/workbook.routes.ts
v8_kpi_finance_reconciliations,29,6,7,0,1,0,0,server/src/routes/v8/results.routes.ts
interview_sessions,28,17,20,6,11,0,1,server/src/middleware/effectiveCapability.middleware.ts
kb_collections,27,2,2,2,9,0,0,server/src/services/KnowledgeBaseService.ts
partner_resources,27,1,2,0,3,0,0,server/src/routes/partners.routes.ts
permissions,27,5,111,1,14,84,9,server/src/controllers/ToolController.ts
financial_statement_repair_sessions,26,3,3,0,1,0,0,server/src/routes/finance-statements.routes.ts
ie_initiative_card_catalog,26,1,1,0,1,0,0,server/src/domain/initiatives-execution/postgresMaterialCommandUnitOfWork.ts
initiative_section_types,26,2,8,0,11,3,0,server/src/database/DatabaseInitializer.ts
legal_document_acceptances,26,2,3,0,2,0,0,server/src/services/legalService.ts
presentation_templates,26,11,15,1,8,5,0,server/src/routes/mcp.routes.ts
research_sessions,25,1,1,0,0,0,0,server/src/services/researchSessionService.ts
v8_roi_realization_entries,25,4,9,1,0,0,0,server/src/services/v8/resultsROIService.ts
kb_tags,24,1,1,2,6,0,0,server/src/services/KnowledgeBaseService.ts
partner_users,24,5,9,2,3,0,0,server/src/routes/partners.routes.ts
presentation_template_governance_events,24,0,1,0,1,0,0,
conversation_sessions,23,1,1,0,1,0,0,server/src/routes/conversations.routes.ts
initiative_kpi_mappings,23,9,11,2,3,0,0,server/src/routes/resultsDriverTree.routes.ts
interview_insights,23,21,23,8,14,0,0,server/src/middleware/effectiveCapability.middleware.ts
teresa_handoff_results,23,1,1,0,2,0,0,server/src/services/v8/teresaCopilotService.ts
z139_backup_919_work_canvas_versions,23,0,0,0,1,0,0,
feedback_items_status_history,22,1,1,0,1,0,0,server/src/routes/feedback.routes.ts
interview_insight_activity,22,2,2,0,1,0,0,server/src/controllers/InterviewController.ts
presentation_export_records,22,3,6,1,1,1,0,server/src/routes/presentations.routes.ts
report_builder_activity,22,1,2,0,1,0,0,server/src/services/reportBuilderService.ts
kb_categories,21,2,2,2,14,0,0,server/src/routes/testSupport.routes.ts
partner_payout_accounts,21,1,2,0,3,0,0,server/src/services/partnerPayoutSettingsService.ts
financial_models,20,13,29,6,4,10,0,server/src/scripts/economics-gate-probe.ts
initiative_dependencies,20,16,20,0,2,2,0,server/src/scripts/t01InterviewRealDbProof.ts
meetings,20,9,25,3,4,39,14,server/src/routes/meeting.routes.ts
partner_organizations,20,14,16,3,9,0,0,server/src/scripts/resztki-fundamentu-przelot.ts
transformation_case_audit_events,20,12,12,0,0,0,0,server/src/scripts/a04WorkerClaimContextRealDbProof.ts
ai_audit_logs,19,5,6,1,4,1,0,server/src/controllers/ai/AITrainingController.ts
notebook_ai_proposals,19,1,1,0,1,1,0,server/src/services/notebookService.ts
roi_assumptions,19,8,15,5,1,0,0,server/src/routes/resultsExtended.routes.ts
artifact_lifecycle_events,18,3,4,3,0,0,0,server/src/routes/testSupport.routes.ts
custom_prompts,18,1,3,0,0,0,0,server/src/services/demo/demoSeedService.ts
finance_analysis_kpi_catalog,18,4,6,1,3,1,0,server/src/services/finance/canonical/savedViewService.ts
finance_artifacts,18,15,22,6,5,1,0,server/src/routes/testSupport.routes.ts
finance_business_versions,18,30,35,9,15,1,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
finance_working_revisions,18,18,24,7,2,0,0,server/src/routes/testSupport.routes.ts
initiative_benefits,18,12,21,1,2,0,0,server/src/scripts/t01InterviewRealDbProof.ts
partner_learning_progress,18,2,2,0,1,0,0,server/src/routes/partners.routes.ts
tool_facilitation_sessions,18,2,3,0,3,0,0,server/src/routes/my-work.routes.ts
digitization_analyses,17,15,23,1,3,0,0,server/src/scripts/economics-gate-probe.ts
initiative_wizard_candidates,17,1,1,0,0,0,0,server/src/services/initiative/initiativeWizardService.ts
integration_providers,17,8,9,0,3,0,0,server/src/controllers/TaskController.ts
notification_types,17,1,4,0,7,0,0,server/src/services/notificationService.ts
report_definitions,17,2,7,0,6,3,0,server/src/routes/executionReports.routes.ts
valuations,17,11,23,2,5,18,0,server/src/routes/economics.routes.ts
financial_statement_upload_idempotency,16,1,1,0,3,0,0,server/src/services/financialStatementService.ts
initiative_wizard_audit_events,16,1,1,0,0,0,0,server/src/services/initiative/initiativeWizardService.ts
finance_statement_confirmation_receipts,15,1,1,1,1,0,0,server/src/services/finance/canonical/statementGovernedConfirmationService.ts
framework_entitlements,15,1,1,0,2,0,0,server/src/services/frameworkEntitlementService.ts
ie_governance_role_bindings,15,2,2,0,0,0,0,server/src/domain/initiatives-execution/postgresGovernancePolicyResolver.ts
interview_insight_handoffs,15,2,2,0,1,0,0,server/src/services/demo/demoSeedService.ts
presentation_intents,15,1,2,0,1,0,0,server/src/routes/presentations.routes.ts
radar_sources,15,3,4,0,0,0,0,server/src/services/radar/radarActionService.ts
assessments,14,40,81,10,15,72,4,server/src/scripts/t01InterviewRealDbProof.ts
finance_prediction_driver_line_map,14,1,1,0,2,0,0,server/src/services/finance/canonical/predictionAuthoringService.ts
finance_reason_codes,14,0,0,0,1,0,0,
research_evidence_graph,14,1,1,0,0,0,0,server/src/services/researchSessionService.ts
research_report_artifacts,14,1,1,0,2,0,0,server/src/services/researchSessionService.ts
status_reports,14,5,6,0,4,0,0,server/src/routes/status-reports.routes.ts
virtual_worker_knowledge_assignments,14,1,1,0,1,0,0,server/src/services/ai/virtualWorkerService.ts
wave6_memory_candidates,14,1,1,0,0,0,0,server/src/services/wave6ContextLearningService.ts
execution_action_registry,13,1,1,1,1,0,0,server/src/services/executionActionRegistryService.ts
finance_artifact_aliases,13,10,14,6,1,2,0,server/src/routes/testSupport.routes.ts
llm_providers,13,24,27,6,8,1,0,server/src/database/PostgresDatabase.ts
my_work_inbox_triage,13,2,4,1,2,0,0,server/src/routes/my-work.routes.ts
rvn_roi_assumptions,13,6,10,3,0,0,1,server/src/services/resultsVnext/roi/roiEconomicModelFreeze.ts
server_start_events,13,1,1,0,1,0,0,server/src/index.ts
wave7_connectors,13,1,3,0,1,0,0,server/src/services/wave7ConnectorRuntimeService.ts
chat_projects,12,6,6,1,4,0,0,server/src/database/DatabaseInitializer.ts
financial_statement_packs,12,14,23,14,5,6,0,server/src/routes/testSupport.routes.ts
kpi_time_series,12,13,18,3,3,0,0,server/src/scripts/agentMigrationsIdempotencyRealDbProof.ts
legal_documents,12,1,3,1,3,1,0,server/src/services/legalService.ts
llm_tier_assignments,12,4,5,1,4,0,0,server/src/controllers/ai/LLMController.ts
okr_key_results,12,3,5,1,4,0,0,server/src/routes/resultsStrategic.routes.ts
okr_vnext_objectives,12,10,15,4,1,0,1,server/src/services/resultsVnext/okr/okrReflectionCommands.ts
report_builder_reports,12,19,25,4,6,2,0,server/src/database/DatabaseInitializer.ts
settings_audit_log,12,1,1,0,2,0,0,server/src/routes/settings.routes.ts
feature_flags,11,2,3,1,2,2,0,server/src/routes/testSupport.routes.ts
interview_report_packs,11,1,1,0,0,0,0,server/src/services/interviewInsightReportPackService.ts
method_events,11,2,6,1,0,3,2,server/src/method-core/MethodEventStore.ts
ai_agent_plans,10,5,7,1,5,0,1,server/src/scripts/a04WorkerClaimContextRealDbProof.ts
api_keys,10,3,7,2,5,0,0,server/src/controllers/SuperAdminController.ts
assessment_sessions,10,5,5,2,1,0,0,server/src/scripts/t01InterviewRealDbProof.ts
document_share_link_audit,10,1,1,0,0,0,0,server/src/services/documentStudio/documentShareLinkRegistryDao.ts
teams,10,3,32,2,5,54,2,server/src/routes/teams.routes.ts
tool_facilitation_roles,10,2,3,0,1,1,0,server/src/routes/my-work.routes.ts
ai_doc_usage_log,9,1,2,0,0,0,0,server/src/services/ai/documentGovernance.ts
assessment_report_sections,9,3,3,0,1,0,1,server/src/routes/assessment-reports.routes.ts
audit_domain_events,9,4,5,0,1,1,0,server/src/services/audits/auditTrailService.ts
audit_pack_criteria,9,3,3,1,0,0,1,server/src/services/audits/packService.ts
audit_program_criteria,9,9,9,0,0,0,1,server/src/services/audits/evidenceService.ts
budget_initiative_links,9,4,6,0,2,0,0,server/src/routes/economics.routes.ts
deliverable_bundles,9,1,1,0,0,0,0,server/src/routes/deliverablesGenerations.routes.ts
partner_certifications,9,3,3,1,4,0,0,server/src/routes/partners.routes.ts
raid_items,9,25,28,8,5,5,2,server/src/scripts/t01InterviewRealDbProof.ts
virtual_worker_conversations,9,2,2,0,1,0,0,server/src/services/ai/virtualWorkerInsightsEngine.ts
ai_deep_thinking_confirms,8,0,0,0,1,0,0,
ai_user_style_profiles,8,3,3,0,2,0,0,server/src/routes/admin/ai-quality.routes.ts
ie_governance_policies,8,2,2,0,2,0,0,server/src/domain/initiatives-execution/postgresGovernancePolicyResolver.ts
interview_evidence,8,3,4,1,5,0,0,server/src/controllers/InterviewController.ts
interview_templates,8,1,2,0,3,0,0,server/src/services/interview/interviewCandidateHandoff.ts
notification_activity_log,8,1,1,0,1,0,0,server/src/services/notificationService.ts
report_agent_messages,8,1,1,0,1,0,0,server/src/services/reportAgentService.ts
task_dependencies,8,9,12,0,2,1,0,server/src/scripts/t01InterviewRealDbProof.ts
ai_market_snapshots,7,1,2,0,1,0,0,server/src/services/ai/openRouterMarketService.ts
ai_typed_actions,7,3,3,0,1,0,0,server/src/routes/my-work/manager.routes.ts
assessment_reports,7,14,16,4,7,9,2,server/src/controllers/AssessmentController.ts
budget_snapshots,7,2,2,1,2,0,0,server/src/services/budgetingService.ts
initiative_candidates,7,13,23,2,5,3,0,server/src/scripts/t01InterviewRealDbProof.ts
kpi_scorecards,7,2,4,0,1,0,0,server/src/services/results/kpiScorecardService.ts
organization_switch_log,7,1,1,0,0,0,0,server/src/routes/auth.routes.ts
roi_realized_values,7,12,19,4,3,3,0,server/src/routes/resultsExtended.routes.ts
