plik:linia	modul	kod	klasa	tekst_pl
server/src/routes/knowledge.routes.ts:877	04 Tools	KNOWLEDGE_STRATEGY_TOGGLE_FAILED	LOKALIZOWANY	Nie udało się przełączyć strategii
server/src/routes/knowledge.routes.ts:936	04 Tools	VAULT_PROJECT_ID_REQUIRED	LOKALIZOWANY	project_id wymagany dla scope=project
server/src/routes/knowledge.routes.ts:949	04 Tools	PROJECT_ACCESS_FORBIDDEN	LOKALIZOWANY	Brak dostępu do projektu
server/src/routes/knowledge.routes.ts:1051	04 Tools	KNOWLEDGE_DOCUMENT_UPLOAD_FAILED	LOKALIZOWANY	Nie udało się przesłać dokumentu
server/src/routes/knowledge.routes.ts:1107	04 Tools	PROJECT_ACCESS_FORBIDDEN	LOKALIZOWANY	Brak dostępu do projektu
server/src/routes/knowledge.routes.ts:1139	04 Tools	KNOWLEDGE_DOCUMENTS_LIST_FAILED	LOKALIZOWANY	Nie udało się pobrać dokumentów wiedzy
server/src/routes/knowledge.routes.ts:1342	04 Tools	KNOWLEDGE_VAULT_SAFES_FAILED	LOKALIZOWANY	Nie udało się pobrać listy sejfów
server/src/routes/knowledge.routes.ts:1385	04 Tools	PROJECT_ACCESS_FORBIDDEN	LOKALIZOWANY	Brak dostępu do projektu
server/src/routes/knowledge.routes.ts:1417	04 Tools	KNOWLEDGE_VAULT_FOLDERS_FAILED	LOKALIZOWANY	Nie udało się pobrać folderów
server/src/routes/knowledge.routes.ts:1451	04 Tools	VAULT_PROJECT_ID_REQUIRED	LOKALIZOWANY	projectId wymagany dla scope=project
server/src/routes/knowledge.routes.ts:1463	04 Tools	PROJECT_ACCESS_FORBIDDEN	LOKALIZOWANY	Brak dostępu do projektu
server/src/routes/knowledge.routes.ts:1483	04 Tools	KNOWLEDGE_VAULT_FOLDER_CREATE_FAILED	LOKALIZOWANY	Nie udało się utworzyć folderu
server/src/routes/knowledge.routes.ts:1515	04 Tools	KNOWLEDGE_VAULT_FOLDER_UPDATE_FAILED	LOKALIZOWANY	Nie udało się zaktualizować folderu
server/src/routes/knowledge.routes.ts:1541	04 Tools	KNOWLEDGE_VAULT_FOLDER_DELETE_FAILED	LOKALIZOWANY	Nie udało się usunąć folderu
server/src/routes/knowledge.routes.ts:1627	04 Tools	VAULT_VERSION_NUMBER_INVALID	LOKALIZOWANY	versionNumber musi być dodatnią liczbą całkowitą
server/src/routes/knowledge.routes.ts:1683	04 Tools	VAULT_EXPECTED_VERSION_INVALID	LOKALIZOWANY	expectedVersion musi być liczbą całkowitą
server/src/routes/knowledge.routes.ts:1699	04 Tools	VAULT_VERSION_CONFLICT	LOKALIZOWANY	Dokument zmienił się w międzyczasie — odśwież i spróbuj ponownie
server/src/routes/knowledge.routes.ts:1779	04 Tools	VAULT_VERSION_CREATE_FAILED	LOKALIZOWANY	Nie udało się zapisać nowej wersji dokumentu
server/src/routes/knowledge.routes.ts:1806	04 Tools	VAULT_VERSION_NUMBER_INVALID	LOKALIZOWANY	versionNumber musi być dodatnią liczbą całkowitą
server/src/routes/knowledge.routes.ts:1824	04 Tools	VAULT_EXPECTED_VERSION_INVALID	LOKALIZOWANY	expectedVersion musi być liczbą całkowitą
server/src/routes/knowledge.routes.ts:1839	04 Tools	VAULT_VERSION_CONFLICT	LOKALIZOWANY	Dokument zmienił się w międzyczasie — odśwież i spróbuj ponownie
server/src/routes/knowledge.routes.ts:1900	04 Tools	VAULT_VERSION_RESTORE_FAILED	LOKALIZOWANY	Nie udało się przywrócić wersji dokumentu
server/src/routes/knowledge.routes.ts:1958	04 Tools	VAULT_FOLDER_SCOPE_MISMATCH	LOKALIZOWANY	Folder należy do innego poziomu sejfu
server/src/routes/knowledge.routes.ts:1968	04 Tools	VAULT_FOLDER_PROJECT_MISMATCH	LOKALIZOWANY	Folder należy do innego projektu
server/src/routes/knowledge.routes.ts:2014	04 Tools	VAULT_SCOPE_INVALID	LOKALIZOWANY	scope musi być jednym z: user, project, organization
server/src/routes/knowledge.routes.ts:2059	04 Tools	VAULT_SCOPE_INVALID	LOKALIZOWANY	scope musi być jednym z: user, project, organization
server/src/routes/knowledge.routes.ts:2076	04 Tools	VAULT_PROJECT_ID_REQUIRED	LOKALIZOWANY	project_id wymagany dla scope=project
server/src/routes/knowledge.routes.ts:2089	04 Tools	PROJECT_ACCESS_FORBIDDEN	LOKALIZOWANY	Brak dostępu do projektu
server/src/routes/megatrend.routes.ts:78	04 Tools	MEGATREND_BASELINE_FAILED	LOKALIZOWANY	Nie udało się pobrać megatrendów
server/src/routes/megatrend.routes.ts:107	04 Tools	MEGATREND_RADAR_FAILED	LOKALIZOWANY	Nie udało się pobrać danych radaru
server/src/routes/megatrend.routes.ts:138	04 Tools	MEGATREND_DETAIL_FAILED	LOKALIZOWANY	Nie udało się pobrać szczegółów trendu
server/src/routes/megatrend.routes.ts:172	04 Tools	MEGATREND_CUSTOM_CREATE_FAILED	LOKALIZOWANY	Nie udało się utworzyć trendu
server/src/routes/megatrend.routes.ts:208	04 Tools	MEGATREND_CUSTOM_UPDATE_FAILED	LOKALIZOWANY	Nie udało się zaktualizować trendu
server/src/routes/assessment-reports.routes.ts:696	05 Assessment	ASSESSMENT_REPORTS_FETCH_REPORTS_FAILED	LOKALIZOWANY	Nie udało się pobrać raportów
server/src/routes/assessment-reports.routes.ts:743	05 Assessment	ASSESSMENT_REPORTS_FETCH_TEMPLATES_FAILED	LOKALIZOWANY	Nie udało się pobrać szablonów
server/src/routes/assessment-reports.routes.ts:851	05 Assessment	ASSESSMENT_REPORTS_START_GENERATION_FAILED	LOKALIZOWANY	Nie udało się rozpocząć generowania
server/src/routes/assessment-reports.routes.ts:959	05 Assessment	ASSESSMENT_REPORTS_CREATE_REPORT_FAILED	LOKALIZOWANY	Nie udało się utworzyć raportu
server/src/routes/assessment-reports.routes.ts:1049	05 Assessment	ASSESSMENT_REPORTS_FETCH_REPORT_FAILED	LOKALIZOWANY	Nie udało się pobrać raportu
server/src/routes/assessment-reports.routes.ts:1214	05 Assessment	ASSESSMENT_REPORTS_GENERATE_DRD_REPORT_FAILED	LOKALIZOWANY	Nie udało się wygenerować raportu DRD
server/src/routes/assessment-reports.routes.ts:1329	05 Assessment	ASSESSMENT_CONCLUSION_NO_EXECUTIVE_SUMMARY	LOKALIZOWANY	Ten raport nie ma jeszcze streszczenia wykonawczego — nie ma z czego zbudowac wniosku.
server/src/routes/assessment-reports.routes.ts:1346	05 Assessment	ASSESSMENT_CONCLUSION_PERSIST_FAILED	LOKALIZOWANY	Nie udalo sie zapisac wniosku
server/src/routes/assessment-reports.routes.ts:1381	05 Assessment	ASSESSMENT_REPORTS_GENERATE_CONCLUSION_FAILED	LOKALIZOWANY	Nie udalo sie wygenerowac wniosku z oceny
server/src/routes/assessment-reports.routes.ts:1654	05 Assessment	ASSESSMENT_REPORTS_FETCH_SECTIONS_FAILED	LOKALIZOWANY	Nie udało się pobrać sekcji
server/src/routes/assessment-reports.routes.ts:1730	05 Assessment	ASSESSMENT_REPORTS_CREATE_SECTION_FAILED	LOKALIZOWANY	Nie udało się utworzyć sekcji
server/src/routes/assessment-reports.routes.ts:1800	05 Assessment	ASSESSMENT_REPORTS_UPDATE_SECTION_FAILED	LOKALIZOWANY	Nie udało się zaktualizować sekcji
server/src/routes/assessment-reports.routes.ts:1831	05 Assessment	ASSESSMENT_REPORTS_DELETE_SECTION_FAILED	LOKALIZOWANY	Nie udało się usunąć sekcji
server/src/routes/assessment-reports.routes.ts:1872	05 Assessment	ASSESSMENT_REPORTS_REORDER_SECTIONS_FAILED	LOKALIZOWANY	Nie udało się zmienić kolejności sekcji
server/src/routes/assessment-reports.routes.ts:2037	05 Assessment	ASSESSMENT_REPORTS_FETCH_HISTORY_FAILED	LOKALIZOWANY	Nie udało się pobrać historii
server/src/routes/assessment-reports.routes.ts:2198	05 Assessment	ASSESSMENT_REPORTS_FETCH_REPORT_FAILED	LOKALIZOWANY	Nie udało się pobrać raportu
server/src/routes/assessment-reports.routes.ts:2253	05 Assessment	ASSESSMENT_REPORTS_UPDATE_REPORT_FAILED	LOKALIZOWANY	Nie udało się zaktualizować raportu
server/src/routes/assessment-reports.routes.ts:2309	05 Assessment	ASSESSMENT_REPORTS_DELETE_REPORT_FAILED	LOKALIZOWANY	Nie udało się usunąć raportu
server/src/routes/assessment-reports.routes.ts:2347	05 Assessment	ASSESSMENT_REPORTS_FINALIZE_REPORT_FAILED	LOKALIZOWANY	Nie udało się sfinalizować raportu
server/src/routes/assessment-reports.routes.ts:2461	05 Assessment	ASSESSMENT_REPORTS_APPROVE_REPORT_FAILED	LOKALIZOWANY	Nie udało się zatwierdzić raportu
server/src/routes/assessment-reports.routes.ts:2534	05 Assessment	ASSESSMENT_REPORTS_REJECT_REPORT_FAILED	LOKALIZOWANY	Nie udało się odrzucić raportu
server/src/routes/assessment-reports.routes.ts:2581	05 Assessment	ASSESSMENT_REPORTS_SEND_BACK_REPORT_FAILED	LOKALIZOWANY	Nie udało się odesłać raportu
server/src/routes/assessment-reports.routes.ts:2639	05 Assessment	ASSESSMENT_REPORTS_UTILIZE_REPORT_FAILED	LOKALIZOWANY	Nie udało się wykorzystać raportu
server/src/routes/assessment-reports.routes.ts:2686	05 Assessment	ASSESSMENT_REPORTS_EXPORT_REPORT_FAILED	LOKALIZOWANY	Nie udało się wyeksportować raportu
server/src/routes/assessment-reports.routes.ts:2733	05 Assessment	ASSESSMENT_REPORTS_EXPORT_REPORT_FAILED	LOKALIZOWANY	Nie udało się wyeksportować raportu
server/src/routes/assessment-reports.routes.ts:2796	05 Assessment	ASSESSMENT_REPORTS_EXPORT_REPORT_FAILED	LOKALIZOWANY	Nie udało się wyeksportować raportu
server/src/routes/assessment-reports.routes.ts:3070	05 Assessment	ASSESSMENT_REPORTS_GENERATE_DECK_FAILED	LOKALIZOWANY	Nie udało się wygenerować prezentacji
server/src/routes/assessment-reports.routes.ts:3184	05 Assessment	ASSESSMENT_NOT_FOUND	LOKALIZOWANY	Nie znaleziono oceny
server/src/routes/assessment-reports.routes.ts:3193	05 Assessment	ASSESSMENT_EXPORT_FAILED	LOKALIZOWANY	Nie udało się wygenerować pliku z oceny
server/src/routes/assessment-workflow-v2.routes.ts:129	05 Assessment	ASSESSMENT_WORKFLOW_V2_EVALUATE_PERMISSIONS_FAILED	LOKALIZOWANY	Nie udało się ocenić uprawnień
server/src/routes/assessment-workflow-v2.routes.ts:172	05 Assessment	ASSESSMENT_WORKFLOW_V2_EVALUATE_PERMISSIONS_FAILED	LOKALIZOWANY	Nie udało się ocenić uprawnień
server/src/routes/assessment-workflow-v2.routes.ts:248	05 Assessment	ASSESSMENT_WORKFLOW_V2_SEARCH_USERS_FAILED	LOKALIZOWANY	Nie udało się wyszukać użytkowników
server/src/routes/assessment-workflow-v2.routes.ts:418	05 Assessment	ASSESSMENT_WORKFLOW_V2_LIST_REPORT_VERSIONS_FAILED	LOKALIZOWANY	Nie udało się pobrać listy wersji raportu
server/src/routes/assessment-workflow-v2.routes.ts:473	05 Assessment	ASSESSMENT_WORKFLOW_V2_GET_USER_ROLE_FAILED	LOKALIZOWANY	Nie udało się pobrać roli użytkownika
server/src/routes/assessment-workflow-v2.routes.ts:511	05 Assessment	ASSESSMENT_WORKFLOW_V2_GET_ROLES_FAILED	LOKALIZOWANY	Nie udało się pobrać ról
server/src/routes/assessment-workflow-v2.routes.ts:656	05 Assessment	ASSESSMENT_WORKFLOW_V2_BUILD_ELIGIBILITY_FAILED	LOKALIZOWANY	Nie udało się obliczyć kwalifikowalności
server/src/routes/assessment-workflow-v2.routes.ts:760	05 Assessment	ASSESSMENT_WORKFLOW_V2_GET_ACCESS_REQUESTS_FAILED	LOKALIZOWANY	Nie udało się pobrać wniosków o dostęp
server/src/routes/assessment-workflow-v2.routes.ts:1159	05 Assessment	ASSESSMENT_WORKFLOW_V2_LIST_RUNS_FAILED	LOKALIZOWANY	Nie udało się pobrać listy przebiegów
server/src/routes/assessment-workflow-v2.routes.ts:1195	05 Assessment	ASSESSMENT_WORKFLOW_V2_FETCH_RUN_FAILED	LOKALIZOWANY	Nie udało się pobrać przebiegu
server/src/routes/assessment-workflow-v2.routes.ts:1237	05 Assessment	ASSESSMENT_WORKFLOW_V2_LIST_RUN_INITIATIVES_FAILED	LOKALIZOWANY	Nie udało się pobrać listy inicjatyw przebiegu
server/src/routes/assessment-workflow-v2.routes.ts:1270	05 Assessment	ASSESSMENT_WORKFLOW_V2_SUBMIT_DRAFTS_FAILED	LOKALIZOWANY	Nie udało się przesłać szkiców
server/src/routes/assessment-workflow-v2.routes.ts:1328	05 Assessment	ASSESSMENT_WORKFLOW_V2_LIST_BATCHES_FAILED	LOKALIZOWANY	Nie udało się pobrać listy partii
server/src/routes/assessment-workflow-v2.routes.ts:1581	05 Assessment	ASSESSMENT_WORKFLOW_V2_FETCH_GATE_DECISIONS_FAILED	LOKALIZOWANY	Nie udało się pobrać decyzji bramkowych
server/src/routes/assessment-workflow-v2.routes.ts:1702	05 Assessment	ASSESSMENT_WORKFLOW_V2_UPDATE_GATE_DECISION_FAILED	LOKALIZOWANY	Nie udało się zaktualizować decyzji bramkowej
server/src/routes/assessment-workflow-v2.routes.ts:1873	05 Assessment	ASSESSMENT_WORKFLOW_V2_FETCH_BENCHMARK_COMPARISON_FAILED	LOKALIZOWANY	Nie udało się pobrać porównania benchmarkowego
server/src/routes/assessment/assessment-ai.routes.ts:39	05 Assessment	ASSESSMENT_NOT_FOUND	LOKALIZOWANY	Nie znaleziono oceny o podanym identyfikatorze.
server/src/routes/assessment/assessment-ai.routes.ts:184	05 Assessment	ASSESSMENT_AI_GENERATE_SUGGESTION_FAILED	LOKALIZOWANY	Nie udało się wygenerować sugestii
server/src/routes/assessment/assessment-ai.routes.ts:210	05 Assessment	ASSESSMENT_AI_GENERATE_EVIDENCE_SUGGESTIONS_FAILED	LOKALIZOWANY	Nie udało się wygenerować sugestii dowodów
server/src/routes/assessment/assessment-ai.routes.ts:240	05 Assessment	ASSESSMENT_AI_GENERATE_TARGET_SUGGESTION_FAILED	LOKALIZOWANY	Nie udało się wygenerować sugestii celu
server/src/routes/assessment/assessment-ai.routes.ts:271	05 Assessment	ASSESSMENT_AI_CORRECT_TEXT_FAILED	LOKALIZOWANY	Nie udało się poprawić tekstu
server/src/routes/assessment/assessment-ai.routes.ts:301	05 Assessment	ASSESSMENT_AI_AUTOCOMPLETE_FAILED	LOKALIZOWANY	Nie udało się uzupełnić automatycznie
server/src/routes/assessment/assessment-ai.routes.ts:335	05 Assessment	ASSESSMENT_AI_VALIDATE_FIELD_FAILED	LOKALIZOWANY	Nie udało się zweryfikować pola
server/src/routes/assessment/assessment-ai.routes.ts:365	05 Assessment	ASSESSMENT_AI_VALIDATE_CONSISTENCY_FAILED	LOKALIZOWANY	Nie udało się zweryfikować spójności
server/src/routes/assessment/assessment-ai.routes.ts:400	05 Assessment	ASSESSMENT_AI_GET_GUIDANCE_FAILED	LOKALIZOWANY	Nie udało się pobrać wskazówek
server/src/routes/assessment/assessment-ai.routes.ts:429	05 Assessment	ASSESSMENT_AI_GENERATE_GAP_ANALYSIS_FAILED	LOKALIZOWANY	Nie udało się wygenerować analizy luk
server/src/routes/assessment/assessment-ai.routes.ts:459	05 Assessment	ASSESSMENT_AI_GENERATE_INSIGHTS_FAILED	LOKALIZOWANY	Nie udało się wygenerować wniosków
server/src/routes/assessment/assessment-ai.routes.ts:485	05 Assessment	ASSESSMENT_AI_GET_CLARIFYING_QUESTION_FAILED	LOKALIZOWANY	Nie udało się pobrać pytania doprecyzowującego
server/src/routes/assessment/assessment-ai.routes.ts:524	05 Assessment	ASSESSMENT_AI_GENERATE_EXECUTIVE_SUMMARY_FAILED	LOKALIZOWANY	Nie udało się wygenerować podsumowania zarządczego
server/src/routes/assessment/assessment-ai.routes.ts:562	05 Assessment	ASSESSMENT_AI_GENERATE_STAKEHOLDER_VIEW_FAILED	LOKALIZOWANY	Nie udało się wygenerować widoku dla interesariuszy
server/src/routes/assessment/assessment-ai.routes.ts:600	05 Assessment	ASSESSMENT_AI_GENERATE_BENCHMARK_COMMENTARY_FAILED	LOKALIZOWANY	Nie udało się wygenerować komentarza benchmarkowego
server/src/routes/assessment/assessment-ai.routes.ts:638	05 Assessment	ASSESSMENT_AI_GENERATE_INITIATIVES_FAILED	LOKALIZOWANY	Nie udało się wygenerować inicjatyw
server/src/routes/assessment/assessment-ai.routes.ts:668	05 Assessment	ASSESSMENT_AI_PRIORITIZE_INITIATIVES_FAILED	LOKALIZOWANY	Nie udało się ustalić priorytetów inicjatyw
server/src/routes/assessment/assessment-ai.routes.ts:703	05 Assessment	ASSESSMENT_AI_ESTIMATE_ROI_FAILED	LOKALIZOWANY	Nie udało się oszacować ROI
server/src/routes/assessment/assessment-ai.routes.ts:731	05 Assessment	ASSESSMENT_AI_GET_QUICK_ACTIONS_FAILED	LOKALIZOWANY	Nie udało się pobrać szybkich akcji
server/src/routes/assessment/assessment-ai.routes.ts:757	05 Assessment	ASSESSMENT_AI_GET_CONTEXTUAL_HELP_FAILED	LOKALIZOWANY	Nie udało się pobrać pomocy kontekstowej
server/src/routes/assessment/assessment-ai.routes.ts:788	05 Assessment	ASSESSMENT_AI_FILL_MISSING_FIELDS_FAILED	LOKALIZOWANY	Nie udało się uzupełnić brakujących pól
server/src/routes/assessment/assessment-ai.routes.ts:819	05 Assessment	ASSESSMENT_AI_REVIEW_JUSTIFICATIONS_FAILED	LOKALIZOWANY	Nie udało się zweryfikować uzasadnień
server/src/routes/assessment/assessment-ai.routes.ts:858	05 Assessment	ASSESSMENT_AI_GENERATE_FULL_REPORT_FAILED	LOKALIZOWANY	Nie udało się wygenerować pełnego raportu
server/src/routes/assessment/assessment-ai.routes.ts:900	05 Assessment	ASSESSMENT_AI_GENERATE_STAKEHOLDER_REPORT_FAILED	LOKALIZOWANY	Nie udało się wygenerować raportu dla interesariuszy
server/src/routes/assessment/assessment-ai.routes.ts:938	05 Assessment	ASSESSMENT_AI_GENERATE_BENCHMARK_REPORT_FAILED	LOKALIZOWANY	Nie udało się wygenerować raportu benchmarkowego
server/src/routes/assessment/assessment-ai.routes.ts:976	05 Assessment	ASSESSMENT_AI_GENERATE_INITIATIVE_PLAN_FAILED	LOKALIZOWANY	Nie udało się wygenerować planu inicjatywy
server/src/routes/assessment/assessment-ai.routes.ts:1017	05 Assessment	ASSESSMENT_AI_GET_REPORT_TYPES_FAILED	LOKALIZOWANY	Nie udało się pobrać typów raportów
server/src/routes/assessment/assessment-hub.routes.ts:175	05 Assessment	ASSESSMENT_HUB_FETCH_ASSESSMENTS_FAILED	LOKALIZOWANY	Nie udało się pobrać ocen
server/src/routes/assessment/assessment-hub.routes.ts:252	05 Assessment	ASSESSMENT_HUB_FETCH_ASSESSMENTS_FAILED	LOKALIZOWANY	Nie udało się pobrać ocen
server/src/routes/assessment/assessment-hub.routes.ts:366	05 Assessment	ASSESSMENT_HUB_FETCH_ASSESSMENT_FAILED	LOKALIZOWANY	Nie udało się pobrać oceny
server/src/routes/assessment/assessment-hub.routes.ts:415	05 Assessment	ASSESSMENT_HUB_CREATE_ASSESSMENT_FAILED	LOKALIZOWANY	Nie udało się utworzyć oceny
server/src/routes/assessment/assessment-hub.routes.ts:452	05 Assessment	ASSESSMENT_HUB_UPDATE_STATUS_FAILED	LOKALIZOWANY	Nie udało się zaktualizować statusu
server/src/routes/assessment/assessment-hub.routes.ts:518	05 Assessment	ASSESSMENT_HUB_DELETE_ASSESSMENT_FAILED	LOKALIZOWANY	Nie udało się usunąć oceny
server/src/routes/assessment/assessment-workflow.routes.ts:242	05 Assessment	ASSESSMENT_WORKFLOW_GET_WORKFLOW_STATUS_FAILED	LOKALIZOWANY	Nie udało się pobrać statusu przepływu pracy
server/src/routes/assessment/assessment-workflow.routes.ts:314	05 Assessment	ASSESSMENT_WORKFLOW_INITIALIZE_WORKFLOW_FAILED	LOKALIZOWANY	Nie udało się zainicjować przepływu pracy
server/src/routes/assessment/assessment-workflow.routes.ts:413	05 Assessment	ASSESSMENT_WORKFLOW_SUBMIT_FOR_REVIEW_FAILED	LOKALIZOWANY	Nie udało się przesłać do recenzji
server/src/routes/assessment/assessment-workflow.routes.ts:501	05 Assessment	ASSESSMENT_WORKFLOW_APPROVE_FAILED	LOKALIZOWANY	Nie udało się zatwierdzić
server/src/routes/assessment/assessment-workflow.routes.ts:576	05 Assessment	ASSESSMENT_WORKFLOW_REJECT_FAILED	LOKALIZOWANY	Nie udało się odrzucić
server/src/routes/assessment/assessment-workflow.routes.ts:630	05 Assessment	ASSESSMENT_WORKFLOW_GET_VERSIONS_FAILED	LOKALIZOWANY	Nie udało się pobrać wersji
server/src/routes/assessment/assessment-workflow.routes.ts:739	05 Assessment	ASSESSMENT_WORKFLOW_CREATE_ASSESSMENT_VERSION_FAILED	LOKALIZOWANY	Nie udało się utworzyć wersji oceny
server/src/routes/assessment/assessment-workflow.routes.ts:793	05 Assessment	ASSESSMENT_WORKFLOW_DIFF_ASSESSMENT_VERSIONS_FAILED	LOKALIZOWANY	Nie udało się porównać wersji oceny
server/src/routes/assessment/assessment-workflow.routes.ts:856	05 Assessment	ASSESSMENT_WORKFLOW_GET_HISTORY_FAILED	LOKALIZOWANY	Nie udało się pobrać historii
server/src/routes/assessment/assessment-workflow.routes.ts:936	05 Assessment	ASSESSMENT_WORKFLOW_RESTORE_VERSION_FAILED	LOKALIZOWANY	Nie udało się przywrócić wersji
server/src/routes/assessment/assessment-workflow.routes.ts:1002	05 Assessment	ASSESSMENT_WORKFLOW_GET_PENDING_REVIEWS_FAILED	LOKALIZOWANY	Nie udało się pobrać oczekujących recenzji
server/src/routes/assessment/assessment-workflow.routes.ts:1039	05 Assessment	ASSESSMENT_WORKFLOW_START_REVIEW_FAILED	LOKALIZOWANY	Nie udało się rozpocząć recenzji
server/src/routes/assessment/assessment-workflow.routes.ts:1119	05 Assessment	ASSESSMENT_WORKFLOW_SUBMIT_REVIEW_FAILED	LOKALIZOWANY	Nie udało się przesłać recenzji
server/src/routes/assessment/assessment-workflow.routes.ts:1228	05 Assessment	ASSESSMENT_WORKFLOW_GET_ACTIVITY_LOGS_FAILED	LOKALIZOWANY	Nie udało się pobrać dziennika aktywności
server/src/routes/assessment/assessment-workflow.routes.ts:1283	05 Assessment	ASSESSMENT_WORKFLOW_LOG_ACTIVITY_FAILED	LOKALIZOWANY	Nie udało się zapisać aktywności
server/src/routes/assessment/assessment-workflow.routes.ts:1931	05 Assessment	ASSESSMENT_WORKFLOW_GET_ACCESS_REQUESTS_FAILED	LOKALIZOWANY	Nie udało się pobrać wniosków o dostęp
server/src/routes/assessment/assessment-workflow.routes.ts:2160	05 Assessment	ASSESSMENT_WORKFLOW_CANCEL_ACCESS_REQUEST_FAILED	LOKALIZOWANY	Nie udało się anulować wniosku o dostęp
server/src/routes/initiativeMaterialize.routes.ts:73	06 Initiatives	INITIATIVE_MATERIALIZE_EMPTY_PORTFOLIO	LOKALIZOWANY	Portfel jest pusty lub generacja materiału nie powiodła się.
server/src/routes/initiativeMaterialize.routes.ts:110	06 Initiatives	INITIATIVE_MATERIALIZE_FAILED	LOKALIZOWANY	Nie udało się wygenerować materiału (brak inicjatywy lub dane niewystarczające).
server/src/routes/economics.routes.ts:118	09 Finance	FINANCE_STORAGE_UNAVAILABLE	LOKALIZOWANY	Ta część Finance nie ma jeszcze zaplecza w tej bazie. Nic nie zostało zapisane — spróbuj ponownie po udostępnieniu magaz
server/src/routes/economics.routes.ts:633	09 Finance	ANALYSES_READ_FAILED	LOKALIZOWANY	Nie udało się wczytać listy analiz. To błąd odczytu, nie pusta lista.
server/src/routes/economics.routes.ts:1660	09 Finance	ROI_RECONCILIATION_STORAGE_UNAVAILABLE	LOKALIZOWANY	Nie udało się sprawdzić powiązanego ROI Case — nic nie zostało zapisane, 
server/src/routes/economics.routes.ts:1698	09 Finance	RESULTS_ACTUAL_SOURCE_REQUIRED	LOKALIZOWANY	Wartość rzeczywista pozostaje niezmieniona. Opublikuj snapshot Actual w Results 
