plik|linia|typ|obiekt|istnieje_na_stagingu
665_v6_interview_templates_foundation.sql|70|DML|UPDATE interview_library_templates|n/d(DML)
665_v6_interview_templates_foundation.sql|78|DML|UPDATE interview_library_templates|n/d(DML)
665_v6_interview_templates_foundation.sql|90|DML|UPDATE interview_library_templates|n/d(DML)
665_v6_interview_templates_foundation.sql|103|DML|UPDATE interview_library_templates|n/d(DML)
665_v6_interview_templates_foundation.sql|108|DML|UPDATE interview_library_template_questions|n/d(DML)
665_v6_interview_templates_foundation.sql|118|DML|UPDATE interview_library_template_questions|n/d(DML)
666_v6_interview_runtime_answers.sql|7|COLUMN|interview_questions.answer_type|TAK
666_v6_interview_runtime_answers.sql|10|COLUMN|interview_questions.is_required|TAK
666_v6_interview_runtime_answers.sql|13|COLUMN|interview_sessions.runtime_mode_default|TAK
666_v6_interview_runtime_answers.sql|16|COLUMN|interview_questions.expected_answer_shape|TAK
666_v6_interview_runtime_answers.sql|19|COLUMN|interview_questions.allow_voice|TAK
666_v6_interview_runtime_answers.sql|22|COLUMN|interview_questions.allow_file_upload|TAK
666_v6_interview_runtime_answers.sql|25|COLUMN|interview_questions.allow_url|TAK
666_v6_interview_runtime_answers.sql|28|COLUMN|interview_questions.allow_context_note|TAK
666_v6_interview_runtime_answers.sql|31|COLUMN|interview_questions.answer_mode|TAK
666_v6_interview_runtime_answers.sql|34|COLUMN|interview_questions.answer_payload|TAK
666_v6_interview_runtime_answers.sql|37|COLUMN|interview_questions.context_note|TAK
666_v6_interview_runtime_answers.sql|40|COLUMN|interview_questions.voice_transcript|TAK
666_v6_interview_runtime_answers.sql|43|COLUMN|interview_questions.voice_transcript_status|TAK
666_v6_interview_runtime_answers.sql|46|COLUMN|interview_questions.voice_audio_evidence_id|TAK
666_v6_interview_runtime_answers.sql|49|COLUMN|interview_questions.source_template_question_id|TAK
666_v6_interview_runtime_answers.sql|52|COLUMN|interview_questions.answer_knowledge_doc_id|TAK
666_v6_interview_runtime_answers.sql|55|COLUMN|interview_questions.context_note_knowledge_doc_id|TAK
666_v6_interview_runtime_answers.sql|58|COLUMN|interview_evidence.evidence_role|TAK
666_v6_interview_runtime_answers.sql|61|COLUMN|interview_evidence.transcript_text|TAK
666_v6_interview_runtime_answers.sql|64|COLUMN|interview_evidence.ingest_to_knowledge|TAK
666_v6_interview_runtime_answers.sql|83|COLUMN|interview_evidence.knowledge_document_id|TAK
666_v6_interview_runtime_answers.sql|86|DML|UPDATE interview_questions|n/d(DML)
666_v6_interview_runtime_answers.sql|94|DML|UPDATE interview_questions|n/d(DML)
666_v6_interview_runtime_answers.sql|99|DML|UPDATE interview_questions|n/d(DML)
666_v6_interview_runtime_answers.sql|104|DML|UPDATE interview_evidence|n/d(DML)
666_v6_interview_runtime_answers.sql|109|DML|UPDATE interview_evidence|n/d(DML)
666_v6_interview_runtime_answers.sql|113|DML|UPDATE interview_sessions|n/d(DML)
