test_file	rc	passed_assertions	failed_assertions	failed_suite_before_collection	total_assertions	seconds	base_blob	candidate_blob	base_relation
tests/unit/views/superadmin/ContractManagementView.honesty.test.tsx	0	6	0	0	6	1.58	3aa3c48c4b649811055facd1d456cb37c97b867a	3aa3c48c4b649811055facd1d456cb37c97b867a	IDENTICAL
tests/unit/views/superadmin/CustomerAnalyticsCompliance.honesty.test.tsx	0	4	0	0	4	1.35	b18d7e3cbde26143cbe848921d8c384099a8ef55	b18d7e3cbde26143cbe848921d8c384099a8ef55	IDENTICAL
tests/unit/views/superadmin/CustomerAnalyticsView.honesty.test.tsx	0	3	0	0	3	1.38	d457ac1248acfd20c0abb61898edd4c3a22d7ecc	d457ac1248acfd20c0abb61898edd4c3a22d7ecc	IDENTICAL
tests/unit/views/superadmin/CustomerAutomationView.honesty.test.tsx	0	6	0	0	6	1.56	187f781a30a390c590fa2f92801d991691bdfc61	187f781a30a390c590fa2f92801d991691bdfc61	IDENTICAL
tests/unit/views/superadmin/CustomerCommunicationView.honesty.test.tsx	0	7	0	0	7	1.73	6436d067df498fccc5c523b48a17f72b9d10376e	6436d067df498fccc5c523b48a17f72b9d10376e	IDENTICAL
tests/unit/views/superadmin/CustomerComplianceView.honesty.test.tsx	0	3	0	0	3	1.32	6b35ba0d42ff8078662669154d4aa824f128fd7e	6b35ba0d42ff8078662669154d4aa824f128fd7e	IDENTICAL
tests/unit/views/superadmin/CustomerHealthView.honesty.test.tsx	0	5	0	0	5	1.14	2eac027ee4828264221d986e0096828494f899e2	2eac027ee4828264221d986e0096828494f899e2	IDENTICAL
tests/unit/views/superadmin/CustomerLifecycleView.honesty.test.tsx	0	6	0	0	6	1.54	10f88d473b4472df0943ce2fc159734be05f8d8f	10f88d473b4472df0943ce2fc159734be05f8d8f	IDENTICAL
tests/unit/views/superadmin/CustomerSuccessNotesView.honesty.test.tsx	0	8	0	0	8	1.32	165623f34d616fd8a2caaa334ee842de3af0a6c7	165623f34d616fd8a2caaa334ee842de3af0a6c7	IDENTICAL
tests/unit/views/superadmin/CustomerSuccessPlaybooksView.honesty.test.tsx	0	6	0	0	6	1.59	f4daafc756c31b963a71ef42b780497c071c526f	f4daafc756c31b963a71ef42b780497c071c526f	IDENTICAL
tests/unit/views/superadmin/DLPView.honesty.test.tsx	0	12	0	0	12	2.52	1a03a22f7cceb85c2179b506231ec7f0f2477d46	1a03a22f7cceb85c2179b506231ec7f0f2477d46	IDENTICAL
tests/unit/views/superadmin/DeviceManagementView.honesty.test.tsx	0	5	0	0	5	1.77	597acc8f92bee7c548fff47e1d246d3abd6a01e1	597acc8f92bee7c548fff47e1d246d3abd6a01e1	IDENTICAL
tests/unit/views/superadmin/DocumentsRAGTab.honesty.test.tsx	0	3	0	0	3	1.43	bbd4e512caea9f6404a6e71d930fb1580662f4db	bbd4e512caea9f6404a6e71d930fb1580662f4db	IDENTICAL
tests/unit/views/superadmin/GlobalSecurityPostureView.honesty.test.tsx	0	1	0	0	1	1.1	2324e8e51f689d5008aacb4b9c14103ea9401fe5	2324e8e51f689d5008aacb4b9c14103ea9401fe5	IDENTICAL
tests/unit/views/superadmin/InvoiceCenterView.honesty.test.tsx	0	2	0	0	2	1.53	420847c849dd923bfd73ebcb38be544b0698b77e	420847c849dd923bfd73ebcb38be544b0698b77e	IDENTICAL
tests/unit/views/superadmin/InvoiceCenterView.test.tsx	0	1	0	0	1	1.39	98725890563521e0ce04949d81cf4907873a349b	98725890563521e0ce04949d81cf4907873a349b	IDENTICAL
tests/unit/views/superadmin/LLMManagementView.honesty.test.tsx	0	6	0	0	6	2.11	7e0a61bd58b204055dbcf37a86fb57155e1bd330	aa15a1cab5f6038d401c433bfd7b289ce92c5331	DIFFERS
tests/unit/views/superadmin/LLMObservatoryTab.honesty.test.tsx	0	4	0	0	4	1.22	8e7482870f06b12ec94def999e05250f2266af34	8e7482870f06b12ec94def999e05250f2266af34	IDENTICAL
tests/unit/views/superadmin/MFAView.honesty.test.tsx	0	5	0	0	5	1.14	8f7d6cbba5e99b03b6aab410327f1a7647eb3fa6	8f7d6cbba5e99b03b6aab410327f1a7647eb3fa6	IDENTICAL
tests/unit/views/superadmin/MarketInboxTab.honesty.test.tsx	0	5	0	0	5	1.7	9eb27b27e5829cf0fa4fde27c62cd9f28ab19279	9eb27b27e5829cf0fa4fde27c62cd9f28ab19279	IDENTICAL
tests/unit/views/superadmin/ModelRegistryTab.honesty.test.tsx	0	4	0	0	4	1.47	7d524478c199232ee1a4f3d719b224ff45c69024	7d524478c199232ee1a4f3d719b224ff45c69024	IDENTICAL
tests/unit/views/superadmin/OrgAIPolicyTab.honesty.test.tsx	0	10	0	0	10	1.69	831397d991585b4ffa2da030e85e28ada860ca62	831397d991585b4ffa2da030e85e28ada860ca62	IDENTICAL
tests/unit/views/superadmin/OrganizationsView.honesty.test.tsx	0	22	0	0	22	3.46	47870868cbc528bd5f45672d5425f49ae6916346	47870868cbc528bd5f45672d5425f49ae6916346	IDENTICAL
tests/unit/views/superadmin/OverviewModule.honesty.test.tsx	0	6	0	0	6	1.21	d82f5a7db63f2bce3caa51b056a84f99efb9728d	d82f5a7db63f2bce3caa51b056a84f99efb9728d	IDENTICAL
tests/unit/views/superadmin/PasswordPolicyView.honesty.test.tsx	0	6	0	0	6	1.23	01343de9b951810d62915b5bfe05738016c88db0	01343de9b951810d62915b5bfe05738016c88db0	IDENTICAL
tests/unit/views/superadmin/PerformanceMetricsTab.honesty.test.tsx	0	4	0	0	4	1.39	f2368bb911ead1b900dcf7789b435093c1e5c40c	f2368bb911ead1b900dcf7789b435093c1e5c40c	IDENTICAL
tests/unit/views/superadmin/PermissionsMatrixView.honesty.test.tsx	0	5	0	0	5	2.04	36ee5c566134796dc78a1f8695f92181858f1df1	36ee5c566134796dc78a1f8695f92181858f1df1	IDENTICAL
tests/unit/views/superadmin/PolicyEnforcementTab.honesty.test.tsx	0	4	0	0	4	1.5	730cf37c18b40fd58406315b7dbea287211292eb	730cf37c18b40fd58406315b7dbea287211292eb	IDENTICAL
tests/unit/views/superadmin/PricingRegistryTab.honesty.test.tsx	0	5	0	0	5	1.58	d03ad210823c0bb22d04223f378f75f827ab5e94	d03ad210823c0bb22d04223f378f75f827ab5e94	IDENTICAL
tests/unit/views/superadmin/PurposeAssignmentsTab.honesty.test.tsx	0	7	0	0	7	1.78	dd3815c4785a56178136e490b6b31d64572aa21b	dd3815c4785a56178136e490b6b31d64572aa21b	IDENTICAL
tests/unit/views/superadmin/RoutingRulesTab.honesty.test.tsx	0	5	0	0	5	1.54	d35fc8f14a7354caf36bb683a8faf18c9b1f3d94	d35fc8f14a7354caf36bb683a8faf18c9b1f3d94	IDENTICAL
tests/unit/views/superadmin/SCIMProvisioningView.honesty.test.tsx	0	11	0	0	11	2.1	670cd4f2d406426f5591a9d5faa9a6efee3cd605	670cd4f2d406426f5591a9d5faa9a6efee3cd605	IDENTICAL
tests/unit/views/superadmin/SSOConfigurationView.honesty.test.tsx	0	1	0	0	1	1.44	acacb5701bd1e3f8d36f84cea93de8927dae71df	acacb5701bd1e3f8d36f84cea93de8927dae71df	IDENTICAL
tests/unit/views/superadmin/SavedReportsView.honesty.test.tsx	0	6	0	0	6	1.64	263569702cc1969633553e8c4525cdce8b9fcc07	263569702cc1969633553e8c4525cdce8b9fcc07	IDENTICAL
tests/unit/views/superadmin/SecurityEventsView.honesty.test.tsx	0	6	0	0	6	1.87	01e6376a4c2656709dc29f1e8e772ed23bbf8589	01e6376a4c2656709dc29f1e8e772ed23bbf8589	IDENTICAL
tests/unit/views/superadmin/SecurityIncidentsView.honesty.test.tsx	0	12	0	0	12	2.59	6dd3e16f49c8b7663e9a101f568b733887a35c43	6dd3e16f49c8b7663e9a101f568b733887a35c43	IDENTICAL
tests/unit/views/superadmin/SecurityPoliciesView.honesty.test.tsx	0	2	0	0	2	1.22	702daa8d03419095f49a05cd7fe2f46d05c869f5	702daa8d03419095f49a05cd7fe2f46d05c869f5	IDENTICAL
tests/unit/views/superadmin/StrategicDirectionsTab.honesty.test.tsx	0	4	0	0	4	1.44	877409f519567341a0d9c0866c16358bbb7f36d7	877409f519567341a0d9c0866c16358bbb7f36d7	IDENTICAL
tests/unit/views/superadmin/SuperAdminAccessRequestsView.honesty.test.tsx	0	7	0	0	7	1.35	2bedcdaef00b37b593a73511fee1729ed9cbf1ea	2bedcdaef00b37b593a73511fee1729ed9cbf1ea	IDENTICAL
tests/unit/views/superadmin/SuperAdminLegalView.honesty.test.tsx	0	9	0	0	9	2.04	1f4d983c7c76ee66788bcfc1d3325aab76741cb0	1f4d983c7c76ee66788bcfc1d3325aab76741cb0	IDENTICAL
tests/unit/views/superadmin/SuperAdminOrgDetailsModal.honesty.test.tsx	0	9	0	0	9	1.58	c433e2f59ffcc83b83462f3977eded1cddd3c55a	c433e2f59ffcc83b83462f3977eded1cddd3c55a	IDENTICAL
tests/unit/views/superadmin/SuperAdminRevenueView.honesty.test.tsx	0	1	0	0	1	1.12	247a59d526030e4316b0f74c688966368f4e40c1	247a59d526030e4316b0f74c688966368f4e40c1	IDENTICAL
tests/unit/views/superadmin/SuperAdminStorageDetailModal.honesty.test.tsx	0	5	0	0	5	1.55	4d190db7d0cb251b56cc363dcdc7da4124e4793c	4d190db7d0cb251b56cc363dcdc7da4124e4793c	IDENTICAL
tests/unit/views/superadmin/SupportTicketsView.honesty.test.tsx	0	5	0	0	5	1.91	38dc7f009ef62eaadf214ebbdb1d51f798eff5fa	38dc7f009ef62eaadf214ebbdb1d51f798eff5fa	IDENTICAL
tests/unit/views/superadmin/TenantCommandCenterView.honesty.test.tsx	0	5	0	0	5	1.2	42dadee5e373d8d43d1f6e139a97917c7ea528cd	42dadee5e373d8d43d1f6e139a97917c7ea528cd	IDENTICAL
tests/unit/views/superadmin/ThreatIntelligenceView.honesty.test.tsx	0	10	0	0	10	2.56	ce9af40992efce8c7b91f5d0490ac83ae5211d0b	ce9af40992efce8c7b91f5d0490ac83ae5211d0b	IDENTICAL
tests/unit/views/superadmin/components/BulkOperationsView.honesty.test.tsx	0	1	0	0	1	2.0	4e62b639836cb248891add629920f4db31285e72	4e62b639836cb248891add629920f4db31285e72	IDENTICAL
