ścieżka	wiersz	forma	klucz	status	klasyfikacja_narzędzia
src/utils/criterionWorkspaceV2Flag.ts	61	meta?.env?.[K]	VITE_CRITERION_WORKSPACE_V2	ŻYWY	app
src/utils/deckArchitectFlag.ts	39	meta?.env?.[K]	VITE_DECK_ARCHITECT_ENABLED	ŻYWY	app
src/utils/drdReportFlag.ts	44	meta?.env?.[K]	VITE_DRD_REPORT_ENABLED	ŻYWY	app
src/utils/drdScoringV2Flag.ts	46	meta?.env?.[K]	VITE_DRD_SCORING_V2	ŻYWY	app
src/utils/dynamicSwotSevenStagesFlag.ts	11	meta.env?.[K]	VITE_VF1_DYNAMIC_SWOT_SEVEN_STAGES	ŻYWY	app
src/utils/exceleEditFlag.ts	46	meta?.env?.[K]	VITE_EXCELE_EDIT_ENABLED	ŻYWY	app
src/utils/exceleFlag.ts	39	meta?.env?.[K]	VITE_EXCELE_ENGINE_ENABLED	ŻYWY	app
src/utils/exceleRightRailFlag.ts	56	meta?.env?.[K]	VITE_EXCELE_RIGHT_RAIL_ENABLED	ŻYWY	app
src/utils/financeEvBasketFlag.ts	38	meta?.env?.[K]	VITE_FINANCE_EV_BASKET	ŻYWY	app
src/utils/financeValuePanelsFlag.ts	28	meta.env?.[K]	VITE_FINANCE_VALUE_PANELS	ŻYWY	app
src/utils/flagsPanelDescriptionExpandFlag.ts	38	meta?.env?.[K]	VITE_FLAGS_PANEL_DESCRIPTION_EXPAND	ŻYWY	app
src/utils/flagsPanelDocLinksFlag.ts	38	meta?.env?.[K]	VITE_FLAGS_PANEL_DOC_LINKS	ŻYWY	app
src/utils/flagsPanelFilterEscapeClearFlag.ts	44	meta?.env?.[K]	VITE_FLAGS_PANEL_FILTER_ESCAPE_CLEAR	ŻYWY	app
src/utils/flagsPanelFilterFlag.ts	40	meta?.env?.[K]	VITE_FLAGS_PANEL_FILTER	ŻYWY	app
src/utils/flagsPanelGroupingFlag.ts	49	meta?.env?.[K]	VITE_FLAGS_PANEL_GROUPING	ŻYWY	app
src/utils/flagsPanelOverrideUrlCopyFlag.ts	42	meta?.env?.[K]	VITE_FLAGS_PANEL_OVERRIDE_URL_COPY	ŻYWY	app
src/utils/flagsPanelRowShortcutsFlag.ts	55	meta?.env?.[K]	VITE_FLAGS_PANEL_ROW_SHORTCUTS	ŻYWY	app
src/utils/flagsPanelShortcutCheatSheetFlag.ts	44	meta?.env?.[K]	VITE_FLAGS_PANEL_SHORTCUT_CHEAT_SHEET	ŻYWY	app
src/utils/flagsPanelStickyGroupHeadersFlag.ts	40	meta?.env?.[K]	VITE_FLAGS_PANEL_STICKY_GROUP_HEADERS	ŻYWY	app
src/utils/flagsResetUrlFlag.ts	40	meta?.env?.[K]	VITE_FLAGS_RESET_URL	ŻYWY	app
src/utils/flagsSnapshotCopyFlag.ts	38	meta?.env?.[K]	VITE_FLAGS_SNAPSHOT_COPY	ŻYWY	app
src/utils/ideaBottomBarUnifiedFlag.ts	50	meta?.env?.[K]	VITE_IDEA_BOTTOM_BAR_UNIFIED	ŻYWY	app
src/utils/ideaDecisionLogFlag.ts	44	meta?.env?.[K]	VITE_IDEA_DECISION_LOG	ŻYWY	app
src/utils/ideaDetailsInPanelFlag.ts	59	meta?.env?.[K]	VITE_IDEA_DETAILS_IN_PANEL	ŻYWY	app
src/utils/ideaFinancialCaseFlag.ts	41	meta?.env?.[K]	VITE_IDEA_FINANCIAL_CASE	ŻYWY	app
src/utils/ideaTableGuidedBarFlag.ts	67	meta?.env?.[K]	VITE_IDEA_TABLE_GUIDED_BAR	ŻYWY	app
src/utils/ideaTopBarOneLineFlag.ts	61	meta?.env?.[K]	VITE_IDEA_TOP_BAR_ONE_LINE	ŻYWY	app
src/utils/ideasPreviewOverlayFlag.ts	38	meta?.env?.[K]	VITE_IDEAS_PREVIEW_OVERLAY	ŻYWY	app
src/utils/initiativeBridgeFlag.ts	27	meta.env?.[K]	VITE_INITIATIVE_BRIDGE	ŻYWY	app
src/utils/initiativeDedupActionableFlag.ts	45	meta?.env?.[K]	VITE_INITIATIVE_DEDUP_ACTIONABLE	ŻYWY	app
src/utils/initiativesBulkStubFlag.ts	41	meta?.env?.[K]	VITE_INITIATIVES_BULK_STUB	ŻYWY	app
src/utils/inputCharCounterFlag.ts	37	meta?.env?.[K]	VITE_INPUT_CHAR_COUNTER	ŻYWY	app
src/utils/inputHintStripFlag.ts	34	meta?.env?.[K]	VITE_INPUT_HINT_STRIP	ŻYWY	app
src/utils/inputSoftLimitToastFlag.ts	60	meta?.env?.[K]	VITE_INPUT_SOFT_LIMIT_TOAST	ŻYWY	app
src/utils/interviewCreatorShellFlag.ts	54	meta.env?.[K]	VITE_INTERVIEW_CREATOR_SHELL	ŻYWY	app
src/utils/interviewPendingReviewTabFlag.ts	55	meta?.env?.[K]	VITE_INTERVIEW_PENDING_REVIEW_TAB	ŻYWY	app
src/utils/interviewPipelineStepperFlag.ts	45	meta?.env?.[K]	VITE_INTERVIEW_PIPELINE_STEPPER	ŻYWY	app
src/utils/m03InboxStandardTableFlag.ts	43	meta?.env?.[K]	VITE_M03_INBOX_STANDARD_TABLE	ŻYWY	app
src/utils/m03TasksStandardTableFlag.ts	37	meta?.env?.[K]	VITE_M03_TASKS_STANDARD_TABLE	ŻYWY	app
src/utils/m05DecisionWorkspaceFlag.ts	41	meta?.env?.[K]	VITE_M05_DECISION_WORKSPACE	NIEORZECZONY	test-only
src/utils/melsDeckBuilderFlag.ts	42	meta?.env?.[K]	VITE_MELS_DECK_BUILDER	ŻYWY	app
src/utils/melsPrezentacjeFlag.ts	37	meta?.env?.[K]	VITE_MELS_PREZENTACJE	ŻYWY	app
src/utils/melsTabeleFlag.ts	37	meta?.env?.[K]	VITE_MELS_TABELE	ŻYWY	app
src/utils/myWorkTwoLevelNavFlag.ts	42	meta?.env?.[K]	VITE_MYWORK_TWO_LEVEL_NAV	MARTWY	unreachable
src/utils/navDeclutterFlag.ts	50	meta?.env?.[K]	VITE_NAV_DECLUTTER	ŻYWY	app
src/utils/nextModelChipFlag.ts	38	meta?.env?.[K]	VITE_NEXT_MODEL_CHIP	ŻYWY	app
src/utils/orgRedesignFlag.ts	55	meta?.env?.[K]	VITE_ORG_REDESIGN_V1_ENABLED	ŻYWY	app
src/utils/piiHeuristicSessionDismissFlag.ts	45	meta?.env?.[K]	VITE_PII_HEURISTIC_SESSION_DISMISS	ŻYWY	app
src/utils/piiHeuristicToastFlag.ts	39	meta?.env?.[K]	VITE_PII_HEURISTIC_TOAST	ŻYWY	app
src/utils/privateModeDetailsFlag.ts	41	meta?.env?.[K]	VITE_PRIVATE_MODE_DETAILS	ŻYWY	app
src/utils/recordProvenanceFlag.ts	37	meta?.env?.[K]	VITE_RECORD_PROVENANCE	ŻYWY	app
src/utils/scimGroupSyncFlag.ts	40	meta?.env?.[K]	VITE_SCIM_GROUP_SYNC	ŻYWY	app
src/utils/siriPmV2Flag.ts	40	meta?.env?.[K]	VITE_SIRI_PM_V2	NIEORZECZONY	harness-only
src/utils/ssoSelfServiceFlag.ts	37	meta?.env?.[K]	VITE_SSO_SELF_SERVICE	ŻYWY	app
src/utils/studioFlag.ts	48	meta?.env?.[K]	VITE_STUDIO_ENABLED	ŻYWY	app
src/utils/tabeleAiEditorFlag.ts	29	meta?.env?.[K]	VITE_TABELE_AI_EDITOR	ŻYWY	app
src/utils/tabeleConversionsFlag.ts	32	meta?.env?.[K]	VITE_TABELE_CONVERSIONS	ŻYWY	app
src/utils/tabeleFormIntakeFlag.ts	35	meta?.env?.[K]	VITE_TABELE_FORM_INTAKE	ŻYWY	app
src/utils/tabeleQaFlag.ts	29	meta?.env?.[K]	VITE_TABELE_QA	ŻYWY	app
src/utils/tabeleSourcePackFlag.ts	30	meta?.env?.[K]	VITE_TABELE_SOURCE_PACK	ŻYWY	app
src/utils/templateEditorFlag.ts	38	meta?.env?.[K]	VITE_TPL_EDITOR_ENABLED	ŻYWY	app
src/utils/templateLifecycleFlag.ts	39	meta?.env?.[K]	VITE_TEMPLATE_LIFECYCLE	ŻYWY	app
src/utils/templatesGalleryFlag.ts	44	meta?.env?.[K]	VITE_GALERIA_SZABLONOW_ENABLED	ŻYWY	app
src/utils/toolsInsightsWiringFlag.ts	74	meta?.env?.[K]	VITE_TOOLS_INSIGHTS_WIRING	ŻYWY	app
src/utils/triModeFlag.ts	42	meta?.env?.[K]	VITE_TRI_TRYBY	ŻYWY	app
src/utils/trustBadgeCitationDomainFlag.ts	41	meta?.env?.[K]	VITE_TRUST_BADGE_CITATION_DOMAIN	ŻYWY	app
src/utils/trustBadgeCitationLinksFlag.ts	45	meta?.env?.[K]	VITE_TRUST_BADGE_CITATION_LINKS	ŻYWY	app
src/utils/trustBadgeCopyCitationsFlag.ts	42	meta?.env?.[K]	VITE_TRUST_BADGE_COPY_CITATIONS	ŻYWY	app
src/utils/trustBadgeCopyReasoningFlag.ts	45	meta?.env?.[K]	VITE_TRUST_BADGE_COPY_REASONING	ŻYWY	app
src/utils/trustBadgeFlag.ts	37	meta?.env?.[K]	VITE_TRUST_BADGE	ŻYWY	app
src/utils/trustBadgeHumanizeModelFlag.ts	38	meta?.env?.[K]	VITE_TRUST_BADGE_HUMANIZE_MODEL	ŻYWY	app
src/utils/trustBadgeReasoningFlag.ts	33	meta?.env?.[K]	VITE_TRUST_BADGE_REASONING	ŻYWY	app
src/utils/vf1CanvasSpecAFlag.ts	42	meta?.env?.[K]	VITE_VF1_CANVAS_SPECA	ŻYWY	app
src/utils/vf1InitSpecAFlag.ts	39	meta?.env?.[K]	VITE_VF1_INIT_SPECA	ŻYWY	app
src/utils/voiceFunnelTelemetryFlag.ts	43	meta?.env?.[K]	VITE_VOICE_FUNNEL_TELEMETRY	ŻYWY	app
src/utils/voiceLegendCopyTextFlag.ts	43	meta?.env?.[K]	VITE_VOICE_LEGEND_COPY_TEXT	ŻYWY	app
src/utils/voiceLegendShortcutFlag.ts	38	meta?.env?.[K]	VITE_VOICE_LEGEND_SHORTCUT	ŻYWY	app
src/utils/voiceModeLegendFlag.ts	33	meta?.env?.[K]	VITE_VOICE_MODE_LEGEND	ŻYWY	app
src/utils/whiteboardSessionInPanelFlag.ts	41	meta?.env?.[K]	VITE_WHITEBOARD_SESSION_IN_PANEL	ŻYWY	app
src/utils/workspaceBreadcrumbConversationFlag.ts	39	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_CONVERSATION	ŻYWY	app
src/utils/workspaceBreadcrumbFlag.ts	31	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB	ŻYWY	app
src/utils/workspaceBreadcrumbRecentsArrowKeysFlag.ts	48	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_RECENTS_ARROW_KEYS	ŻYWY	app
src/utils/workspaceBreadcrumbRecentsFlag.ts	40	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_RECENTS	ŻYWY	app
src/utils/workspaceBreadcrumbRecentsPinnedFlag.ts	40	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_RECENTS_PINNED	ŻYWY	app
src/utils/workspaceBreadcrumbRecentsTriggerArrowFlag.ts	50	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_RECENTS_TRIGGER_ARROW	ŻYWY	app
src/utils/workspaceBreadcrumbRecentsTriggerArrowUpFlag.ts	48	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_RECENTS_TRIGGER_ARROW_UP	ŻYWY	app
src/utils/workspaceBreadcrumbRecentsViewAllFlag.ts	39	meta?.env?.[K]	VITE_WORKSPACE_BREADCRUMB_RECENTS_VIEW_ALL	ŻYWY	app
src/utils/zaiTeresaFlag.ts	50	meta?.env?.[K]	VITE_ZAI_TERESA_ENABLED	ŻYWY	app
