# Lista organizacji DO USUNIĘCIA — paczka D0 programu „jedna baza pokazowa po angielsku”
#
# Wygenerowana 2026-09-08 z kopii `consultify_kopia_d0` (TEMPLATE consultify_staging_kopia),
# zapytaniami wzorowanymi na docs/program/DANE_POKAZOWE_EN_20260908/POMIAR.sql (Q5/Q7).
#
# Format wiersza:  <organization_id> | <nazwa> | <liczba członków> | <powód>
# Linie zaczynające się od `#` oraz puste są ignorowane przez skrypt.
# Skrypt `scripts/dane/usun-organizacje.ts` czyta WYŁĄCZNIE identyfikator (pierwsza kolumna).
# Dopasowanie po nazwie jest w skrypcie ZABRONIONE — nazwa jest tu tylko dla oczu człowieka.
#
# Powody:
#   worek         — `demo-org`: organizacja-worek po rejestracjach E2E (1061 członków)
#   klon-sesyjny  — efemeryczny klon `demo-org-session-*` po sondzie QA
#   pusta         — „My Company”: pusty formularz rejestracji
#   test          — organizacja testowa/QA po nazwie lub po adresie e-mail jedynego członka
#   E2E           — tenant testów end-to-end
#
# LICZBA WIERSZY LISTY: 325 organizacji.
# UWAGA — SPROSTOWANIE WOBEC PLANU: PLAN.md §D0 mówi „318 organizacji śmieciowych + demo-org”.
# Pomiar na kopii daje 325 organizacji poza sześcioma zachowanymi (w tym `demo-org`
# i klon sesyjny). Liczba 318 z PLAN.md §1 nie sumuje się z rozbiciem 286+32+4 = 322
# ani z Q4 (325 „reszty”). Prawdziwa liczba do usunięcia = 331 − 6 = 325.
#
# Dwie organizacje, które nie wpadały w żaden wzorzec nazwy, sprawdzone ręcznie i
# zaklasyfikowane jako `test` po adresie jedynego członka:
#   6c3290eb-0f17-43f3-9906-41f3922e423c „Consultify”              → test_smoke_c2@consultify.ai
#   fa331bb5-8707-4f82-bb2e-51904d7c664e „My CompanyCFO Services Inc” → cfo_demo_3@example.com
#
# NA TEJ LIŚCIE NIE MA i NIGDY NIE MOŻE BYĆ żadnego ID z scripts/dane/lista-zachowana.txt.
# Skrypt odmawia startu, jeśli przecięcie obu list jest niepuste.
demo-org | Demo Organization | 1061 | worek
c9ac14d0-a672-4e9d-8199-4a6174a4949f | E2E Tenant (ai5-2834) | 1 | E2E
907be457-bb71-4c20-9dec-01ca4fc30855 | E2E Tenant (ai6-25965) | 1 | E2E
4406c046-57a1-4007-86b2-b293038f1e94 | E2E Tenant (ai7-20962) | 1 | E2E
9984775c-a2ed-419e-9953-124b6b4998a2 | E2E Tenant (ai8-14463) | 1 | E2E
c813085c-4038-4e64-8eba-50af787bad1c | E2E Tenant (ai9-7270) | 1 | E2E
67d9402e-c027-4306-9700-46111c5b5362 | E2E Tenant (ai-probe-2769) | 1 | E2E
77825c62-aff6-4ef0-ba9d-229de6b90f3d | E2E Tenant (artifact-preflight-20260809) | 1 | E2E
b3e588e2-27d6-4dbb-91a6-9297914c1c81 | E2E Tenant (authtest) | 1 | E2E
534e2735-d2fc-4595-adc3-4a34db0822c2 | E2E Tenant (canvas-ui-mqv744ch) | 1 | E2E
c1ecf192-141a-4118-937b-94b128c988b5 | E2E Tenant (canvas-ui-mqv744co) | 1 | E2E
27e0640b-d500-4207-ad54-c580f7acb27f | E2E Tenant (canvas-ui-mqv74or4) | 1 | E2E
092214bf-a033-4148-8503-fa680207f71a | E2E Tenant (canvas-ui-mqv74ow1) | 1 | E2E
b3f392c1-4432-4971-98e7-a8dbd920faef | E2E Tenant (canvas-ui-mqv75hzx) | 1 | E2E
0f17f724-fd50-4241-b956-1bd106ec785d | E2E Tenant (canvas-ui-mqv75rph) | 1 | E2E
b195ec79-8ad7-4845-865a-9adb1cde501a | E2E Tenant (canvas-ui-mqv75ycx) | 1 | E2E
0fd1643d-7095-4875-80bb-5f9c93e7b50f | E2E Tenant (canvas-ui-msavqeal) | 1 | E2E
bcca6b3d-6758-45bb-96bb-827d0bf304b6 | E2E Tenant (chat01-isolation-1785619553753-kghxld) | 1 | E2E
6cc57b2b-a85c-4f67-aafe-859aa80d6922 | E2E Tenant (conv-6785) | 1 | E2E
ff30a6b9-b0ba-47ba-83f7-c119365e32a4 | E2E Tenant (deck-e2e-mslcxkxg-3ecr6j) | 1 | E2E
bdae661f-c86d-4978-8626-ba47e2546e99 | E2E Tenant (deck-e2e-mslcxkxv-lgc6ex) | 1 | E2E
9441b2ef-4274-44db-adf3-1a5318c815e8 | E2E Tenant (deck-e2e-msld08cn-hn73em) | 1 | E2E
deefd47d-be5f-4f85-a347-929759618e29 | E2E Tenant (deck-e2e-msld1oxr-ki5r3q) | 1 | E2E
17e11728-ba42-4508-95fc-e712fab2c974 | E2E Tenant (deck-e2e-mslddyjt-icbfd9) | 1 | E2E
cb786da2-cca8-4a02-9608-928af5bcfa74 | E2E Tenant (deck-e2e-msldfrqu-goyrax) | 1 | E2E
d2efe0a9-bf9f-49b9-bfcb-be8f13981889 | E2E Tenant (deck-e2e-msldhn9g-sfomwn) | 1 | E2E
b9f798e2-76dc-4bcb-94a9-7cf5408835f0 | E2E Tenant (deck-e2e-msldp4wy-frl6fm) | 1 | E2E
b63cfc43-63dd-4927-bfe1-71890df4f1d3 | E2E Tenant (deck-e2e-msldwfs8-vfa1ot) | 1 | E2E
0b1a3afa-d138-4196-a2c5-2a698f2395a3 | E2E Tenant (deck-e2e-msldyjcu-sd055s) | 1 | E2E
f4772714-df69-432e-9491-4364652df537 | E2E Tenant (deck-e2e-mslia5r7-2ucz2r) | 1 | E2E
4e577d64-72c3-462d-93fe-cc6126be8990 | E2E Tenant (deck-e2e-msliaq7d-c4ni5x) | 1 | E2E
c647d0d0-57cf-485e-be1f-f029a7220491 | E2E Tenant (diag-2212) | 1 | E2E
abbdeebf-6e77-4730-b636-b1e7a0352b96 | E2E Tenant (diag-ai-7132) | 1 | E2E
09bc1484-a49f-4688-9c0e-dba63c265347 | E2E Tenant (diag-live) | 1 | E2E
363ce57a-121d-4646-81d0-f74a8759998c | E2E Tenant (ft7-vts-1782184166416) | 1 | E2E
0be1ce29-c745-4dac-b9ca-6fffde888deb | E2E Tenant (ft7-vts-session) | 1 | E2E
f1bc8916-8fd2-404f-9ce5-cbba2a529925 | E2E Tenant (gb-check) | 1 | E2E
55bfd568-f95b-4235-8ad7-2bcad106b77c | E2E Tenant (go-23861) | 1 | E2E
859f6c31-ba7a-4f88-93f4-1ff12f2490e1 | E2E Tenant (hc-3260) | 1 | E2E
62f641ad-dde0-428d-8459-01a80eef1052 | E2E Tenant (hub2-29263) | 1 | E2E
098fa528-8ca0-49bc-a8b3-7e2067957226 | E2E Tenant (hub-3148) | 1 | E2E
e94e8cc1-f46c-4ea8-9707-38d5d7915de7 | E2E Tenant (local-mqo7v4qf) | 1 | E2E
62a59b4a-4832-4163-b561-437b75d4b465 | E2E Tenant (local-mqo8o173) | 1 | E2E
ca8de175-e3eb-434f-b4d4-6695b3ffca81 | E2E Tenant (local-mqob9xiq) | 1 | E2E
1c5880a2-9306-44e3-8e27-48f26a06719e | E2E Tenant (local-mqoc4v59) | 1 | E2E
1bd070d8-8e23-43b9-9d9d-a2ece2815f2c | E2E Tenant (local-mqocd8cd) | 1 | E2E
844b4feb-1493-4b64-80d4-fb6b3ae8876b | E2E Tenant (local-mqocgmw4) | 1 | E2E
80539d62-f793-4436-acdc-7a467a5feb27 | E2E Tenant (local-mqocpyfd) | 1 | E2E
c87a684f-3050-4b7c-b185-6af22a613115 | E2E Tenant (local-mqod5to3) | 1 | E2E
8ac31ed5-7dd4-4642-bd2e-666732e8f808 | E2E Tenant (local-mqoe4lg3) | 1 | E2E
3277f7eb-a02f-411b-b22f-d0d1e523dbd6 | E2E Tenant (local-mqoik7bx) | 1 | E2E
3d6914a8-7c0f-41e7-97d5-359c3e99a2bf | E2E Tenant (local-mqojxdly) | 1 | E2E
caa2bf64-27b6-4fee-9558-68667742e2fc | E2E Tenant (local-mqp8cq8d) | 1 | E2E
151228b3-4900-4702-885a-1b0127eb8d96 | E2E Tenant (local-mqp8h4cw) | 1 | E2E
74b8acbb-ca93-486b-bcec-c5d318bb384a | E2E Tenant (local-mqpdnd51) | 1 | E2E
ee478ea6-7041-46c1-82f2-f3470b7203f5 | E2E Tenant (local-mqprew7n) | 1 | E2E
36595ea0-9ade-4a7f-a433-7d87538aa7ec | E2E Tenant (local-mqq0ewgh) | 1 | E2E
526ec9a2-7652-45f9-a64f-2bc8d48a0c52 | E2E Tenant (local-mqq0jbud) | 1 | E2E
a7c44a0e-cd16-4440-8dae-3ac18b9d627e | E2E Tenant (local-mqqiqei4) | 1 | E2E
54840575-ed75-4100-92b4-93bf0a62e26e | E2E Tenant (local-mqrl23v9) | 1 | E2E
93e61559-4205-44e5-9846-199d48a0f94d | E2E Tenant (local-mqry7b6x) | 1 | E2E
d6c96126-ed9c-4a8b-a729-b47afce07e7c | E2E Tenant (local-mqryioe0) | 1 | E2E
314df484-16d6-415c-8855-18eeaa237250 | E2E Tenant (local-mqrz23oh) | 1 | E2E
2812d81f-e3b2-433a-af4e-961157847c6f | E2E Tenant (local-mqvo96ug) | 1 | E2E
7e989f0a-8035-4ab1-8b3c-7b2bb52f1e8a | E2E Tenant (local-mqvodemy) | 1 | E2E
536ad15f-3e12-4013-bb70-28f29189bba3 | E2E Tenant (local-mqvoi4yw) | 1 | E2E
222ca50d-68de-4b92-8c12-eb638cb8f655 | E2E Tenant (local-msldp352) | 1 | E2E
3dc7dbc4-34b5-4ba6-941c-2db5a66713de | E2E Tenant (m06-mqomcc1m-58fi) | 1 | E2E
f44542d4-c440-49ef-9887-56e6e995e6fb | E2E Tenant (m06-mqomgjh0-7suw) | 1 | E2E
33d7de17-9a89-45c5-b930-63d5b20b4a20 | E2E Tenant (m06-mqpfv1zz-g2lw) | 1 | E2E
a9a2b15d-e6a3-4a50-a835-9b99ab90ca74 | E2E Tenant (m06-mqpfvvln-ha8) | 1 | E2E
b3f7d529-096e-44dc-bdb8-9d0bd8fff3a4 | E2E Tenant (m06-mqpg1bpm-diwl) | 1 | E2E
3d5637de-8fae-4e27-a331-8439154df756 | E2E Tenant (m06-mqprcgvw-734s) | 1 | E2E
4c759b38-acb1-4f15-997e-3aca4f8b4838 | E2E Tenant (m06-mqpyvp52-1mj1) | 1 | E2E
f3105d99-a17f-4bf1-b294-e978123e1c2e | E2E Tenant (m06-mqpz0e8i-jpdz) | 1 | E2E
81b0d806-bc7f-44ad-8cf2-59db9900e352 | E2E Tenant (m06-mqpz4vzr-eo34) | 1 | E2E
54444095-a979-41d9-8401-0f2b7f852326 | E2E Tenant (m06-mqpzsz0i-26aq) | 1 | E2E
cf6fa36b-b68d-4f0c-a691-ab6cb4a8b854 | E2E Tenant (m06-mqpzwz50-far6) | 1 | E2E
38680ad5-2ac5-4c4b-8df2-914e4427edce | E2E Tenant (m06-mqq005uz-6lfm) | 1 | E2E
d7e69706-8658-47a8-86ad-cb199a7af170 | E2E Tenant (m06-mqqw4py6-7qs1) | 1 | E2E
7fbcdb76-8595-4bed-a721-4daa0f61d1e7 | E2E Tenant (m06-mqqwg4y3-dr6x) | 1 | E2E
547c471b-3cc6-45da-becf-37965fc26d5e | E2E Tenant (m06-mqrilmau-2hek) | 1 | E2E
7c0281e1-6257-4ca2-bc53-025de6eaba77 | E2E Tenant (m06-mqriqwiw-lexi) | 1 | E2E
f74a9e24-8732-4e18-9a7e-cab763789be9 | E2E Tenant (m06-mqriv4yd-eqj6) | 1 | E2E
286ccfa7-f013-472d-9f12-4bbc514dbb14 | E2E Tenant (m06-mqrivf5u-j18r) | 1 | E2E
63e067c1-65c9-4728-8884-a5d9f338e25a | E2E Tenant (m06-mqrjbbmn-bblb) | 1 | E2E
5e5e1e4b-b828-4f08-b81e-5cfb96f16d1f | E2E Tenant (m06-mqrjbmoj-9oar) | 1 | E2E
00af822c-6792-48a0-854b-fca79601a66c | E2E Tenant (m06-mqrjbvv3-78ol) | 1 | E2E
fa360f05-3303-4933-8c0f-fcc2ac4b896e | E2E Tenant (m06-mqrjgypv-dodu) | 1 | E2E
7fb31d25-289b-4c7c-9f7b-e08f4f2b7bfc | E2E Tenant (m06-mqrjh8j0-29w5) | 1 | E2E
20e49bc6-f69f-4519-b232-824cd3facb87 | E2E Tenant (m06-mqrjpenp-ac5s) | 1 | E2E
01d4ccc1-ab7f-45cf-8b9d-20efd6b5705a | E2E Tenant (m06-mqv74a2j-dho6) | 1 | E2E
380087f1-a45f-426d-8189-5bae6d2d2e7b | E2E Tenant (m06-mqv74akm-frbi) | 1 | E2E
ba9b0a90-7f51-49dd-8987-0781f16051b3 | E2E Tenant (m06-mqv76g8r-kt4h) | 1 | E2E
9a5b7965-ffbd-4efb-9f5b-34ad5d23ea03 | E2E Tenant (m07-live-1) | 1 | E2E
66b9bf21-f927-40d1-9a87-cd702e3eb2fb | E2E Tenant (m07-live-2) | 1 | E2E
684866a3-56d0-421b-b484-1b1abb4655e6 | E2E Tenant (m18-audit-complex-doc-2026-07-05) | 1 | E2E
7504ff08-826e-4747-86ec-9b044911b623 | E2E Tenant (manual-5626) | 1 | E2E
98348a91-2b3d-46c3-9d1f-7a52f05d4dd4 | E2E Tenant (mat05-isolation-1785619054133) | 1 | E2E
d918c607-745c-46ea-9d05-eb1ab8b0855b | E2E Tenant (mw09-isolation-1785619287401-6udsus) | 1 | E2E
1a333fe2-f318-47e0-a232-f74cc5a5b880 | E2E Tenant (ppt-shell-v2-mslawb61-sz3ewv) | 1 | E2E
fa5672e8-ed98-4b3d-a049-c3af5ae4393e | E2E Tenant (ppt-shell-v2-mslax2yc-1wml24) | 1 | E2E
6cadd08f-dd5e-4829-b8c5-f01217fdde10 | E2E Tenant (ppt-shell-v2-mslayjd6-wd40i9) | 1 | E2E
b48b8167-039d-49af-9326-28290afd086f | E2E Tenant (ppt-shell-v2-mslazhrl-qlf22p) | 1 | E2E
7ed63b20-e626-46bf-9674-01a83adbde59 | E2E Tenant (ppt-shell-v2-mslb1ma7-7l0ock) | 1 | E2E
c71b8e4e-ac6b-4eaa-845a-16bbbc097789 | E2E Tenant (ppt-shell-v2-mslb1w91-d28ajv) | 1 | E2E
9c379dbe-017b-4fea-be5e-e58877f700b1 | E2E Tenant (ppt-shell-v2-mslougwl-qucaix) | 1 | E2E
6c9c3cb7-d79b-4ec2-a7a9-14a65ea2ca0c | E2E Tenant (ppt-shell-v2-msloukgm-d6xnoi) | 1 | E2E
51c3ed62-005d-4eec-acd8-275cbadcad2b | E2E Tenant (ppt-shell-v2-mslp7150-r6hf4e) | 1 | E2E
1e3ac560-ce65-4d16-8d46-222ae5e536fd | E2E Tenant (ppt-shell-v2-mslp74sn-ha11wt) | 1 | E2E
ab238dac-f123-40d7-8518-d38313bebd1a | E2E Tenant (precheck) | 1 | E2E
5a20008b-48f0-4c8a-bcb2-839992637b88 | E2E Tenant (pres-30855) | 1 | E2E
a2483bc3-8d9f-4e6a-827c-a14610b6dc26 | E2E Tenant (probe-1) | 1 | E2E
fb6f8d5b-cbfa-4a29-bf8a-43215818c307 | E2E Tenant (probe-1-1522) | 1 | E2E
dbc4fd9d-b9cf-4f2d-9574-7e1d76415186 | E2E Tenant (probe-2-1522) | 1 | E2E
0f80173f-83d9-4afd-8690-733a0991c202 | E2E Tenant (probe-3-1522) | 1 | E2E
c8e26c44-a985-4e8f-a67f-bf44547bf9d5 | E2E Tenant (probe-4-1522) | 1 | E2E
38c66ca6-9866-4e90-a54c-a1145581505f | E2E Tenant (probe-5-1522) | 1 | E2E
8509b39b-1d3f-41e1-9bdf-b64942a0bd31 | E2E Tenant (probe-auth) | 1 | E2E
db23e8b2-beae-4b8f-926e-b046c290d891 | E2E Tenant (probe-night) | 1 | E2E
6200d46b-64ac-4262-8731-fedb96d040a0 | E2E Tenant (role-test) | 1 | E2E
cff65358-d8b3-4ea3-9e8c-ea6d54a53d58 | E2E Tenant (smoke-684) | 1 | E2E
ff5b730a-1756-49f1-b9c0-82d28ef8892e | E2E Tenant (userA-8062) | 1 | E2E
31c44bdb-d304-4604-a38a-8c37a40bc640 | E2E Tenant (userB-8062) | 1 | E2E
8f917028-0440-4267-a0cc-93b0623fea7e | E2E Tenant (verify-ts) | 1 | E2E
a5635e5a-9ba0-453d-912c-9b9777305e4e | E2E Tenant (vp) | 1 | E2E
ae319564-9e96-42c5-aec9-eec0837c1a50 | E2E Tenant (warm-40) | 1 | E2E
cb2db73c-3cc0-4962-a782-61ba7c38a475 | E2E Tenant (work-canvas-member-mqoph05a-894pldlo) | 1 | E2E
9fff366d-21dc-408d-98d5-7d46c91370ac | E2E Tenant (work-canvas-member-mqopi2h5-iuqxfei9) | 1 | E2E
d9b7a85d-9dc2-4836-87f5-b950773f6bb3 | E2E Tenant (work-canvas-member-mqopj22b-clakzlsb) | 1 | E2E
4d668caf-13c5-4082-8fe3-4f329f6d73bc | E2E Tenant (work-canvas-member-mqpq61dh-618x3o99) | 1 | E2E
6b7ae625-fc94-443e-b693-62262399f4dd | E2E Tenant (work-canvas-member-mqpq6n5e-f29ju21p) | 1 | E2E
7d9ed5b6-65e9-4f1b-ab52-e6ae2602a87c | E2E Tenant (work-canvas-member-mqpq77b0-h7lg2ln7) | 1 | E2E
5341671c-fec8-4687-be52-20cbcdd4f0a1 | E2E Tenant (work-canvas-member-mqq0gkt4-e07oh4ln) | 1 | E2E
5a39809e-c448-4625-b6f3-66585af07740 | E2E Tenant (work-canvas-member-mqq0h8sb-1wl94amj) | 1 | E2E
bb867422-84b3-49db-9eb6-ac73dee4a1fd | E2E Tenant (work-canvas-member-mqq0huia-2lqb3kqh) | 1 | E2E
a95a5888-c2e9-4737-a678-cc4e0491cccb | E2E Tenant (work-canvas-member-mqrmx8l8-79epg9jg) | 1 | E2E
4265a283-a732-424a-bd3a-bb625efe45d7 | E2E Tenant (work-canvas-member-mqrmxsbc-alf018h6) | 1 | E2E
cdae640f-e728-4a18-a545-faa974fef20c | E2E Tenant (work-canvas-member-mqrmy9d5-9bt6nwpf) | 1 | E2E
16209add-0b5a-47ba-8c45-240051384ba8 | E2E Tenant (work-canvas-owner-mqv78qxn-m3rqyma4) | 1 | E2E
890637d0-74f4-4afc-8c39-95e68869e6fc | E2E Tenant (work-canvas-owner-mqv78z6o-azxdgjvx) | 1 | E2E
3822c1c2-052a-45fc-84ac-67445401850d | E2E Tenant (work-canvas-owner-mqv79jcm-o451pjnc) | 1 | E2E
b9bb12ce-e624-4095-a57a-08f911ab8405 | E2E Tenant (work-canvas-owner-mqv79o71-xgdr5cah) | 1 | E2E
c157ff5a-9b17-44e2-9272-06a95927ce3f | E2E Tenant (work-canvas-owner-mqv7a7c1-087cu3mz) | 1 | E2E
612748d5-089e-428c-acfd-6845728ebb0c | E2E Tenant (work-canvas-owner-mqv7a84t-w86uydds) | 1 | E2E
813ef681-b3ca-4d1f-acec-1bc6b3f3e76b | E2E Tenant (work-canvas-owner-mqv7aojj-e9insbbc) | 1 | E2E
387107a3-7d33-4378-b4fa-d9c2899d9526 | E2E Tenant (work-canvas-owner-mqv7auli-w54cdphr) | 1 | E2E
cbda90f1-b64d-4886-9cb0-df1aa2a12cce | E2E Tenant (work-canvas-owner-mqv7exxo-7w71wq2h) | 1 | E2E
2cbdc676-8058-4782-aea8-9c7de58bf19c | E2E Tenant (work-canvas-owner-mqv7ezg2-iyppecz2) | 1 | E2E
57afc693-40e0-4285-9336-3f64b953bc23 | E2E Tenant (work-canvas-owner-mqv7f18c-qn82ddms) | 1 | E2E
561745ea-e450-49d7-8392-1ec08e043dcc | E2E Tenant (work-canvas-owner-msav44b5-pp8utnrb) | 1 | E2E
fdf2eb19-b418-4501-9ca6-68e89666cd9a | E2E Tenant (work-canvas-owner-msav52xn-595g1dr1) | 1 | E2E
fc596fa8-a70d-440a-bbba-675aec57020e | E2E Tenant (work-canvas-owner-msavbwly-c6se54ve) | 1 | E2E
689a5c37-7206-49dc-a72d-465c0733bd3f | E2E Tenant (work-canvas-owner-msavd9hh-fcx8480z) | 1 | E2E
f6eea608-6d06-41b4-9ef4-b2a47bc519ae | E2E Tenant (work-canvas-owner-msavh6v6-0ogezips) | 1 | E2E
44a9823c-ec64-4e8f-ba27-b091eecfa3aa | E2E Tenant (work-canvas-owner-msavmbiy-7vwtt7o5) | 1 | E2E
347c7863-6529-4939-89fe-bf110736c73b | E2E Tenant (work-canvas-owner-msavs0y1-tuu8tdyd) | 1 | E2E
e1be5122-3d2b-4f34-9bfb-ee008b6bbd0d | E2E Tenant (work-canvas-owner-mslaq6b1-59on0pz4) | 1 | E2E
de8780eb-c350-4baf-afa1-cb7745612d87 | E2E Tenant (work-canvas-owner-mslaql0e-h9b5i3vh) | 1 | E2E
d49f2209-aee5-4852-8ff1-6b4847908c13 | E2E Tenant (work-canvas-owner-mslbdh86-3jyaog1l) | 1 | E2E
