tabela	typ	legacy	kanoniczna	wszystkie	blad
assessment_activities	text	0	0	0	
assessment_ai_scoring_proposals	text	0	0	0	
assessment_axis_evidence	text	0	0	0	
assessment_candidate_handoffs	text	0	0	0	
assessment_capa_actions	text	0	0	0	
assessment_comments	text	0	0	0	
assessment_eval_datasets	text	0	0	0	
assessment_eval_runs	text	0	0	0	
assessment_evidence_access_audit	text	0	0	0	
assessment_evidence_clause_map	text	0	0	0	
assessment_findings	text	0	0	0	
assessment_gate_decisions	text	0	0	0	
assessment_initiative_batches	text	0	0	0	
assessment_initiative_generation_runs	text	0	0	0	
assessment_level_attachments	text	0	0	0	
assessment_presence	text	0	0	0	
assessment_quality_reviews	text	0	0	0	
assessment_report_reviews	text	0	0	0	
assessment_reports	text	0	1	7	
assessment_roles	text	0	0	0	
assessment_skip_reasons	text	0	0	0	
assessment_workflows	text	0	0	0	
async_jobs	text	0	0	0	
attribution_events	text	0	0	0	
audit_ai_proposals	text	0	0	0	
audit_corrective_actions	text	0	0	0	
audit_domain_events	text	0	9	9	
audit_evidence	text	0	0	0	
audit_evidence_requests	text	0	0	0	
audit_findings	text	0	0	3	
audit_initiative_proposals	text	0	0	0	
audit_logs	text	0	0	0	
audit_management_responses	text	0	0	0	
audit_norm_sources	text	0	1	1	
audit_outputs	text	0	1	1	
audit_packs	text	0	1	1	
audit_program_criteria	text	0	9	9	
audit_program_findings	text	0	0	0	
audit_program_members	text	0	2	2	
audit_programs	text	0	1	3	
audit_reports	text	0	1	1	
audit_verifications	text	0	0	0	
audits	text	0	0	3	
automation_rule_executions	text	0	0	0	
backup_access_audit	text	0	0	0	
backup_configurations	text	0	0	1	
backup_manifests	text	0	0	0	
backup_records	text	0	0	0	
benchmark_cohort_policies	text	0	0	0	
benchmark_datasets	text	0	0	0	
benchmark_gap_analyses	text	0	0	0	
benchmark_query_audit	text	0	0	0	
benefit_profile_points	text	0	0	0	
benefit_targets	text	0	0	0	
benefit_tracking	text	0	0	0	
benefits_register	text	0	3	6	
benefits_reports	text	0	0	0	
billing_admin_audit_log	text	0	0	0	
billing_alerts	text	0	1	1	
billing_credits	text	0	0	0	
billing_disputes	text	0	0	0	
billing_email_queue	text	0	0	0	
billing_notification_preferences	text	0	0	0	
billing_refunds	text	0	0	0	
billing_tax_settings	text	0	0	0	
billing_usage_events	text	0	0	0	
billing_webhook_events	text	0	0	0	
brand_kits	text	0	0	0	
budget_entries	text	0	0	0	
budget_expenses	text	0	0	0	
budget_initiative_links	text	0	6	9	
budget_overspend_signals	text	0	0	0	
budget_thresholds	text	0	0	0	
budgets	text	0	3	4	
calendar_events	text	0	0	0	
calendar_feed_log	text	0	0	0	
candidate_competency_signals	text	0	0	0	
candidate_documents	text	0	0	0	
candidate_match_results	text	0	0	0	
candidate_profiles	text	0	0	0	
canonical_inbox_items	text	0	568	774	
canvas_idea_materialization_receipts	text	0	1	1	
capabilities	text	0	0	0	
capability_assignments	text	0	0	0	
capability_requirements	text	0	0	0	
case_core	text	0	1	1	
case_workspace_action_proposals	text	0	0	0	
case_workspace_artifact_links	text	0	0	0	
case_workspace_event_inbox	text	0	0	0	
case_workspace_event_outbox	text	0	0	0	
case_workspace_feature_flags	text	0	0	0	
case_workspace_gateway_evaluations	text	0	0	0	
case_workspace_history_events	text	0	0	0	
case_workspace_legacy_quarantine	text	0	0	0	
case_workspace_node_result_acceptances	text	0	0	0	
case_workspace_node_run_attempts	text	0	0	0	
case_workspace_node_runs	text	0	0	0	
case_workspace_run_bindings	text	0	0	0	
case_workspace_runs	text	0	0	0	
case_workspace_value_measurements	text	0	0	0	
case_workspace_waits	text	0	0	0	
change_champions	text	0	3	3	
change_coaching_actions	text	0	0	0	
change_feedback	text	0	0	0	
change_pulse_checkins	text	0	0	0	
change_requests	text	0	0	0	
change_resistance_alerts	text	0	0	0	
change_sentiment_snapshots	text	0	3	3	
chat_handoff_owner_claims	text	0	0	0	
chat_handoff_owner_ingress	text	0	0	0	
chat_projects	text	0	6	12	
chat_target_mapping_attempts	text	0	0	0	
chat_target_mapping_receipts	text	0	0	0	
checkout_sessions	text	0	0	0	
churn_warnings	text	0	0	0	
client_context	text	0	0	0	
closed_loop_workarounds	text	0	0	0	
closure_delivery_receipts	text	0	0	0	
cloud_import_jobs	text	0	0	0	
cloud_sources	text	0	0	0	
cloud_sync_log	text	0	0	0	
communication_plans	text	0	0	0	
communication_send_log	text	0	0	0	
communication_templates	text	0	0	0	
competency_categories	text	0	0	0	
competency_levels	text	0	0	0	
compliance_records	text	0	0	0	
compliance_settings	text	0	0	0	
compliance_status	text	0	0	0	
compute_job_outputs	text	0	2	2	
compute_jobs	text	0	2	2	
compute_kill_switches	text	0	0	0	
compute_org_concurrency_limits	text	0	0	1	
conclusion_source_packs	text	0	61	61	
conclusions	text	0	62	62	
connectors	text	0	0	0	
consent_records	text	0	0	0	
consultant_org_links	text	0	0	0	
consultant_project_access	text	0	0	0	
content_analytics	text	0	0	0	
content_categories	text	0	0	0	
content_permissions	text	0	0	0	
content_tags	text	0	0	0	
conversation_purge_audit	text	0	0	1	
conversion_events	text	0	0	1431	
crdt_documents	text	0	0	0	
credit_notes	text	0	0	0	
custom_dashboards	text	0	0	0	
custom_prompts	text	0	0	18	
custom_statuses	text	0	0	0	
customer_contracts	text	0	0	0	
customer_lifecycle_transitions	text	0	0	0	
customer_playbook_actions	text	0	0	0	
customer_success_actions	text	0	0	0	
cutover_runbooks	text	0	1	1	
cutover_steps	text	0	1	1	
cv_access_log	text	0	0	0	
data_deletion_log	text	0	0	0	
data_export_requests	text	0	0	0	
data_residency	text	0	0	0	
data_retention_policies	text	0	0	0	
data_subject_requests	text	0	0	0	
decision_alternatives	text	0	3	3	
decision_comments	text	0	0	0	
decision_consulted_opinions	text	0	0	0	
decision_delegations	text	0	0	0	
decision_enhancements	text	0	1	1	
decision_escalation_chain	text	0	0	0	
decision_escalation_log	text	0	0	0	
decision_escalation_templates	text	0	0	0	
decision_playbooks	text	0	0	0	
decision_risks	text	0	0	0	
decision_stakeholders	text	0	0	0	
deck_collab_sessions	text	0	0	0	
deck_comments	text	0	4	4	
deck_data_bindings	text	0	0	0	
deck_export_qa_results	text	0	0	0	
deck_interaction_log	text	0	0	0	
deck_layout_rules	text	0	0	0	
deck_media_library	text	0	0	0	
deck_media_usage_log	text	0	0	0	
deck_pptx_imports	text	0	0	0	
deck_template_governance	text	0	0	0	
delay_alert_log	text	0	0	0	
delay_signals	text	0	0	0	
deliverable_bundles	text	0	9	9	
deliverables_generation_events	text	0	271	279	
digitization_analyses	text	0	17	17	
discovery_sessions	text	0	0	0	
dlp_policies	text	0	0	0	
dlp_violations	text	0	0	0	
document_approval_audit	text	0	0	0	
document_approvals	text	0	1	1	
document_audience_audit	text	0	0	0	
document_audience_profiles	text	0	0	0	
document_brand_voice_audit	text	0	0	0	
document_brand_voice_profiles	text	0	0	0	
document_comments	text	0	2	2	
document_content_block_audit	text	0	0	0	
document_content_blocks	text	0	0	0	
document_share_link_audit	text	0	10	10	
document_share_links	text	0	5	5	
document_source_pack_audit	text	0	0	0	
document_source_packs	text	0	0	0	
document_studio_editor_proposals	text	0	0	0	
domain_verifications	text	0	0	0	
dunning_notifications	text	0	0	0	
dunning_states	text	0	0	0	
email_sender_verifications	text	0	0	0	
email_sends	text	0	0	0	
email_templates	text	0	0	0	
enterprise_contracts	text	0	0	0	
enterprise_feature_flags	text	0	0	0	
escalation_rules	text	0	0	0	
execution_action_audit	text	0	0	0	
execution_audit_log	text	0	0	0	
execution_budget_delete_receipts	text	0	0	0	
execution_case_links	text	0	0	0	
execution_control_kpi_policies	text	0	0	0	
execution_delivery_evidence	text	0	0	0	
execution_identity_aliases	text	0	0	0	
execution_link_reopen_receipts	text	0	0	0	
execution_report_snapshots	uuid	0	0	0	
execution_results_signal_outbox	text	0	0	0	
execution_spine_backfill_receipts	text	0	0	0	
execution_spine_backfill_runs	text	0	0	0	
execution_spine_identity_quarantine	text	0	0	0	
executive_aggregate_cache	text	0	1	1	
executive_insights_cache	text	0	1	1	
external_digital_assessments	text	0	0	0	
feature_flags	text	0	11	11	
feature_requests	text	0	0	0	
feature_update_events	text	0	0	0	
feature_updates	text	0	0	0	
feedback_pulse	text	0	0	0	
finance_analysis_benchmarks	text	0	0	0	
finance_analysis_definitions	text	0	1	1	
finance_analysis_kpi_catalog	text	0	0	18	
finance_analysis_kpi_values	text	0	36	36	
finance_analysis_variance	text	0	0	0	
finance_artifact_aliases	text	0	13	13	
finance_artifacts	text	0	18	18	
finance_baseline_assumptions	text	0	0	0	
finance_baseline_backtest_line_results	text	0	0	0	
finance_baseline_backtest_runs	text	0	0	0	
finance_baseline_context_command_receipts	text	0	0	0	
finance_baseline_models	text	0	0	0	
finance_baseline_outputs	text	0	0	0	
finance_baseline_schedules	text	0	0	0	
finance_baseline_solver_diagnostics	text	0	0	0	
finance_baseline_workspace_contexts	text	0	0	0	
finance_budget_approval_command_receipts	text	0	0	0	
finance_budget_discard_command_receipts	text	0	0	0	
finance_budget_document_import_receipts	text	0	0	0	
finance_budget_initiative_link_receipts	text	0	0	0	
finance_budget_initiative_unlink_receipts	text	0	0	0	
finance_budget_line_command_receipts	text	0	0	0	
finance_budget_projection_command_receipts	text	0	0	0	
finance_budget_registration_receipts	text	0	0	0	
finance_budget_scenario_adjustment_command_receipts	text	0	0	0	
finance_business_versions	text	0	18	18	
finance_candidate_handoffs	text	0	0	0	
finance_comment_assignments	text	0	0	0	
finance_comments	text	0	4	4	
finance_compute_snapshots	text	0	0	0	
finance_digitization_analysis_archive_receipts	text	0	0	0	
finance_digitization_analysis_duplicate_command_receipts	text	0	0	0	
finance_digitization_analysis_financials_receipts	text	0	0	0	
finance_digitization_analysis_initiative_link_receipts	text	0	0	0	
finance_digitization_analysis_planned_benefit_command_receipts	text	0	0	0	
finance_digitization_analysis_registration_receipts	text	0	0	0	
finance_digitization_analysis_scenario_command_receipts	text	0	0	0	
finance_digitization_analysis_update_receipts	text	0	0	0	
finance_exceptions	text	0	0	0	
finance_export_manifests	text	0	0	0	
finance_import_receipts	text	0	0	0	
finance_legacy_usage_events	text	0	896	896	
finance_legal_holds	text	0	0	0	
finance_lineage_edges	text	0	2	2	
finance_lineage_freshness_events	text	0	0	0	
finance_periods	text	0	17	45	
finance_post_investment_reviews	text	0	0	0	
finance_prediction_authoring_receipts	text	0	0	0	
finance_prediction_conflict_resolutions	text	0	0	0	
finance_prediction_driver_overrides	text	0	0	0	
finance_prediction_financing	text	0	0	0	
finance_prediction_impact_chain	text	0	0	0	
finance_prediction_initiatives	text	0	0	0	
finance_prediction_outputs	text	0	0	0	
finance_prediction_preflight_findings	text	0	0	0	
finance_prediction_preflight_runs	text	0	0	0	
finance_prediction_scenarios	text	0	0	0	
finance_reconciliation_runs	text	0	0	0	
finance_retention_policies	text	0	0	0	
finance_review_checklists	text	0	4	4	
finance_saved_views	text	0	2	2	
finance_settings_command_receipts	text	0	0	0	
finance_settings_states	text	0	0	0	
finance_statement_confirmation_receipts	text	0	15	15	
finance_statement_manual_mapping_decisions	text	0	0	0	
finance_statement_pack_archive_command_receipts	text	0	6	6	
finance_statement_source_receipts	text	0	44	44	
finance_stmt_calendars	text	0	1	1	
finance_stmt_entities	text	0	1	1	
finance_stmt_fx	text	0	0	0	
finance_stmt_lines	text	0	238	238	
finance_stmt_periods	text	0	4	4	
finance_stmt_reconciliation	text	0	0	0	
finance_stmt_source_evidence	text	0	0	0	
finance_valuation_advisor_output_variants	text	0	0	0	
finance_valuation_advisor_outputs	text	0	0	0	
finance_valuation_cases	text	0	3	3	
finance_valuation_comps	text	0	0	0	
finance_valuation_compute_command_receipts	text	0	0	0	
finance_valuation_depth_command_receipts	text	0	0	0	
finance_valuation_depth_states	text	0	0	0	
finance_valuation_direct_assumptions	text	0	0	0	
finance_valuation_discard_receipts	text	0	0	0	
finance_valuation_ev_equity_bridge	text	0	0	0	
finance_valuation_ev_equity_bridge_components	text	0	0	0	
finance_valuation_input_command_events	text	0	0	0	
finance_valuation_methods	text	0	0	0	
finance_valuation_negotiation_pack_receipts	text	0	0	0	
finance_valuation_negotiation_packs	text	0	0	0	
finance_valuation_pptx_exports	text	0	0	0	
finance_valuation_registration_command_receipts	text	0	1	1	
finance_valuation_sensitivity_cells	text	0	0	0	
finance_valuation_sensitivity_grids	text	0	0	0	
finance_valuation_terminal	text	0	0	0	
finance_valuation_variants	text	0	2	2	
finance_valuation_wacc_inputs	text	0	0	0	
finance_working_revisions	text	0	18	18	
financial_ai_assumptions	text	0	0	0	
financial_allocations	text	0	0	0	
financial_analyses	text	0	6	6	
financial_analysis_findings	text	0	0	0	
financial_budget_versions	text	0	2	2	
financial_connectors	text	0	0	0	
financial_consolidations	text	0	0	0	
financial_dimensions	text	0	0	0	
financial_forecast_cycles	text	0	0	0	
financial_model_baseline_audit	text	0	6	6	
financial_model_idempotency	text	0	6	6	
financial_model_version_diffs	text	0	0	0	
financial_model_versions	text	0	0	48	
financial_models	text	0	17	20	
financial_ratio_benchmarks	text	0	0	0	
financial_ratio_snapshots	text	0	0	68	
financial_roi_links	text	0	0	0	
financial_statement_ingest_runs	text	0	44	51	
financial_statement_line_aliases	text	0	483	648	
financial_statement_lines	text	0	0	353	
financial_statement_packs	text	0	9	12	
financial_statement_quality_runs	text	0	103	116	
financial_statement_repair_sessions	text	0	26	26	
financial_statement_templates	text	0	0	0	
financial_statement_upload_idempotency	text	0	16	16	
financial_statements	text	0	50	86	
financial_sync_log	text	0	0	0	
financial_valuation_audit	text	0	0	0	
financial_valuation_snapshots	text	0	0	0	
financial_variance_alerts	text	0	0	0	
flow_accepted_classic_runtime_adoptions	text	0	0	0	
flow_teresa_chat_draft_adoptions	text	0	0	0	
flow_transform_lineage_receipts	text	0	0	0	
focus_board_templates	text	0	0	0	
focus_boards	text	0	0	0	
framework_entitlements	text	0	5	15	
framework_import_logs	text	0	0	0	
g4_test_flag_overrides	text	0	0	0	
gdpr_data_subject_requests	text	0	0	0	
gdpr_requests	character varying	0	0	0	
generated_initiatives	text	0	0	0	
generated_workbook_comments	text	0	0	0	
generated_workbook_governance_events	text	0	0	5	
generated_workbook_revisions	text	0	0	29	
generated_workbook_source_bindings	text	0	0	3	
generic_assessment_reports	text	0	0	0	
goal_initiative_links	text	0	0	0	
goals	text	0	0	0	
governance_policies	text	0	0	0	
health_probe_results	text	0	0	0	
help_analytics	text	0	0	0	
help_events	text	0	0	0	
help_feedback	text	0	0	0	
help_progress	text	0	0	0	
idea_business_cases	text	0	1	1	
idea_exports	text	0	0	0	
idea_financial_cases	text	0	1	1	
idea_node_comments	text	0	5	5	
idea_process_flow_candidate_handoffs	text	0	0	0	
idea_workspace_lock_events	text	0	53	53	
idea_workspace_node_locks	text	0	4	4	
ideas	text	0	0	0	
ie_aggregate_relations	text	0	68	107	
ie_aggregate_state	text	0	115	238	
ie_audit_events	text	0	260	341	
ie_command_receipts	text	0	260	340	
ie_governance_policies	text	0	1	8	
ie_governance_role_bindings	text	0	6	15	
ie_initiative_card_selection	text	0	0	0	
ie_initiative_card_versions	text	0	164	175	
ie_outbox_delivery_receipts	text	0	0	0	
ie_outbox_events	text	0	260	339	
imported_reports	text	0	0	0	
inbox_ai_eval_golden_set	text	0	0	0	
inbox_ai_eval_runs	text	0	0	0	
inbox_ai_triage_config	text	0	0	0	
inbox_ai_triage_log	text	0	0	0	
inbox_connector_items	text	0	0	0	
inbox_routing_rules	text	0	0	0	
initiative_ai_blueprints	text	0	0	0	
initiative_benefits	text	0	6	18	
initiative_budget_items	text	0	0	0	
initiative_budgets	text	0	0	0	
initiative_candidates	text	0	5	7	
initiative_closure_evidence	text	0	0	0	
initiative_closure_requests	text	0	0	0	
initiative_comments	text	0	0	0	
initiative_dependencies	text	0	0	20	
initiative_feature_flags	text	0	1	2	
initiative_gate_ai_events	text	0	84	84	
initiative_governance_gates	text	0	0	0	
initiative_handoffs	text	0	40	41	
initiative_intangible_assets	text	0	0	0	
initiative_kpi_mappings	text	0	23	23	
initiative_kpis	text	0	27	30	
initiative_lifecycle_gate_decisions	text	0	0	0	
initiative_linked_items	text	0	0	0	
initiative_milestone_dependencies	text	0	0	0	
initiative_milestones	text	0	0	78	
initiative_profile_update_receipts	text	0	0	0	
initiative_rebaseline_log	text	0	0	0	
initiative_resources	text	0	0	0	
initiative_schedule_baselines	text	0	0	0	
initiative_section_types	text	0	0	26	
initiative_status_history	text	0	44	45	
initiative_suggested_changes	text	0	0	0	
initiative_templates	text	0	0	4	
initiative_tools	text	0	0	0	
initiative_wizard_audit_events	text	0	16	16	
initiative_wizard_candidates	text	0	17	17	
initiative_wizard_sessions	text	0	5	5	
insight_source_baskets	text	0	0	0	
integration_api_keys	text	0	0	0	
integration_audit_log	text	0	2	2	
integration_connection_events	text	0	3	3	
integration_connectors	text	0	0	0	
integration_ownership	text	0	2	2	
integration_queue	text	0	0	0	
integration_secrets	text	0	0	0	
integration_sync_logs	text	0	0	0	
integration_sync_runs	text	0	0	0	
integrations	text	0	0	0	
interview_ai_parse_log	text	0	0	0	
interview_ai_suggestion_audit	text	0	0	0	
interview_answer_history	text	0	1	1	
interview_answers	text	0	0	0	
interview_assignment_events	text	0	0	0	
interview_assignments	text	0	109	118	
interview_candidate_handoffs	text	0	0	0	
interview_context_exports	text	0	0	0	
interview_diagnostics_snapshots	text	0	0	0	
interview_distributions	text	0	0	0	
interview_evidence_access_log	text	0	0	0	
interview_findings	text	0	0	0	
interview_inference_runs	text	0	0	0	
interview_insight_activity	text	0	22	22	
interview_insight_audit_log	text	0	69	69	
interview_insight_candidates	text	0	54	54	
interview_insight_evidence_pointers	text	0	205	205	
interview_insight_exports	text	0	1	1	
interview_insight_findings	text	0	62	77	
interview_insight_handoffs	text	0	0	15	
interview_insights	text	0	18	23	
interview_library_template_versions	text	0	0	0	
interview_notes	text	0	0	0	
interview_public_answer_receipts	text	0	0	0	
interview_quotas	text	0	0	0	
interview_reminder_schedules	text	0	0	0	
interview_report_pack_revisions	text	0	0	0	
interview_report_pack_worksheets	text	0	150	150	
interview_report_packs	text	0	10	10	
interview_respondent_segments	text	0	0	0	
interview_templates	text	0	5	8	
interview_transcript_messages	text	0	1	1	
invitations	text	0	0	1	
invoice_templates	text	0	0	0	
invoices	text	0	0	0	
ip_access_rules	text	0	0	0	
ip_whitelist	text	0	0	0	
journey_events	text	0	0	0	
kg_audit_log	text	0	0	0	
kg_rebuild_jobs	text	0	0	0	
knowledge_chunks	text	0	7600	26177	
knowledge_doc_versions	text	0	47	291	
knowledge_docs	text	0	47	291	
knowledge_documents	text	0	0	0	
knowledge_graph_relations	text	0	0	0	
kpi_attribution_snapshots	text	0	0	0	
kpi_connectors	text	0	0	0	
kpi_crosswalk	text	0	0	0	
kpi_definition_versions	text	0	27	30	
kpi_definitions	text	0	0	0	
kpi_deviation_cases	text	0	0	0	
kpi_financial_mappings	text	0	1	1	
kpi_ingestion_log	text	0	0	0	
kpi_metric_audit_log	text	0	0	0	
kpi_recovery_actions	text	0	0	0	
kpi_recovery_cards	text	0	0	0	
kpi_recovery_cause_decisions	text	0	0	0	
kpi_recovery_checkpoints	text	0	0	0	
kpi_recovery_experiments	text	0	0	0	
kpi_report_delivery_log	text	0	0	0	
kpi_report_schedules	text	0	0	0	
kpi_scorecard_items	text	0	53	53	
kpi_scorecards	text	0	7	7	
kpi_time_series	text	0	12	12	
kpi_wallboard_alerts	text	0	0	0	
kpi_wallboards	text	0	0	0	
lane_decisions	text	0	0	0	
lane_execution_plans	text	0	0	0	
legacy_cutover_signal_intents	text	0	3	3	
legacy_cutover_usage_events	text	0	3	3	
legacy_task_cutover_ledger	text	0	0	0	
legacy_task_cutover_step_ledger	text	0	0	0	
legal_document_acceptances	text	0	0	26	
legal_holds	text	0	0	0	
llm_org_policies	text	0	0	0	
llm_routing_rules	text	0	0	1	
login_history	text	0	0	0	
management_report_schedules	text	0	0	0	
