id,scope,tools,surfaces,mutates,destructive,undo_kind,teresa_callable,source
idea.view.table_platform_saved_view_update,current_view,table,toolbar,true,false,no_undo,yes,"src/components/MyWork/table/TableToolbar.tsx viewContextMenu ""Update"" (~L523-542) → ctx.updateSavedView (platformIntegration.updateSavedView)"
idea.view.table_platform_saved_view_delete,current_view,table,context,true,true,no_undo,yes,"src/components/MyWork/table/TableToolbar.tsx viewContextMenu ""Delete"" (~L543-552) → ctx.deleteSavedView (platformIntegration.deleteSavedView)"
idea.workspace.table_bulk_convert,selected_items,table,toolbar,true,false,local_stack,yes,"src/components/MyWork/table/TableToolbar.tsx bulk-actions ""Convert"" (~L1220-1248) → props.onBulkConvert → IdeaTableTool.tsx handleBulkConvert (~L1326-1364, NIE usePlatform-aware)"
idea.view.table_add_row_with_template,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx chevron ""Add from template"" (~L1283-1289) → props.onAddRowWithTemplate → IdeaTableTool.tsx handleAddRowWithTemplate (useTableRows.ts:205, NIE usePlatform-aware) → RowTemplatePicker onSelect → handleTemplateSelect (useTableRows.ts:216, NIE usePlatform-aware)"
idea.view.table_scoring,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""Scoring Model"" → props.onShowScoringModel + useTableQuickActions.ts tbl_scoring (sierocy przed tą zmianą)"
idea.view.table_export_presentation,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""Export to Presentation"" → props.onShowExportPresentation + useTableQuickActions.ts tbl_export_pptx (sierocy przed tą zmianą)"
idea.view.table_pipeline,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""Idea Pipeline"" → props.onShowPipeline + useTableQuickActions.ts tbl_pipeline (sierocy przed tą zmianą)"
idea.ai.table_copilot,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""AI Copilot"" → props.onShowCopilot + useTableQuickActions.ts tbl_copilot (sierocy przed tą zmianą)"
idea.view.table_voice_input,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""Voice / Image"" → props.onShowVoiceInput + useTableQuickActions.ts tbl_voice (sierocy przed tą zmianą)"
idea.view.table_cross_relations,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""Cross-table Relations"" → props.onShowCrossRelations + useTableQuickActions.ts tbl_cross_relations (sierocy przed tą zmianą)"
idea.view.table_heatmap,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/table/TableToolbar.tsx More/Mobile menu ""Heatmap"" → props.onToggleHeatmap + useTableQuickActions.ts tbl_heatmap (sierocy przed tą zmianą)"
idea.workspace.convert,workspace,all,menu1;panel,true,false,manual_delete,yes,src/services/api.ts:5138 (convertMyIdea) + IdeaMapWorkspace.tsx handleConvert (audyt 02 §A m1_convert)
idea.workspace.duplicate,workspace,all,menu1,true,false,manual_delete,yes,"src/services/api.ts:4619 (duplicateMyIdea) + IdeaMapWorkspace.tsx kebab „Duplikuj"""
idea.workspace.business_case_save,workspace,all,panel,true,false,no_undo,yes,"src/components/MyWork/panel/IdeaBusinessCaseSection.tsx (przycisk „Zapisz sekcję"") + useIdeaBusinessCase.ts saveSection + server/src/routes/ideaBusinessCase.routes.ts PUT"
idea.workspace.business_case_lineage_add,workspace,all,panel,true,false,no_undo,yes,"src/components/MyWork/panel/IdeaBusinessCaseSection.tsx NodeRefPicker onClick ""Powiąż"" (~L163-176) → onAdd → patchSection(key, …)"
idea.workspace.business_case_lineage_remove,workspace,all,panel,true,true,no_undo,yes,"src/components/MyWork/panel/IdeaBusinessCaseSection.tsx LineageChips onClick ""×"" (~L205-212) → onRemove(idx) → patchSection(key, …)"
idea.edge.edit_label,edge,whiteboard;mindmap,context,true,false,local_stack,yes,src/components/MyWork/IdeaWhiteboardTool.tsx handleEdgeEditLabel:3158 (Tablica) · src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_edit_label (Mapa myśli)
idea.edge.insert_node,edge,mindmap,context,true,false,local_stack,yes,src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_insert_node
idea.edge.reverse,edge,whiteboard;mindmap;process_flow,context,true,false,local_stack,yes,"src/components/MyWork/IdeaWhiteboardTool.tsx handleEdgeReverse:3223 (Tablica) · src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_reverse (Mapa myśli) · src/components/MyWork/IdeaProcessFlowTool.tsx handleEdgeReverse:1012 + processflow/useProcessFlowQuickActions.ts pf_edge_reverse (Przepływ, 2026-08-09)"
idea.edge.cycle_arrow,edge,whiteboard;mindmap,context,true,false,local_stack,yes,"src/components/MyWork/IdeaWhiteboardTool.tsx handleEdgeCycleArrow:3200 (Tablica) · src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_arrow (Mapa myśli, od 2026-07-28)"
idea.edge.cycle_style,edge,whiteboard;mindmap,context,true,false,local_stack,yes,src/components/MyWork/IdeaWhiteboardTool.tsx handleEdgeCycleStyle:3178 (Tablica) · src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_cycle_style (Mapa myśli)
idea.edge.edit_relation,edge,mindmap,context,true,false,local_stack,yes,src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_edit_relation
idea.export.table_csv,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx:3372 (legacy inline toolbar button) + useTableQuickActions.ts tbl_export_csv (już istniał, sierocy przed tą zmianą)"
idea.table.copy_clipboard,current_view,table,toolbar,false,false,MISSING,yes,"src/components/MyWork/IdeaTableTool.tsx:3382 (legacy inline toolbar button) + useTableQuickActions.ts tbl_copy_clipboard (NOWE okablowanie, 2026-08-10)"
idea.edge.delete,edge,whiteboard;mindmap,context,true,true,local_stack,yes,src/components/MyWork/IdeaWhiteboardTool.tsx handleEdgeDelete:3245 (Tablica) · src/components/MyWork/mindmap/useMindMapQuickActions.ts mm_edge_delete (Mapa myśli)
idea.edge.pf_edit_props,edge,process_flow,context,false,false,MISSING,yes,"src/components/MyWork/IdeaProcessFlowTool.tsx onEditProps → setEdgeStylePopover (~linia 3805) + processflow/EdgeStylePopover.tsx + processflow/useProcessFlowQuickActions.ts pf_edge_edit_props (nowy odbiornik, 2026-08-09)"
idea.edge.pf_insert_node,edge,process_flow,context,true,false,local_stack,yes,"src/components/MyWork/IdeaProcessFlowTool.tsx insertBetween:1775 (też floating toolbar „Insert between"" i szyna pf_insert_between, processflow/useProcessFlowQuickActions.ts:100 — REUŻYTY odbiornik, nie duplikowany)"
idea.edge.pf_condition_none,edge,process_flow,context,true,false,local_stack,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx EDGE_CONDITIONS[0] + IdeaProcessFlowTool.tsx handleEdgeConditionChange:942
idea.edge.pf_condition_yes,edge,process_flow,context,true,false,local_stack,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx EDGE_CONDITIONS[1] + IdeaProcessFlowTool.tsx handleEdgeConditionChange:942
idea.edge.pf_condition_no,edge,process_flow,context,true,false,local_stack,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx EDGE_CONDITIONS[2] + IdeaProcessFlowTool.tsx handleEdgeConditionChange:942
idea.edge.pf_condition_default,edge,process_flow,context,true,false,local_stack,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx EDGE_CONDITIONS[3] + IdeaProcessFlowTool.tsx handleEdgeConditionChange:942
idea.edge.pf_condition_exception,edge,process_flow,context,true,false,local_stack,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx EDGE_CONDITIONS[4] + IdeaProcessFlowTool.tsx handleEdgeConditionChange:942
idea.edge.pf_delete,edge,process_flow,context,true,true,local_stack,yes,"src/components/MyWork/IdeaProcessFlowTool.tsx onDelete → deleteSelected() (~linia 3816) + processflow/useProcessFlowNodes.ts:70 (też szyna pf_delete, processflow/useProcessFlowQuickActions.ts:185 — REUŻYTY odbiornik, nie duplikowany)"
idea.node.pf_properties,single_item,process_flow,context;floating,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getNodeContextActions id=properties:96 (onOpenProperties) + IdeaProcessFlowTool.tsx (~linia 3794) · dual-surface: ProcessFlowFloatingToolbar.tsx onRename prop (~linia 3485), IdeaProcessFlowTool.tsx onRename → setShowPropertiesPanel(true) — DOKŁADNIE ta sama funkcja"
idea.node.pf_edit,single_item,process_flow,context,false,false,MISSING,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getNodeContextActions id=edit:103 (onEditLabel) + IdeaProcessFlowTool.tsx editSignal bump (~linia 3759)
idea.node.pf_copy,single_item,process_flow,context,false,false,MISSING,yes,src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getNodeContextActions id=copy:119 (onCopy) + IdeaProcessFlowTool.tsx copyNodeById (~linia 3778) + useProcessFlowNodes.ts kopiujWezly/copyNodeById:186-215
idea.node.pf_ai_rewrite_step,single_item,process_flow,context,true,false,proposal,yes,"src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getNodeContextActions id=ai-rewrite-step:144 (onAIRewriteStep) + IdeaProcessFlowTool.tsx openStepRewrite:817 + createStepRewriteProposal (useProcessFlowAIProposal.ts:356) + processflow/useProcessFlowQuickActions.ts pf_ai_rewrite_step (nowy odbiornik, 2026-08-09)"
idea.node.pf_convert_initiative,single_item,process_flow,context;toolbar,true,false,manual_delete,yes,"src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getNodeContextActions id=convert-initiative:155 (onConvertInitiative) + IdeaProcessFlowTool.tsx handleConvert:2361 + IdeaMapWorkspace.tsx CONVERT_PREFIX_MAP/handleQuickAction:1017-1045 (selectedIds/nodeIds mismatch discovered here) + Api.convertMyIdea (Teresa path, direct call, 2026-08-09)"
idea.node.pf_artifact_links,single_item,process_flow,floating,false,false,MISSING,yes,src/components/MyWork/processflow/ProcessFlowFloatingToolbar.tsx onClick → setShowLinks (~linia 111)
idea.node.pf_comments,single_item,process_flow,floating,false,false,MISSING,yes,src/components/MyWork/processflow/ProcessFlowFloatingToolbar.tsx onClick → onOpenComments (~linia 128) + IdeaProcessFlowTool.tsx setCommentsPanelNodeId (~linia 3500)
idea.node.pf_open_chat,single_item,process_flow,floating;toolbar,false,false,MISSING,yes,src/components/MyWork/processflow/ProcessFlowFloatingToolbar.tsx onClick → onOpenChat (~linia 145) + IdeaProcessFlowTool.tsx handleOpenChatWithContext:2371
idea.view.pf_add_decision,current_view,process_flow,context,true,false,local_stack,yes,"src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getCanvasContextActions „add-decision"" (`onAddNode('decision')`) + processflow/useProcessFlowQuickActions.ts pf_add_decision (odbiornik istniał już przed tą falą, bez wołającego z rejestru)"
idea.view.pf_paste_at_point,current_view,process_flow,context,true,false,local_stack,yes,"src/components/MyWork/processflow/ProcessFlowContextMenu.tsx getCanvasContextActions „paste"" (`onPaste` → `pasteClipboard()`) + useProcessFlowNodes.ts pasteClipboard/schowekRef"
idea.lane.pf_rename,lane_frame,process_flow,inline,true,false,local_stack,yes,src/components/MyWork/processflow/LaneSystem.tsx LaneBackground onDoubleClick → onRename prop
idea.lane.pf_move_up,lane_frame,process_flow,inline,true,false,local_stack,yes,"src/components/MyWork/processflow/LaneSystem.tsx LaneBackground przycisk „Move up"" → onMoveUp prop"
idea.lane.pf_move_down,lane_frame,process_flow,inline,true,false,local_stack,yes,"src/components/MyWork/processflow/LaneSystem.tsx LaneBackground przycisk „Move down"" → onMoveDown prop"
idea.lane.pf_color,lane_frame,process_flow,inline,true,false,local_stack,yes,src/components/MyWork/processflow/LaneSystem.tsx LaneBackground selektor kolorów → onColorChange prop
idea.lane.pf_toggle_collapse,lane_frame,process_flow,inline,true,false,local_stack,yes,src/components/MyWork/processflow/LaneSystem.tsx LaneBackground przycisk zwiń/rozwiń → onToggleCollapse prop
idea.lane.pf_delete,lane_frame,process_flow,inline,true,true,local_stack,yes,"src/components/MyWork/processflow/LaneSystem.tsx LaneBackground przycisk „Delete lane"" → onDelete prop"
idea.view.pf_mode_classic,current_view,process_flow,toolbar,true,false,local_stack,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx role=""tablist"" (~linia 273-296, onClick → setFlowMode) + processflow/useProcessFlowQuickActions.ts pf_mode_classic:157 (odbiornik istniał bez wołającego)"
idea.view.pf_mode_automation,current_view,process_flow,toolbar,true,false,local_stack,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx role=""tablist"" (~linia 273-296) + processflow/useProcessFlowQuickActions.ts pf_mode_automation:158"
idea.view.pf_mode_vsm,current_view,process_flow,toolbar,true,false,local_stack,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx role=""tablist"" (~linia 273-296) + processflow/useProcessFlowQuickActions.ts pf_mode_vsm:160"
idea.view.pf_toggle_kpi,current_view,process_flow,toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx menu „Więcej"" → setShowKPIDashboard (~linia 480) + IdeaProcessFlowTool.tsx showKPIDashboard:435/3476"
idea.view.pf_validate,current_view,process_flow,toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx menu „Więcej"" → runValidation (~linia 492) + IdeaProcessFlowTool.tsx runValidation:2131 → validateFlowWarnings (processflow/validateFlow.ts, heurystyka bez LLM)"
idea.ai.pf_process_summary,current_view,process_flow,toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx menu „Więcej"" → generateSummary (~linia 523) + IdeaProcessFlowTool.tsx handleProcessSummary:2196 → ideaAIGenerator.generateProcessSummary → Api.generateIdeaAI(process_summary) → llmService.callStructured (realny LLM, zweryfikowane do serwera włącznie) + processflow/useProcessFlowQuickActions.ts pf_summary (NOWY odbiornik, 2026-08-10)"
idea.view.pf_readback,current_view,process_flow,toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx menu „Więcej"" → onOpenReadback (~linia 543) + IdeaProcessFlowTool.tsx setShowReadbackPanel+fetchReadback:2893 + processflow/useProcessFlowReadback.ts generateReadback (klient, bez LLM)"
idea.view.pf_open_ai_proposal,current_view,process_flow,toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx menu „Więcej"" → onOpenAIProposal (~linia 557, za stałą AI_PROPOSAL_ENABLED) + IdeaProcessFlowTool.tsx setShowAIPanel:2898"
idea.node.pf_convert_task_set,single_item,process_flow,toolbar,true,false,manual_delete,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx grupa „Konwertuj"" pozycja pf_convert_task_set (~linia 646) → onConvert → IdeaProcessFlowTool.handleConvert:2385 → IdeaMapWorkspace.tsx CONVERT_PREFIX_MAP:1030 (target task_set, `live` w ideaConvertTargets.ts) + Api.convertMyIdea (ścieżka Teresy, wprost)"
idea.node.pf_convert_report,single_item,process_flow,toolbar,true,false,manual_delete,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx grupa „Konwertuj"" pozycja pf_convert_report (~linia 650) → onConvert → IdeaProcessFlowTool.handleConvert:2385 → IdeaMapWorkspace.tsx CONVERT_PREFIX_MAP:1031 (target report, `live`) + Api.convertMyIdea (ścieżka Teresy, wprost)"
idea.node.pf_convert_analysis,single_item,process_flow,toolbar,false,false,MISSING,yes,"src/components/MyWork/processflow/ProcessFlowToolbar.tsx grupa „Konwertuj"" pozycja pf_convert_analysis (~linia 651) → onConvert → IdeaProcessFlowTool.handleConvert:2385 → IdeaMapWorkspace.tsx CONVERT_PREFIX_MAP:1032 (target `analysis`) → handleConvert:2202 `IDEA_CONVERT_TARGETS.some(...)` FALSE → toast.error. Target usunięty w ideaConvertTargets.ts (audyt Z3 2026-07-24, komentarz w tablicy wymienia `analysis` imiennie)."
idea.canvas.insert_shape_circle,current_view,whiteboard,toolbar,true,false,local_stack,yes,"src/components/MyWork/whiteboard/WhiteboardToolbar.tsx:227-231 (dropdown „Wstaw"") + useWhiteboardQuickActions.ts:100 (wb_add_shape_circle, dotąd nieużywany odbiornik)"
idea.canvas.insert_shape_diamond,current_view,whiteboard,toolbar,true,false,local_stack,yes,"src/components/MyWork/whiteboard/WhiteboardToolbar.tsx:232-237 (dropdown „Wstaw"") + useWhiteboardQuickActions.ts:101 (wb_add_shape_diamond, dotąd nieużywany odbiornik)"
idea.canvas.insert_shape_hexagon,current_view,whiteboard,toolbar,true,false,local_stack,yes,"src/components/MyWork/whiteboard/WhiteboardToolbar.tsx:238-243 (dropdown „Wstaw"") + useWhiteboardQuickActions.ts:102 (wb_add_shape_hexagon, dotąd nieużywany odbiornik)"
idea.view.pf_add_start,current_view,process_flow,inline,true,false,local_stack,yes,"src/components/MyWork/IdeaProcessFlowTool.tsx empty-state CTA ""addStart"" (~L3458, `addNode(flowMode === 'vsm' ? 'vsm_process' : 'start')`) + processflow/useProcessFlowQuickActions.ts pf_add_start/pf_add_vsm_process (odbiorniki istniały już przed tą falą, bez wołającego z rejestru)"
idea.canvas.insert_image,current_view,whiteboard,toolbar,true,false,local_stack,yes,"src/components/MyWork/whiteboard/WhiteboardToolbar.tsx:244-249,257 (dropdown „Wstaw"" + domyślny klik) + useWhiteboardQuickActions.ts:122 (wb_add_image, dotąd nieużywany odbiornik)"
