sciezka	katalog	typ	rozmiar_B	istnieje_na_dysku
docs/qa/a9-2026-08-13/16f-selfheal-seed.log	docs/qa/a9-2026-08-13	dokument	11	TAK
docs/qa/a9-2026-08-13/16g-api-unavailable.log	docs/qa/a9-2026-08-13	dokument	107	TAK
docs/qa/a9-2026-08-13/16g-server-restart2.log	docs/qa/a9-2026-08-13	dokument	34484	TAK
docs/qa/a9-2026-08-13/17-final-full-inventory.sql.txt	docs/qa/a9-2026-08-13	sql	529	TAK
docs/qa/a10-2026-08-13/00-api-ready.json	docs/qa/a10-2026-08-13	json	298	TAK
docs/qa/a10-2026-08-13/01-library-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	44552	TAK
docs/qa/a10-2026-08-13/01-library-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	46700	TAK
docs/qa/a10-2026-08-13/01-library-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	44004	TAK
docs/qa/a10-2026-08-13/01-library-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	46234	TAK
docs/qa/a10-2026-08-13/02-interview-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	254691	TAK
docs/qa/a10-2026-08-13/02-interview-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	313347	TAK
docs/qa/a10-2026-08-13/02-interview-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	249751	TAK
docs/qa/a10-2026-08-13/02-interview-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	309447	TAK
docs/qa/a10-2026-08-13/02b-mw-interview-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	218957	TAK
docs/qa/a10-2026-08-13/02b-mw-interview-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	230207	TAK
docs/qa/a10-2026-08-13/02b-mw-interview-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	215547	TAK
docs/qa/a10-2026-08-13/02b-mw-interview-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	227969	TAK
docs/qa/a10-2026-08-13/02c-interview-initial-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	309429	TAK
docs/qa/a10-2026-08-13/02d-interview-state-0-potwierdzone-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	311651	TAK
docs/qa/a10-2026-08-13/02d-interview-state-1-cz-ciowo-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	314548	TAK
docs/qa/a10-2026-08-13/02d-interview-state-10-nie-mam-dowodu-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	302248	TAK
docs/qa/a10-2026-08-13/02d-interview-state-11-nie-dotyczy-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	288698	TAK
docs/qa/a10-2026-08-13/02d-interview-state-12-potwierdzone-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	287406	TAK
docs/qa/a10-2026-08-13/02d-interview-state-13-cz-ciowo-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	287383	TAK
docs/qa/a10-2026-08-13/02d-interview-state-14-nie-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	287117	TAK
docs/qa/a10-2026-08-13/02d-interview-state-15-nie-wiem-potrzebuj-pomocy-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	295821	TAK
docs/qa/a10-2026-08-13/02d-interview-state-16-nie-mam-dowodu-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	287449	TAK
docs/qa/a10-2026-08-13/02d-interview-state-17-nie-dotyczy-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	282346	TAK
docs/qa/a10-2026-08-13/02d-interview-state-2-nie-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	311114	TAK
docs/qa/a10-2026-08-13/02d-interview-state-3-nie-wiem-potrzebuj-pomocy-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	316536	TAK
docs/qa/a10-2026-08-13/02d-interview-state-4-nie-mam-dowodu-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	313128	TAK
docs/qa/a10-2026-08-13/02d-interview-state-5-nie-dotyczy-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	295471	TAK
docs/qa/a10-2026-08-13/02d-interview-state-6-potwierdzone-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	302236	TAK
docs/qa/a10-2026-08-13/02d-interview-state-7-cz-ciowo-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	302152	TAK
docs/qa/a10-2026-08-13/02d-interview-state-8-nie-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	301853	TAK
docs/qa/a10-2026-08-13/02d-interview-state-9-nie-wiem-potrzebuj-pomocy-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	303925	TAK
docs/qa/a10-2026-08-13/02e-dontknow-before-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	309830	TAK
docs/qa/a10-2026-08-13/02f-dontknow-after-click-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	318420	TAK
docs/qa/a10-2026-08-13/03-matrix-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	125907	TAK
docs/qa/a10-2026-08-13/03-matrix-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	130642	TAK
docs/qa/a10-2026-08-13/03-matrix-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	124575	TAK
docs/qa/a10-2026-08-13/03-matrix-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	130016	TAK
docs/qa/a10-2026-08-13/03b-mw-matrix-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	80024	TAK
docs/qa/a10-2026-08-13/03b-mw-matrix-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	83595	TAK
docs/qa/a10-2026-08-13/03b-mw-matrix-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	79040	TAK
docs/qa/a10-2026-08-13/03b-mw-matrix-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	82664	TAK
docs/qa/a10-2026-08-13/03c-matrix-before-click-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	130221	TAK
docs/qa/a10-2026-08-13/03d-matrix-after-click-sidesheet-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	134831	TAK
docs/qa/a10-2026-08-13/03e-matrix-after-close-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	130221	TAK
docs/qa/a10-2026-08-13/04-split-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	216833	TAK
docs/qa/a10-2026-08-13/04-split-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	252678	TAK
docs/qa/a10-2026-08-13/04-split-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	213459	TAK
docs/qa/a10-2026-08-13/04-split-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	249984	TAK
docs/qa/a10-2026-08-13/05-teresa-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	268291	TAK
docs/qa/a10-2026-08-13/05-teresa-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	344208	TAK
docs/qa/a10-2026-08-13/05-teresa-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	263552	TAK
docs/qa/a10-2026-08-13/05-teresa-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	340468	TAK
docs/qa/a10-2026-08-13/06-approval-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	254137	TAK
docs/qa/a10-2026-08-13/06-approval-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	333086	TAK
docs/qa/a10-2026-08-13/06-approval-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	249571	TAK
docs/qa/a10-2026-08-13/06-approval-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	328836	TAK
docs/qa/a10-2026-08-13/06b-approval-actor-approver-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	329002	TAK
docs/qa/a10-2026-08-13/06c-approval-actor-owner-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	330480	TAK
docs/qa/a10-2026-08-13/06d-approval-owner-click-refusal-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	317136	TAK
docs/qa/a10-2026-08-13/07-output-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	111356	TAK
docs/qa/a10-2026-08-13/07-output-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	142405	TAK
docs/qa/a10-2026-08-13/07-output-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	109550	TAK
docs/qa/a10-2026-08-13/07-output-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	138467	TAK
docs/qa/a10-2026-08-13/08-report-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	111455	TAK
docs/qa/a10-2026-08-13/08-report-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	142623	TAK
docs/qa/a10-2026-08-13/08-report-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	108627	TAK
docs/qa/a10-2026-08-13/08-report-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	139923	TAK
docs/qa/a10-2026-08-13/09-initiative-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	112039	TAK
docs/qa/a10-2026-08-13/09-initiative-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	141269	TAK
docs/qa/a10-2026-08-13/09-initiative-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	109332	TAK
docs/qa/a10-2026-08-13/09-initiative-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	140155	TAK
docs/qa/a10-2026-08-13/10-reopen-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	255028	TAK
docs/qa/a10-2026-08-13/10-reopen-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	310493	TAK
docs/qa/a10-2026-08-13/10-reopen-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	250519	TAK
docs/qa/a10-2026-08-13/10-reopen-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	306185	TAK
docs/qa/a10-2026-08-13/11-http-conflict-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	39407	TAK
docs/qa/a10-2026-08-13/11-http-conflict-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	42936	TAK
docs/qa/a10-2026-08-13/11-http-conflict-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	38930	TAK
docs/qa/a10-2026-08-13/11-http-conflict-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	42471	TAK
docs/qa/a10-2026-08-13/11-http-offline-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	241809	TAK
docs/qa/a10-2026-08-13/11-http-offline-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	289199	TAK
docs/qa/a10-2026-08-13/11-http-offline-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	237106	TAK
docs/qa/a10-2026-08-13/11-http-offline-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	285053	TAK
docs/qa/a10-2026-08-13/11-http-reconnecting-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	15465	TAK
docs/qa/a10-2026-08-13/11-http-reconnecting-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	17874	TAK
docs/qa/a10-2026-08-13/11-http-reconnecting-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	15415	TAK
docs/qa/a10-2026-08-13/11-http-reconnecting-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	17854	TAK
docs/qa/a10-2026-08-13/11-http-recovered-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	238564	TAK
docs/qa/a10-2026-08-13/11-http-recovered-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	285857	TAK
docs/qa/a10-2026-08-13/11-http-recovered-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	234171	TAK
docs/qa/a10-2026-08-13/11-http-recovered-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	282044	TAK
docs/qa/a10-2026-08-13/11-http-recovery-draft-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	250115	TAK
docs/qa/a10-2026-08-13/11-http-recovery-draft-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	296851	TAK
docs/qa/a10-2026-08-13/11-http-recovery-draft-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	244483	TAK
docs/qa/a10-2026-08-13/11-http-recovery-draft-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	292541	TAK
docs/qa/a10-2026-08-13/11-http-saved-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	238149	TAK
docs/qa/a10-2026-08-13/11-http-saved-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	300028	TAK
docs/qa/a10-2026-08-13/11-http-saved-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	233285	TAK
docs/qa/a10-2026-08-13/11-http-saved-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	295807	TAK
docs/qa/a10-2026-08-13/11-http-saving-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	238448	TAK
docs/qa/a10-2026-08-13/11-http-saving-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	300036	TAK
docs/qa/a10-2026-08-13/11-http-saving-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	233753	TAK
docs/qa/a10-2026-08-13/11-http-saving-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	296103	TAK
docs/qa/a10-2026-08-13/11-http-server-dark-1280x800.png	docs/qa/a10-2026-08-13	zrzut	249771	TAK
docs/qa/a10-2026-08-13/11-http-server-dark-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	307450	TAK
docs/qa/a10-2026-08-13/11-http-server-light-1280x800.png	docs/qa/a10-2026-08-13	zrzut	245151	TAK
docs/qa/a10-2026-08-13/11-http-server-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	304023	TAK
docs/qa/a10-2026-08-13/12a-interview-keyboard-focus-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	310541	TAK
docs/qa/a10-2026-08-13/12b-teresa-reduced-motion-light-1600x1000.png	docs/qa/a10-2026-08-13	zrzut	340065	TAK
docs/qa/a10-2026-08-13/A10_DEFECT_REGISTER.md	docs/qa/a10-2026-08-13	dokument	17702	TAK
docs/qa/a10-2026-08-13/capture-console-errors.json	docs/qa/a10-2026-08-13	json	18748	TAK
docs/qa/a10-2026-08-13/capture-log.txt	docs/qa/a10-2026-08-13	dokument	21479	TAK
docs/qa/a10-2026-08-13/capture-run.log	docs/qa/a10-2026-08-13	dokument	21515	TAK
docs/qa/a10-2026-08-13/frontend.log	docs/qa/a10-2026-08-13	dokument	520	TAK
docs/qa/a10-2026-08-13/frontend2.log	docs/qa/a10-2026-08-13	dokument	3480	TAK
docs/qa/a10-2026-08-13/gate-front.log	docs/qa/a10-2026-08-13	dokument	72407	TAK
docs/qa/a10-2026-08-13/gate-server.log	docs/qa/a10-2026-08-13	dokument	72059	TAK
docs/qa/a10-2026-08-13/interact-run.log	docs/qa/a10-2026-08-13	dokument	830	TAK
docs/qa/a10-2026-08-13/recapture-http.log	docs/qa/a10-2026-08-13	dokument	1097	TAK
docs/qa/a10-2026-08-13/server.log	docs/qa/a10-2026-08-13	dokument	34409	TAK
docs/qa/a10-2026-08-13/server2.log	docs/qa/a10-2026-08-13	dokument	36206	TAK
docs/qa/a10-2026-08-13/server3.log	docs/qa/a10-2026-08-13	dokument	35683	TAK
docs/qa/a10-2026-08-13/server4.log	docs/qa/a10-2026-08-13	dokument	86730	TAK
docs/qa/mpq-2026-08-13/MPQ_SCORECARD.md	docs/qa/mpq-2026-08-13	dokument	14935	TAK
docs/qa/mpq-2026-08-13/v1-presentation-dark.png	docs/qa/mpq-2026-08-13	zrzut	142126	TAK
docs/qa/mpq-2026-08-13/v1-presentation-light.png	docs/qa/mpq-2026-08-13	zrzut	139074	TAK
docs/qa/mpq-2026-08-13/v1-presentation-slide3-light.png	docs/qa/mpq-2026-08-13	zrzut	119977	TAK
docs/qa/mpq-2026-08-13/v1-report-dark.png	docs/qa/mpq-2026-08-13	zrzut	216021	TAK
docs/qa/mpq-2026-08-13/v1-report-light-bottom.png	docs/qa/mpq-2026-08-13	zrzut	347206	TAK
docs/qa/mpq-2026-08-13/v1-report-light.png	docs/qa/mpq-2026-08-13	zrzut	214976	TAK
docs/qa/mpq-2026-08-13/v1-workview-dark.png	docs/qa/mpq-2026-08-13	zrzut	674648	TAK
docs/qa/mpq-2026-08-13/v1-workview-light.png	docs/qa/mpq-2026-08-13	zrzut	666502	TAK
docs/qa/mpq-2026-08-13/v1-workview-matrix-light.png	docs/qa/mpq-2026-08-13	zrzut	304589	TAK
docs/qa/mpq-2026-08-13/v2-presentation-dark.png	docs/qa/mpq-2026-08-13	zrzut	150698	TAK
docs/qa/mpq-2026-08-13/v2-presentation-light.png	docs/qa/mpq-2026-08-13	zrzut	147459	TAK
docs/qa/mpq-2026-08-13/v2-presentation-slide3-light.png	docs/qa/mpq-2026-08-13	zrzut	120786	TAK
docs/qa/mpq-2026-08-13/v2-report-dark.png	docs/qa/mpq-2026-08-13	zrzut	216021	TAK
docs/qa/mpq-2026-08-13/v2-report-light-full.png	docs/qa/mpq-2026-08-13	zrzut	535781	TAK
docs/qa/mpq-2026-08-13/v2-report-light.png	docs/qa/mpq-2026-08-13	zrzut	214976	TAK
docs/qa/mpq-2026-08-13/v2-workview-dark.png	docs/qa/mpq-2026-08-13	zrzut	674865	TAK
docs/qa/mpq-2026-08-13/v2-workview-light.png	docs/qa/mpq-2026-08-13	zrzut	665711	TAK
docs/qa/mpq-independent-2026-08-13/README.md	docs/qa/mpq-independent-2026-08-13	dokument	3365	TAK
docs/qa/mpq-independent-2026-08-13/library-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	67695	TAK
docs/qa/mpq-independent-2026-08-13/library-empty-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	81682	TAK
docs/qa/mpq-independent-2026-08-13/library-error-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	76811	TAK
docs/qa/mpq-independent-2026-08-13/library-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	67793	TAK
docs/qa/mpq-independent-2026-08-13/library-light-768.png	docs/qa/mpq-independent-2026-08-13	zrzut	52450	TAK
docs/qa/mpq-independent-2026-08-13/library-loading-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	33969	TAK
docs/qa/mpq-independent-2026-08-13/liveartifact-initiative-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	126002	TAK
docs/qa/mpq-independent-2026-08-13/liveartifact-initiative-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	123556	TAK
docs/qa/mpq-independent-2026-08-13/liveartifact-output-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	115063	TAK
docs/qa/mpq-independent-2026-08-13/liveartifact-output-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	113009	TAK
docs/qa/mpq-independent-2026-08-13/liveartifact-report-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	122822	TAK
docs/qa/mpq-independent-2026-08-13/liveartifact-report-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	120453	TAK
docs/qa/mpq-independent-2026-08-13/orphan-presentation-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	66184	TAK
docs/qa/mpq-independent-2026-08-13/orphan-presentation-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	65239	TAK
docs/qa/mpq-independent-2026-08-13/orphan-report-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	119140	TAK
docs/qa/mpq-independent-2026-08-13/orphan-report-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	119768	TAK
docs/qa/mpq-independent-2026-08-13/sessions-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	57693	TAK
docs/qa/mpq-independent-2026-08-13/sessions-empty-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	51664	TAK
docs/qa/mpq-independent-2026-08-13/sessions-error-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	42214	TAK
docs/qa/mpq-independent-2026-08-13/sessions-keyboard-focus-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	58404	TAK
docs/qa/mpq-independent-2026-08-13/sessions-light-1280.png	docs/qa/mpq-independent-2026-08-13	zrzut	55321	TAK
docs/qa/mpq-independent-2026-08-13/sessions-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	57037	TAK
docs/qa/mpq-independent-2026-08-13/sessions-light-768.png	docs/qa/mpq-independent-2026-08-13	zrzut	43479	TAK
docs/qa/mpq-independent-2026-08-13/sessions-light-zoom200.png	docs/qa/mpq-independent-2026-08-13	zrzut	84386	TAK
docs/qa/mpq-independent-2026-08-13/sessions-loading-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	12407	TAK
docs/qa/mpq-independent-2026-08-13/sessions-longtext-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	117664	TAK
docs/qa/mpq-independent-2026-08-13/workview-focus-matrix-button.png	docs/qa/mpq-independent-2026-08-13	zrzut	4033	TAK
docs/qa/mpq-independent-2026-08-13/workview-focus-navitem.png	docs/qa/mpq-independent-2026-08-13	zrzut	21280	TAK
docs/qa/mpq-independent-2026-08-13/workview-focus-stop-8.png	docs/qa/mpq-independent-2026-08-13	zrzut	272535	TAK
docs/qa/mpq-independent-2026-08-13/workview-focus-stop-9.png	docs/qa/mpq-independent-2026-08-13	zrzut	272379	TAK
docs/qa/mpq-independent-2026-08-13/workview-interview-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	276183	TAK
docs/qa/mpq-independent-2026-08-13/workview-interview-light-1280.png	docs/qa/mpq-independent-2026-08-13	zrzut	250816	TAK
docs/qa/mpq-independent-2026-08-13/workview-interview-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	272154	TAK
docs/qa/mpq-independent-2026-08-13/workview-interview-light-768.png	docs/qa/mpq-independent-2026-08-13	zrzut	161301	TAK
docs/qa/mpq-independent-2026-08-13/workview-interview-light-zoom200.png	docs/qa/mpq-independent-2026-08-13	zrzut	224057	TAK
docs/qa/mpq-independent-2026-08-13/workview-keyboard-focus-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	272974	TAK
docs/qa/mpq-independent-2026-08-13/workview-matrix-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	140607	TAK
docs/qa/mpq-independent-2026-08-13/workview-matrix-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	139916	TAK
docs/qa/mpq-independent-2026-08-13/workview-matrix-light-768.png	docs/qa/mpq-independent-2026-08-13	zrzut	130271	TAK
docs/qa/mpq-independent-2026-08-13/workview-split-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	282657	TAK
docs/qa/mpq-independent-2026-08-13/workview-split-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	278534	TAK
docs/qa/mpq-independent-2026-08-13/workview-split-scrolled-dark-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	265909	TAK
docs/qa/mpq-independent-2026-08-13/workview-split-scrolled-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	264047	TAK
docs/qa/mpq-independent-2026-08-13/workview-teresa-light-1440-retry.png	docs/qa/mpq-independent-2026-08-13	zrzut	293290	TAK
docs/qa/mpq-independent-2026-08-13/workview-teresa-light-1440.png	docs/qa/mpq-independent-2026-08-13	zrzut	5851	TAK
docs/qa/mpq-reaudit-2026-08-13/focus-ring-check.png	docs/qa/mpq-reaudit-2026-08-13	zrzut	6406	TAK
docs/qa/mpq-reaudit-2026-08-13/library-dark-1440.png	docs/qa/mpq-reaudit-2026-08-13	zrzut	141025	TAK
docs/qa/mpq-reaudit-2026-08-13/library-error-dark-1440.png	docs/qa/mpq-reaudit-2026-08-13	zrzut	179123	TAK
