claim	evidence_path_or_command	exists_on_disk	kind
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ADMIN_PANEL_COMPLETE_PRODUCT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ADMIN_PANEL_MARKET_BENCHMARK_AS_IS_GAPS_AND_GOLDEN_FLOWS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ADMIN_PANEL_ROLES_TEAMS_PROJECTS_AND_WORKFLOWS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ADMIN_PANEL_SECURITY_DATA_BILLING_AUDIT_AND_SUPERADMIN_BOUNDARY.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/AI_GENERATOR_ARTIFACT_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_EVIDENCE_AND_SCORING_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_INTERVIEW_QUESTION_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_KB_ADMA.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_KB_DRD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_KB_SIRI.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_KNOWLEDGE_BASE_AND_COMMUNICATION_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_METHOD_PACK_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_OUTPUT_AND_PROVENANCE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_QUESTION_HELP_AND_CONVERSATION_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_SESSION_LIFECYCLE_ROLES_AND_INTEGRATIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_UI_NAVIGATION_AND_MATRIX_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/ASSESSMENT_WORKBENCH_SYSTEM_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CALENDAR_AS_IS_MVP_GAPS_AND_QUESTIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CALENDAR_COMPLETE_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CALENDAR_SYNCHRONIZATION_AND_INTEROPERABILITY_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CALENDAR_UX_AI_AND_CAPACITY_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CANVAS_AS_IS_MVP_GAPS_GOLDEN_FLOWS_AND_AUDIT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CANVAS_CLAUDE_OPENAI_BENCHMARK_AND_PRODUCT_ADAPTATION.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CANVAS_COMPLETE_PRODUCT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CANVAS_FLEXIBLE_ARTIFACT_RUNTIME_TECHNICAL_BLUEPRINT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CANVAS_INFORMATION_ARCHITECTURE_MENU_AND_INTERACTION_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CANVAS_TERESA_COLLABORATION_SOURCES_AND_HANDOFF_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CHAT_AS_IS_FUNCTION_INVENTORY_MVP_GAPS_AND_GOLDEN_FLOWS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CHAT_COMPOSER_TOOLS_COMMANDS_AND_OUTPUTS_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CHAT_HISTORY_THREADS_LIBRARY_AND_MEMORY_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CHAT_TERESA_COMPLETE_PRODUCT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CHAT_TERESA_ORCHESTRATION_MODULE_COMMUNICATION_AND_GOVERNANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_AI_RETRIEVAL_CITATION_AND_KNOWLEDGE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_AS_IS_MVP_GAPS_AND_QUESTIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_DATA_API_EVENTS_AND_OBSERVABILITY_BLUEPRINT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_END_TO_END_WORKFLOWS_AND_HANDOFFS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_HARVEY_BENCHMARK_AND_CONSULTIFY_ADAPTATION.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_INFORMATION_ARCHITECTURE_AND_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_INGESTION_INDEXING_AND_SYNCHRONIZATION_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_SECURITY_GOVERNANCE_AND_LIFECYCLE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/CLIENT_VAULT_UI_UX_AND_AI_INTERACTION_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/DECISIONS_COMPLETE_PRODUCT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/EXECUTION_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/EXECUTION_FUNCTION_SPEC_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/EXECUTION_MARKET_BENCHMARK.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_ARTIFACT_SHARED_SHELL_AND_MENU_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_FOUR_TOOLS_AS_IS_MVP_GAPS_AND_QUESTIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_MIND_MAP_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_MIND_MAP_INTERACTION_AND_VISUAL_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_PROCESS_FLOW_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_PROCESS_FLOW_INTERACTION_AND_VISUAL_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_TABLE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_TABLE_INTERACTION_AND_VISUAL_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_WHITEBOARD_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/IDEAS_WHITEBOARD_INTERACTION_AND_VISUAL_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INBOX_AS_IS_MVP_GAPS_AND_QUESTIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INBOX_COMPLETE_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INBOX_SOURCES_SYNCHRONIZATION_AND_ROUTING_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INBOX_UX_TRIAGE_AND_AI_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVES_FIVE_SURFACES_OPERATING_MODEL.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVES_MARKET_BENCHMARK.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVE_AI_QUALITY_AND_OPERATING_PLAYBOOK.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVE_APPROVAL_GOVERNANCE_PROFILES.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVE_CARD_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVE_END_TO_END_LIFECYCLE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INITIATIVE_PROPOSAL_GENERATOR_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INSIGHT_GENERATOR_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INTERVIEW_ANSWER_ASSISTANCE_AND_VERIFICATION_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/INTERVIEW_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MANAGER_AS_IS_MVP_GAPS_AND_GOLDEN_FLOWS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/METHOD_LIBRARY_FIRST_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/METHOD_MODULE_FIVE_SURFACES_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_CALENDAR_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_CLIENT_VAULT_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_DOCUMENTATION_MAP.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_IDEAS_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_INBOX_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_MANAGER_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_NOTES_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_RUN_AGENT_REVIEW.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/MY_WORK_TASKS_AND_DECISIONS_OPERATING_SYSTEM.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_AS_IS_MVP_GAPS_AND_QUESTIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_CAPTURE_SEARCH_AI_AND_KNOWLEDGE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_COMPLETE_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_INFORMATION_ARCHITECTURE_AND_EDITOR_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_MARKET_BENCHMARK_AND_CAPABILITY_GAPS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_RIGHT_RAIL_MINIMALISM_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/NOTES_TARGET_IMPLEMENTATION_BLUEPRINT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/PROJECT_TEAM_ROLES_AND_PIPELINE_GOVERNANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/QUESTION_ARTIFACT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/QUESTION_GENERATOR_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_AS_IS_MVP_GAPS_GOLDEN_FLOWS_AND_AUDIT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_BENCHMARK_AND_PRODUCT_DOCTRINE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_CROSS_MODULE_AND_CONNECTOR_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_DATA_API_EVENTS_AND_OBSERVABILITY_BLUEPRINT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_EXECUTION_APPROVALS_RESILIENCE_AND_SECURITY.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_INFORMATION_ARCHITECTURE_AND_UX_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_PROCESS_MODEL_AND_BLOCK_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_ROLES_MANUAL_EDITING_TERESA_AND_CONNECTIONS_AUDIT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/RUN_AGENT_TERESA_COPILOT_AND_PROCESS_DESIGN_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/SETTINGS_AS_IS_MVP_GAPS_GOLDEN_FLOWS_AND_AUDIT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/SETTINGS_COMPLETE_PRODUCT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/SETTINGS_DATA_SECURITY_INTEGRATIONS_AND_CHANGE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/SETTINGS_INFORMATION_ARCHITECTURE_OWNERSHIP_AND_INHERITANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TASKS_AND_DECISIONS_AS_IS_MVP_GAPS_AND_GOLDEN_FLOWS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TASKS_COMPLETE_PRODUCT_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TERESA_ASSESSMENT_FACILITATION_PLAYBOOK.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TERESA_INITIATIVE_TO_EXECUTION_AI_SYSTEM.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TOOL_ARTIFACT_FUNCTION_CATALOG.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TOOL_ARTIFACT_TYPE_CONTRACT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/TOOL_SESSION_WORKSPACE_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/UI_COMPONENT_STANDARD_ADOPTION_AUDIT_2026-07-31.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/UNIVERSAL_CONNECTORS_DOCUMENTATION_READINESS_AUDIT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/UNIVERSAL_CONNECTOR_PLATFORM_MCP_LIKE_STANDARD.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/USER_PROFILE_AS_IS_GAPS_DATA_CONSOLIDATION_AND_GOLDEN_FLOWS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/AGREEMENTS/USER_PROFILE_COMPLETE_CONTRACT_BENCHMARK_AND_VISIBILITY.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/ARTIFACT_STABILIZATION_COMPLETION_AUDIT_2026-08-01.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CHAT_002_COMPOSER_STREAMING_TOOLS_ACCEPTANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CHAT_003_RETRIEVAL_CITATION_PROVENANCE_ACCEPTANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CHAT_004_TERESA_ACTION_REGISTRY_ACCEPTANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CHAT_005_PROPOSAL_APPROVAL_AUDIT_ACCEPTANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CLAUDE_EXECUTION_BACKLOG_V1.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CLAUDE_PARALLEL_LAUNCH_PROMPTS_2026-08-01.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CLAUDE_START_INSTRUCTIONS.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CONCEPTUAL_WORK_PROTOCOL.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CROSS_MODULE_FINAL_CONSISTENCY_AUDIT.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/CURRENT_MVP_CONTROL.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/DECISION_REGISTER.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/ENVIRONMENT_AND_NAMING_AUTHORITY.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/EVIDENCE_AND_RELEASE_GATE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/EXCEL_TECHNOLOGY_DECISION.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/FINAL_DEMO_RUNTIME_BASELINE_2026-08-03.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/FINAL_INTEGRATION_MANIFEST_2026-08-03.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/FINAL_INTEGRATION_REPORT_2026-08-03.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/FINAL_TREE_AND_PLACEHOLDER_AUDIT_2026-08-03.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/FRAGMENT_INVENTORY.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/FULL_RECONNAISSANCE_AND_ROADMAP.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/INTEGRATE_DECISION_INITIATIVE_EXECUTION_GATE_2026-08-01.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/INTEGRATION_CONSOLIDATION_PROGRAM.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/INTEGRATION_GATE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/INT_001_TEMPLATE_PUBLICATION_ACCEPTANCE.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/LINE_C_INI005_CODEX_CORRECTION_ROUND_2026-08-01.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/LINE_C_INI005_EXE003_HANDOFF_2026-08-01.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/MASTER_EXECUTION_PLAN.md	YES	FILE
dokumentacja modułu	docs/program/WEEKEND_COMPLETION_2026-08-01/MASTER_PRODUCT_DECISIONS_FOR_APPROVAL.md	YES	FILE
