path	class	status	lines_added
server/src/services/audits/__tests__/verificationService.test.ts	TEST	ADDED	220
server/src/services/audits/aiProposalService.ts	MODULE_OWNED	ADDED	1390
server/src/services/audits/auditTrailService.ts	MODULE_OWNED	ADDED	338
server/src/services/audits/auditsDb.ts	MODULE_OWNED	ADDED	203
server/src/services/audits/correctiveActionService.ts	MODULE_OWNED	ADDED	559
server/src/services/audits/criterionService.ts	MODULE_OWNED	ADDED	606
server/src/services/audits/evidenceService.ts	MODULE_OWNED	ADDED	593
server/src/services/audits/findingService.ts	MODULE_OWNED	ADDED	1077
server/src/services/audits/kernelEventMap.ts	MODULE_OWNED	ADDED	102
server/src/services/audits/lifecycle.ts	MODULE_OWNED	ADDED	205
server/src/services/audits/normSourceService.ts	MODULE_OWNED	ADDED	482
server/src/services/audits/outputService.ts	MODULE_OWNED	ADDED	613
server/src/services/audits/packSeed.ts	MODULE_OWNED	ADDED	358
server/src/services/audits/packService.ts	MODULE_OWNED	ADDED	1006
server/src/services/audits/packValidator.ts	MODULE_OWNED	ADDED	505
server/src/services/audits/permissions.ts	MODULE_OWNED	ADDED	463
server/src/services/audits/programService.ts	MODULE_OWNED	ADDED	1088
server/src/services/audits/proposalService.ts	MODULE_OWNED	ADDED	575
server/src/services/audits/reportRenderer.ts	MODULE_OWNED	ADDED	707
server/src/services/audits/reportService.ts	MODULE_OWNED	ADDED	404
server/src/services/audits/types.ts	MODULE_OWNED	ADDED	838
server/src/services/audits/verificationService.ts	MODULE_OWNED	ADDED	339
src/components/Audit/method/AuditsMethodHub.tsx	MODULE_OWNED	ADDED	404
src/components/Audit/method/__tests__/AuditLibraryTab.test.tsx	TEST	ADDED	281
src/components/Audit/method/__tests__/AuditOutputsTab.test.tsx	TEST	ADDED	49
src/components/Audit/method/__tests__/AuditsMethodHub.processesLabel.test.tsx	TEST	ADDED	66
src/components/Audit/method/__tests__/AuditsMethodHub.test.tsx	TEST	ADDED	300
src/components/Audit/method/__tests__/auditStatusTones.test.ts	TEST	ADDED	189
src/components/Audit/method/auditRoleLabels.ts	MODULE_OWNED	ADDED	43
src/components/Audit/method/auditStatusTones.ts	MODULE_OWNED	ADDED	233
src/components/Audit/method/auditsMethodApi.ts	MODULE_OWNED	ADDED	484
src/components/Audit/method/tabs/AuditInitiativesTab.tsx	MODULE_OWNED	ADDED	147
src/components/Audit/method/tabs/AuditLibraryTab.tsx	MODULE_OWNED	ADDED	393
src/components/Audit/method/tabs/AuditOutputsTab.tsx	MODULE_OWNED	ADDED	178
src/components/Audit/method/tabs/AuditProcessesTab.tsx	MODULE_OWNED	ADDED	348
src/components/Audit/method/tabs/AuditReportsTab.tsx	MODULE_OWNED	ADDED	127
src/components/Audit/method/workspace/CriterionChain.tsx	MODULE_OWNED	ADDED	76
src/components/Audit/method/workspace/CriterionWorkspace.tsx	MODULE_OWNED	ADDED	616
src/components/Audit/method/workspace/EvidencePanel.tsx	MODULE_OWNED	ADDED	290
src/components/Audit/method/workspace/FindingPanel.tsx	MODULE_OWNED	ADDED	470
src/components/Audit/method/workspace/RemediationPanel.tsx	MODULE_OWNED	ADDED	329
src/components/Audit/method/workspace/TeresaProposalCard.tsx	MODULE_OWNED	ADDED	340
src/components/Audit/method/workspace/__tests__/CriterionWorkspace.test.tsx	TEST	ADDED	256
src/components/Audit/method/workspace/__tests__/EvidencePanel.test.tsx	TEST	ADDED	128
src/components/Audit/method/workspace/__tests__/FindingPanel.test.tsx	TEST	ADDED	139
src/components/Audit/method/workspace/__tests__/RemediationPanel.test.tsx	TEST	ADDED	155
src/components/Audit/method/workspace/__tests__/TeresaProposalCard.test.tsx	TEST	ADDED	138
src/components/Audit/method/workspace/workspaceApi.ts	MODULE_OWNED	ADDED	797
src/hooks/useFeatureFlags.tsx	FOREIGN_OR_SUSPECT	ADDED	24
src/method-core-adapters/audits/__tests__/auditsKernelAdapter.test.ts	TEST	ADDED	242
src/method-core-adapters/audits/auditsKernelAdapter.ts	MODULE_OWNED	ADDED	426
src/method-core/contracts/events.ts	SHARED_CONTRACT	ADDED	180
src/method-core/contracts/index.ts	SHARED_CONTRACT	ADDED	83
src/method-core/contracts/methodPack.ts	SHARED_CONTRACT	ADDED	262
src/method-core/contracts/session.ts	SHARED_CONTRACT	ADDED	189
src/method-core/contracts/teresa.ts	SHARED_CONTRACT	ADDED	186
src/routes/AppRoutes.tsx	FOREIGN_OR_SUSPECT	ADDED	88
