criterion_id,applicable,status,implementation_or_evidence,test_ref,result,final_sha,blocker_group,owner_of_missing_dependency,source_file_line
CW-02-010-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:73; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,SAVED-VIEWS-NO-EVIDENCE,Case Workspace UI (Zlecenia list saved views),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:73
CW-02-011-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:82; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:82
CW-02-012-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:88; maps to one or more of the required su",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:88
CW-02-013-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:103; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:103
CW-02-014-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:115; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:115
CW-02-015-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:127; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,PLAN-EKSPERCKI-LISTA-NO-EVIDENCE,"Case Workspace UI (Plan tab, Ekspercki/Lista projections)",docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:127
CW-02-016-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:133; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:133
CW-02-017-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:137; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:137
CW-02-018-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:147; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:147
CW-02-019-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:151; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:151
CW-02-020-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:162; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:162
CW-02-021-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:166; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:166
CW-02-022-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:180; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:180
CW-02-023-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:193; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:193
CW-02-024-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:199; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,WAITS-UI-NO-EVIDENCE,Case Workspace UI (Realizacja wait-state rendering),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:199
CW-02-025-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:210; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:210
CW-02-027-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:233; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:233
CW-02-028-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:248; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:248
CW-02-036-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:310; maps to one or more of the required s",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/02_INFORMATION_ARCHITECTURE_AND_UX.md:310
CW-03-001-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:11; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:11
CW-03-002-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:24; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,PLAN-EKSPERCKI-LISTA-NO-EVIDENCE,"Case Workspace UI (Plan tab, Ekspercki/Lista projections)",docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:24
CW-03-003-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:26; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:26
CW-03-005-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:39; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:39
CW-03-006-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:49; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:49
CW-03-007-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:53; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:53
CW-03-009-M4,APPLICABLE,FAIL,"Screen: Case Detail (any case), Plan tab, right panel 'Akcje'. Viewport: all (not size-dependent). Element: plan-version status pill/command-banner text and the right-panel status pill (e.g. 'Plan: Za",,FAIL,PENDING-CANDIDATE-SHA,RESOLVED,n/a — see evidence_ref/test_ref columns directly,docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:66
CW-03-010-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:72; maps to one or more of the requir",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:72
CW-03-018-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:124; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:124
CW-03-019-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:132; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,PLAN-EKSPERCKI-LISTA-NO-EVIDENCE,"Case Workspace UI (Plan tab, Ekspercki/Lista projections)",docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:132
CW-03-020-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:140; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,MOBILE-NO-EVIDENCE,Case Workspace UI (Zlecenia list <768px),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:140
CW-03-022-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:154; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:154
CW-03-023-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:165; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,ZOOM-200-NO-EVIDENCE,"Case Workspace UI (200% zoom sweep, all surfaces)",docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:165
CW-03-024-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:174; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:174
CW-03-025-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:182; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:182
CW-03-026-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:193; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:193
CW-03-027-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:195; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:195
CW-03-028-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:209; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/03_INTERACTION_RESPONSIVE_ACCESSIBILITY.md:209
CW-RT-038-U2,APPLICABLE,PASS_WITH_EVIDENCE,"docs/product/case-workspace/evidence/f3-partial-skipped-2026-08-12/README.md (2026-08-12), already cited in full by the existing superseding row CW-RT-038-U1 (IMPLEMENTED_AND_PROVEN, claude-l1-triada-",,PASS,PENDING-CANDIDATE-SHA,RESOLVED,n/a — see evidence_ref/test_ref columns directly,docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md:263
CW-RT-039-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md:266; maps to one or more of the required",,UNVERIFIED,PENDING-CANDIDATE-SHA,ATTENTION-QUEUE-SHARED,My Work module (shared cross-Case attention queue),docs/product/case-workspace/04_DOMAIN_RUNTIME_AND_STATE_MACHINES.md:266
CW-GR-002-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/05_CANONICAL_GRAPH_CAPABILITIES_AND_APIS.md:13; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/05_CANONICAL_GRAPH_CAPABILITIES_AND_APIS.md:13
CW-GR-003-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/05_CANONICAL_GRAPH_CAPABILITIES_AND_APIS.md:14; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/05_CANONICAL_GRAPH_CAPABILITIES_AND_APIS.md:14
CW-GR-004-M4,APPLICABLE,APPLICABLE_REQUIRED_V1,"M4 triada-applicability audit, 2026-08-12: confirmed in scope for Case Workspace V1 (source docs/product/case-workspace/05_CANONICAL_GRAPH_CAPABILITIES_AND_APIS.md:15; maps to one or more of the requi",,UNVERIFIED,PENDING-CANDIDATE-SHA,GENERIC-CW-SWEEP,Case Workspace UI (surfaces with partial evidence; this specific criterion unchecked),docs/product/case-workspace/05_CANONICAL_GRAPH_CAPABILITIES_AND_APIS.md:15
