atomic_id,table_id,area,checkpoint_id,severity,primary_package,rationale,status,accepted_sha,qa_evidence,disposition,candidate_sha,evidence
T04-TABLE-T28,T04,TABLE,T28,P0,R17,P0 registry/semantic package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T05-KEBAB-K18,T05,KEBAB,K18,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T05-KEBAB-K19,T05,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T05-MENU_1_2_3-M16,T05,MENU_1_2_3,M16,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T05-PPM-C12,T05,PPM,C12,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T05-PREVIEW-P25,T05,PREVIEW,P25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T05-TABLE-T11,T05,TABLE,T11,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-KEBAB-K11,T06,KEBAB,K11,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-KEBAB-K18,T06,KEBAB,K18,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-KEBAB-K19,T06,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-MENU_1_2_3-M16,T06,MENU_1_2_3,M16,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-MENU_1_2_3-M26,T06,MENU_1_2_3,M26,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-PPM-C05,T06,PPM,C05,P0,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-PPM-C12,T06,PPM,C12,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-PREVIEW-P25,T06,PREVIEW,P25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T06-TABLE-T01,T06,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T07-KEBAB-K19,T07,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T07-KEBAB-K20,T07,KEBAB,K20,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T07-MENU_1_2_3-M14,T07,MENU_1_2_3,M14,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T07-PPM-C12,T07,PPM,C12,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T07-PREVIEW-P13,T07,PREVIEW,P13,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T07-PREVIEW-P25,T07,PREVIEW,P25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T08-KEBAB-K19,T08,KEBAB,K19,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T08-KEBAB-K20,T08,KEBAB,K20,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T08-MENU_1_2_3-M16,T08,MENU_1_2_3,M16,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T08-PPM-C12,T08,PPM,C12,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T08-PREVIEW-P13,T08,PREVIEW,P13,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T08-PREVIEW-P25,T08,PREVIEW,P25,P1,R20,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-KEBAB-K18,T09,KEBAB,K18,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-KEBAB-K19,T09,KEBAB,K19,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-MENU_1_2_3-M04,T09,MENU_1_2_3,M04,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-MENU_1_2_3-M16,T09,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-PPM-C12,T09,PPM,C12,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-PREVIEW-P25,T09,PREVIEW,P25,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-PREVIEW-P30,T09,PREVIEW,P30,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T09-TABLE-T27,T09,TABLE,T27,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-KEBAB-K18,T10,KEBAB,K18,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-KEBAB-K19,T10,KEBAB,K19,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-KEBAB-K20,T10,KEBAB,K20,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-MENU_1_2_3-M05,T10,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-MENU_1_2_3-M16,T10,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-MENU_1_2_3-M26,T10,MENU_1_2_3,M26,P0,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-PPM-C12,T10,PPM,C12,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-PREVIEW-P29,T10,PREVIEW,P29,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T10-TABLE-T08,T10,TABLE,T08,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-KEBAB-K18,T11,KEBAB,K18,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-KEBAB-K19,T11,KEBAB,K19,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-MENU_1_2_3-M05,T11,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-MENU_1_2_3-M16,T11,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-MENU_1_2_3-M26,T11,MENU_1_2_3,M26,P0,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-PPM-C12,T11,PPM,C12,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-PREVIEW-P25,T11,PREVIEW,P25,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-PREVIEW-P29,T11,PREVIEW,P29,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T11-TABLE-T01,T11,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-KEBAB-K10,T12,KEBAB,K10,P2,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-KEBAB-K18,T12,KEBAB,K18,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-KEBAB-K19,T12,KEBAB,K19,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-MENU_1_2_3-M05,T12,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-MENU_1_2_3-M16,T12,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-PPM-C12,T12,PPM,C12,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-PREVIEW-P25,T12,PREVIEW,P25,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T12-PREVIEW-P29,T12,PREVIEW,P29,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-KEBAB-K10,T13,KEBAB,K10,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-KEBAB-K18,T13,KEBAB,K18,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-KEBAB-K19,T13,KEBAB,K19,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-MENU_1_2_3-M05,T13,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-MENU_1_2_3-M16,T13,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-PPM-C12,T13,PPM,C12,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-PREVIEW-P25,T13,PREVIEW,P25,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T13-PREVIEW-P29,T13,PREVIEW,P29,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-KEBAB-K18,T14,KEBAB,K18,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-KEBAB-K19,T14,KEBAB,K19,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-MENU_1_2_3-M05,T14,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-MENU_1_2_3-M16,T14,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-PPM-C12,T14,PPM,C12,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-PREVIEW-P25,T14,PREVIEW,P25,P0,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T14-PREVIEW-P29,T14,PREVIEW,P29,P1,R21,module migration,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T15-KEBAB-K18,T15,KEBAB,K18,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-KEBAB-K19,T15,KEBAB,K19,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-MENU_1_2_3-M14,T15,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-PPM-C12,T15,PPM,C12,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-PREVIEW-P01,T15,PREVIEW,P01,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-PREVIEW-P25,T15,PREVIEW,P25,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-PREVIEW-P29,T15,PREVIEW,P29,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T15-TABLE-T08,T15,TABLE,T08,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-KEBAB-K18,T16,KEBAB,K18,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-KEBAB-K19,T16,KEBAB,K19,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-MENU_1_2_3-M14,T16,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-MENU_1_2_3-M26,T16,MENU_1_2_3,M26,P0,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-PPM-C12,T16,PPM,C12,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-PREVIEW-P25,T16,PREVIEW,P25,P1,R22,module migration,OPEN,,,VISUAL_PENDING,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,"REPAIR_STATUS R22 row: T16-T19 Details P25 + all 10 T20 atoms accepted with numbered scoped-test evidence (77/77, 83/83) and diff-check"
T16-PREVIEW-P29,T16,PREVIEW,P29,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T16-TABLE-T01,T16,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,,BLOCKED_OWNERSHIP,,protected domain (Finance/MyWork/Calendar/Interview) or entangled with un-isolated shared diffs (R19)
T16-TABLE-T08,T16,TABLE,T08,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T17-KEBAB-K18,T17,KEBAB,K18,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T17-KEBAB-K19,T17,KEBAB,K19,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T17-MENU_1_2_3-M14,T17,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T17-PPM-C12,T17,PPM,C12,P1,R22,module migration,OPEN,,,OPEN_CONFIRMED,,not covered by this package's concrete file/test evidence
T17-PREVIEW-P25,T17,PREVIEW,P25,P0,R22,module migration,OPEN,,,VISUAL_PENDING,da6e409e2b262dddf1b5d347a5bdde593d86cb7a,"REPAIR_STATUS R22 row: T16-T19 Details P25 + all 10 T20 atoms accepted with numbered scoped-test evidence (77/77, 83/83) and diff-check"
