atomic_id,table_id,area,checkpoint_id,severity,primary_package,rationale,status,accepted_sha,qa_evidence
T07-PREVIEW-P25,T07,PREVIEW,P25,P1,R20,module migration,OPEN,,
T08-KEBAB-K19,T08,KEBAB,K19,P1,R20,module migration,OPEN,,
T08-KEBAB-K20,T08,KEBAB,K20,P1,R20,module migration,OPEN,,
T08-MENU_1_2_3-M16,T08,MENU_1_2_3,M16,P1,R20,module migration,OPEN,,
T08-PPM-C12,T08,PPM,C12,P1,R20,module migration,OPEN,,
T08-PREVIEW-P13,T08,PREVIEW,P13,P1,R20,module migration,OPEN,,
T08-PREVIEW-P25,T08,PREVIEW,P25,P1,R20,module migration,OPEN,,
T09-KEBAB-K18,T09,KEBAB,K18,P1,R21,module migration,OPEN,,
T09-KEBAB-K19,T09,KEBAB,K19,P1,R21,module migration,OPEN,,
T09-MENU_1_2_3-M04,T09,MENU_1_2_3,M04,P1,R21,module migration,OPEN,,
T09-MENU_1_2_3-M16,T09,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,
T09-PPM-C12,T09,PPM,C12,P1,R21,module migration,OPEN,,
T09-PREVIEW-P25,T09,PREVIEW,P25,P1,R21,module migration,OPEN,,
T09-PREVIEW-P30,T09,PREVIEW,P30,P1,R21,module migration,OPEN,,
T09-TABLE-T27,T09,TABLE,T27,P1,R21,module migration,OPEN,,
T10-KEBAB-K18,T10,KEBAB,K18,P1,R21,module migration,OPEN,,
T10-KEBAB-K19,T10,KEBAB,K19,P1,R21,module migration,OPEN,,
T10-KEBAB-K20,T10,KEBAB,K20,P1,R21,module migration,OPEN,,
T10-MENU_1_2_3-M05,T10,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,
T10-MENU_1_2_3-M16,T10,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,
T10-MENU_1_2_3-M26,T10,MENU_1_2_3,M26,P0,R21,module migration,OPEN,,
T10-PPM-C12,T10,PPM,C12,P1,R21,module migration,OPEN,,
T10-PREVIEW-P29,T10,PREVIEW,P29,P1,R21,module migration,OPEN,,
T10-TABLE-T08,T10,TABLE,T08,P1,R21,module migration,OPEN,,
T11-KEBAB-K18,T11,KEBAB,K18,P1,R21,module migration,OPEN,,
T11-KEBAB-K19,T11,KEBAB,K19,P1,R21,module migration,OPEN,,
T11-MENU_1_2_3-M05,T11,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,
T11-MENU_1_2_3-M16,T11,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,
T11-MENU_1_2_3-M26,T11,MENU_1_2_3,M26,P0,R21,module migration,OPEN,,
T11-PPM-C12,T11,PPM,C12,P1,R21,module migration,OPEN,,
T11-PREVIEW-P25,T11,PREVIEW,P25,P1,R21,module migration,OPEN,,
T11-PREVIEW-P29,T11,PREVIEW,P29,P1,R21,module migration,OPEN,,
T11-TABLE-T01,T11,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,
T12-KEBAB-K10,T12,KEBAB,K10,P2,R21,module migration,OPEN,,
T12-KEBAB-K18,T12,KEBAB,K18,P1,R21,module migration,OPEN,,
T12-KEBAB-K19,T12,KEBAB,K19,P1,R21,module migration,OPEN,,
T12-MENU_1_2_3-M05,T12,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,
T12-MENU_1_2_3-M16,T12,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,
T12-PPM-C12,T12,PPM,C12,P1,R21,module migration,OPEN,,
T12-PREVIEW-P25,T12,PREVIEW,P25,P1,R21,module migration,OPEN,,
T12-PREVIEW-P29,T12,PREVIEW,P29,P1,R21,module migration,OPEN,,
T13-KEBAB-K10,T13,KEBAB,K10,P1,R21,module migration,OPEN,,
T13-KEBAB-K18,T13,KEBAB,K18,P1,R21,module migration,OPEN,,
T13-KEBAB-K19,T13,KEBAB,K19,P1,R21,module migration,OPEN,,
T13-MENU_1_2_3-M05,T13,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,
T13-MENU_1_2_3-M16,T13,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,
T13-PPM-C12,T13,PPM,C12,P1,R21,module migration,OPEN,,
T13-PREVIEW-P25,T13,PREVIEW,P25,P1,R21,module migration,OPEN,,
T13-PREVIEW-P29,T13,PREVIEW,P29,P1,R21,module migration,OPEN,,
T14-KEBAB-K18,T14,KEBAB,K18,P1,R21,module migration,OPEN,,
T14-KEBAB-K19,T14,KEBAB,K19,P1,R21,module migration,OPEN,,
T14-MENU_1_2_3-M05,T14,MENU_1_2_3,M05,P1,R21,module migration,OPEN,,
T14-MENU_1_2_3-M16,T14,MENU_1_2_3,M16,P1,R21,module migration,OPEN,,
T14-PPM-C12,T14,PPM,C12,P1,R21,module migration,OPEN,,
T14-PREVIEW-P25,T14,PREVIEW,P25,P0,R21,module migration,OPEN,,
T14-PREVIEW-P29,T14,PREVIEW,P29,P1,R21,module migration,OPEN,,
T15-KEBAB-K18,T15,KEBAB,K18,P1,R22,module migration,OPEN,,
T15-KEBAB-K19,T15,KEBAB,K19,P1,R22,module migration,OPEN,,
T15-MENU_1_2_3-M14,T15,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,
T15-PPM-C12,T15,PPM,C12,P1,R22,module migration,OPEN,,
T15-PREVIEW-P01,T15,PREVIEW,P01,P1,R22,module migration,OPEN,,
T15-PREVIEW-P25,T15,PREVIEW,P25,P1,R22,module migration,OPEN,,
T15-PREVIEW-P29,T15,PREVIEW,P29,P1,R22,module migration,OPEN,,
T15-TABLE-T08,T15,TABLE,T08,P1,R22,module migration,OPEN,,
T16-KEBAB-K18,T16,KEBAB,K18,P1,R22,module migration,OPEN,,
T16-KEBAB-K19,T16,KEBAB,K19,P1,R22,module migration,OPEN,,
T16-MENU_1_2_3-M14,T16,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,
T16-MENU_1_2_3-M26,T16,MENU_1_2_3,M26,P0,R22,module migration,OPEN,,
T16-PPM-C12,T16,PPM,C12,P1,R22,module migration,OPEN,,
T16-PREVIEW-P25,T16,PREVIEW,P25,P1,R22,module migration,OPEN,,
T16-PREVIEW-P29,T16,PREVIEW,P29,P1,R22,module migration,OPEN,,
T16-TABLE-T01,T16,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,
T16-TABLE-T08,T16,TABLE,T08,P1,R22,module migration,OPEN,,
T17-KEBAB-K18,T17,KEBAB,K18,P1,R22,module migration,OPEN,,
T17-KEBAB-K19,T17,KEBAB,K19,P1,R22,module migration,OPEN,,
T17-MENU_1_2_3-M14,T17,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,
T17-PPM-C12,T17,PPM,C12,P1,R22,module migration,OPEN,,
T17-PREVIEW-P25,T17,PREVIEW,P25,P0,R22,module migration,OPEN,,
T17-PREVIEW-P29,T17,PREVIEW,P29,P1,R22,module migration,OPEN,,
T17-TABLE-T08,T17,TABLE,T08,P1,R22,module migration,OPEN,,
T18-KEBAB-K18,T18,KEBAB,K18,P1,R22,module migration,OPEN,,
T18-KEBAB-K19,T18,KEBAB,K19,P1,R22,module migration,OPEN,,
T18-MENU_1_2_3-M14,T18,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,
T18-PPM-C12,T18,PPM,C12,P1,R22,module migration,OPEN,,
T18-PREVIEW-P25,T18,PREVIEW,P25,P0,R22,module migration,OPEN,,
T18-PREVIEW-P29,T18,PREVIEW,P29,P1,R22,module migration,OPEN,,
T18-TABLE-T08,T18,TABLE,T08,P1,R22,module migration,OPEN,,
T19-KEBAB-K18,T19,KEBAB,K18,P1,R22,module migration,OPEN,,
T19-KEBAB-K19,T19,KEBAB,K19,P1,R22,module migration,OPEN,,
T19-MENU_1_2_3-M14,T19,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,
T19-PPM-C12,T19,PPM,C12,P1,R22,module migration,OPEN,,
T19-PREVIEW-P25,T19,PREVIEW,P25,P1,R22,module migration,OPEN,,
T19-PREVIEW-P29,T19,PREVIEW,P29,P1,R22,module migration,OPEN,,
T19-TABLE-T08,T19,TABLE,T08,P1,R22,module migration,OPEN,,
T20-KEBAB-K10,T20,KEBAB,K10,P1,R22,module migration,OPEN,,
T20-KEBAB-K18,T20,KEBAB,K18,P1,R22,module migration,OPEN,,
T20-KEBAB-K19,T20,KEBAB,K19,P1,R22,module migration,OPEN,,
T20-MENU_1_2_3-M14,T20,MENU_1_2_3,M14,P0,R22,module migration,OPEN,,
T20-PPM-C12,T20,PPM,C12,P1,R22,module migration,OPEN,,
T20-PREVIEW-P01,T20,PREVIEW,P01,P0,R22,module migration,OPEN,,
T20-PREVIEW-P25,T20,PREVIEW,P25,P0,R22,module migration,OPEN,,
T20-PREVIEW-P29,T20,PREVIEW,P29,P0,R22,module migration,OPEN,,
T20-TABLE-T08,T20,TABLE,T08,P1,R22,module migration,OPEN,,
T20-TABLE-T12,T20,TABLE,T12,P1,R22,module migration,OPEN,,
T21-KEBAB-K18,T21,KEBAB,K18,P1,R23,module migration,OPEN,,
T21-KEBAB-K19,T21,KEBAB,K19,P1,R23,module migration,OPEN,,
T21-MENU_1_2_3-M16,T21,MENU_1_2_3,M16,P1,R23,module migration,OPEN,,
T21-PPM-C12,T21,PPM,C12,P1,R23,module migration,OPEN,,
T21-PREVIEW-P25,T21,PREVIEW,P25,P0,R23,module migration,OPEN,,
T21-PREVIEW-P29,T21,PREVIEW,P29,P1,R23,module migration,OPEN,,
T22-KEBAB-K01,T22,KEBAB,K01,P0,R10,P0 registry/semantic package,OPEN,,
T22-MENU_1_2_3-M14,T22,MENU_1_2_3,M14,P0,R10,P0 registry/semantic package,OPEN,,
T22-PPM-C01,T22,PPM,C01,P0,R10,P0 registry/semantic package,OPEN,,
T22-PREVIEW-P01,T22,PREVIEW,P01,P0,R10,P0 registry/semantic package,OPEN,,
T22-TABLE-T00,T22,TABLE,T00,P0,R10,P0 registry/semantic package,OPEN,,
T23-KEBAB-K18,T23,KEBAB,K18,P1,R23,module migration,OPEN,,
T23-KEBAB-K19,T23,KEBAB,K19,P1,R23,module migration,OPEN,,
T23-MENU_1_2_3-M01,T23,MENU_1_2_3,M01,P0,R23,module migration,OPEN,,
T23-MENU_1_2_3-M14,T23,MENU_1_2_3,M14,P0,R23,module migration,OPEN,,
T23-PPM-C12,T23,PPM,C12,P1,R23,module migration,OPEN,,
T23-PREVIEW-P25,T23,PREVIEW,P25,P0,R23,module migration,OPEN,,
T23-PREVIEW-P29,T23,PREVIEW,P29,P1,R23,module migration,OPEN,,
T23-TABLE-T08,T23,TABLE,T08,P1,R23,module migration,OPEN,,
T23-TABLE-T12,T23,TABLE,T12,P1,R23,module migration,OPEN,,
T24-KEBAB-K18,T24,KEBAB,K18,P1,R23,module migration,OPEN,,
T24-KEBAB-K19,T24,KEBAB,K19,P1,R23,module migration,OPEN,,
T24-MENU_1_2_3-M01,T24,MENU_1_2_3,M01,P0,R23,module migration,OPEN,,
T24-MENU_1_2_3-M14,T24,MENU_1_2_3,M14,P0,R23,module migration,OPEN,,
T24-MENU_1_2_3-M26,T24,MENU_1_2_3,M26,P0,R23,module migration,OPEN,,
T24-PPM-C12,T24,PPM,C12,P1,R23,module migration,OPEN,,
T24-PREVIEW-P25,T24,PREVIEW,P25,P0,R23,module migration,OPEN,,
T24-PREVIEW-P29,T24,PREVIEW,P29,P1,R23,module migration,OPEN,,
T24-TABLE-T01,T24,TABLE,T01,P0,R19,P0 responsive overflow package,OPEN,,
T24-TABLE-T12,T24,TABLE,T12,P1,R23,module migration,OPEN,,
T25-KEBAB-K18,T25,KEBAB,K18,P1,R24,module migration,OPEN,,
T25-KEBAB-K19,T25,KEBAB,K19,P1,R24,module migration,OPEN,,
T25-KEBAB-K20,T25,KEBAB,K20,P1,R24,module migration,OPEN,,
T25-PPM-C12,T25,PPM,C12,P1,R24,module migration,OPEN,,
T25-PREVIEW-P25,T25,PREVIEW,P25,P1,R24,module migration,OPEN,,
T25-PREVIEW-P29,T25,PREVIEW,P29,P1,R24,module migration,OPEN,,
T26-KEBAB-K01,T26,KEBAB,K01,P0,R13,P0 registry/semantic package,OPEN,,
T26-MENU_1_2_3-M14,T26,MENU_1_2_3,M14,P0,R13,P0 registry/semantic package,OPEN,,
T26-PPM-C01,T26,PPM,C01,P0,R13,P0 registry/semantic package,OPEN,,
T26-PREVIEW-P01,T26,PREVIEW,P01,P0,R13,P0 registry/semantic package,OPEN,,
T26-TABLE-T03,T26,TABLE,T03,P0,R13,P0 registry/semantic package,OPEN,,
T26-TABLE-T08,T26,TABLE,T08,P1,R24,module migration,OPEN,,
T26-TABLE-T12,T26,TABLE,T12,P0,R13,P0 registry/semantic package,OPEN,,
T27-KEBAB-K01,T27,KEBAB,K01,P0,R11,P0 registry/semantic package,OPEN,,
T27-MENU_1_2_3-M14,T27,MENU_1_2_3,M14,P0,R11,P0 registry/semantic package,OPEN,,
T27-PPM-C01,T27,PPM,C01,P0,R11,P0 registry/semantic package,OPEN,,
T27-PREVIEW-P01,T27,PREVIEW,P01,P0,R11,P0 registry/semantic package,OPEN,,
T27-TABLE-T00,T27,TABLE,T00,P0,R11,P0 registry/semantic package,OPEN,,
T28-KEBAB-K01,T28,KEBAB,K01,P0,R11,P0 registry/semantic package,OPEN,,
T28-MENU_1_2_3-M14,T28,MENU_1_2_3,M14,P0,R11,P0 registry/semantic package,OPEN,,
T28-PPM-C01,T28,PPM,C01,P0,R11,P0 registry/semantic package,OPEN,,
T28-PREVIEW-P01,T28,PREVIEW,P01,P0,R11,P0 registry/semantic package,OPEN,,
T28-TABLE-T00,T28,TABLE,T00,P0,R11,P0 registry/semantic package,OPEN,,
T29-KEBAB-K01,T29,KEBAB,K01,P0,R11,P0 registry/semantic package,OPEN,,
T29-MENU_1_2_3-M14,T29,MENU_1_2_3,M14,P0,R11,P0 registry/semantic package,OPEN,,
T29-PPM-C01,T29,PPM,C01,P0,R11,P0 registry/semantic package,OPEN,,
T29-PREVIEW-P01,T29,PREVIEW,P01,P0,R11,P0 registry/semantic package,OPEN,,
T29-TABLE-T00,T29,TABLE,T00,P0,R11,P0 registry/semantic package,OPEN,,
T30-KEBAB-K01,T30,KEBAB,K01,P0,R13,P0 registry/semantic package,OPEN,,
T30-MENU_1_2_3-M14,T30,MENU_1_2_3,M14,P0,R13,P0 registry/semantic package,OPEN,,
T30-PPM-C01,T30,PPM,C01,P0,R13,P0 registry/semantic package,OPEN,,
T30-PREVIEW-P01,T30,PREVIEW,P01,P0,R13,P0 registry/semantic package,OPEN,,
T30-TABLE-T03,T30,TABLE,T03,P0,R13,P0 registry/semantic package,OPEN,,
T30-TABLE-T08,T30,TABLE,T08,P1,R24,module migration,OPEN,,
T30-TABLE-T12,T30,TABLE,T12,P0,R13,P0 registry/semantic package,OPEN,,
T31-KEBAB-K01,T31,KEBAB,K01,P0,R14,P0 registry/semantic package,OPEN,,
T31-MENU_1_2_3-M14,T31,MENU_1_2_3,M14,P0,R14,P0 registry/semantic package,OPEN,,
T31-PPM-C01,T31,PPM,C01,P0,R14,P0 registry/semantic package,OPEN,,
T31-PREVIEW-P01,T31,PREVIEW,P01,P0,R14,P0 registry/semantic package,OPEN,,
T31-TABLE-T03,T31,TABLE,T03,P0,R14,P0 registry/semantic package,OPEN,,
T31-TABLE-T13,T31,TABLE,T13,P0,R14,P0 registry/semantic package,OPEN,,
T32-KEBAB-K18,T32,KEBAB,K18,P1,R25,module migration,OPEN,,
T32-MENU_1_2_3-M16,T32,MENU_1_2_3,M16,P1,R25,module migration,OPEN,,
T32-PPM-C12,T32,PPM,C12,P1,R25,module migration,OPEN,,
T32-PREVIEW-P25,T32,PREVIEW,P25,P1,R25,module migration,OPEN,,
T32-PREVIEW-P29,T32,PREVIEW,P29,P1,R25,module migration,OPEN,,
T32-TABLE-T13,T32,TABLE,T13,P0,R14,P0 registry/semantic package,OPEN,,
T33-KEBAB-K18,T33,KEBAB,K18,P1,R25,module migration,OPEN,,
T33-MENU_1_2_3-M16,T33,MENU_1_2_3,M16,P1,R25,module migration,OPEN,,
T33-PPM-C12,T33,PPM,C12,P1,R25,module migration,OPEN,,
T33-PREVIEW-P25,T33,PREVIEW,P25,P1,R25,module migration,OPEN,,
T33-PREVIEW-P29,T33,PREVIEW,P29,P1,R25,module migration,OPEN,,
T33-TABLE-T13,T33,TABLE,T13,P0,R14,P0 registry/semantic package,OPEN,,
T33-TABLE-T14,T33,TABLE,T14,P0,R14,P0 registry/semantic package,OPEN,,
T34-KEBAB-K05,T34,KEBAB,K05,P0,R25,module migration,OPEN,,
T34-KEBAB-K18,T34,KEBAB,K18,P1,R25,module migration,OPEN,,
T34-MENU_1_2_3-M16,T34,MENU_1_2_3,M16,P1,R25,module migration,OPEN,,
T34-PPM-C12,T34,PPM,C12,P1,R25,module migration,OPEN,,
T34-PREVIEW-P30,T34,PREVIEW,P30,P1,R25,module migration,OPEN,,
T35-KEBAB-K01,T35,KEBAB,K01,P0,R12,P0 registry/semantic package,OPEN,,
T35-MENU_1_2_3-M14,T35,MENU_1_2_3,M14,P0,R12,P0 registry/semantic package,OPEN,,
T35-PPM-C01,T35,PPM,C01,P0,R12,P0 registry/semantic package,OPEN,,
T35-PREVIEW-P01,T35,PREVIEW,P01,P0,R12,P0 registry/semantic package,OPEN,,
T35-TABLE-T13,T35,TABLE,T13,P0,R12,P0 registry/semantic package,OPEN,,
T36-KEBAB-K01,T36,KEBAB,K01,P0,R15,P0 registry/semantic package,OPEN,,
T36-MENU_1_2_3-M05,T36,MENU_1_2_3,M05,P1,R26,module migration,OPEN,,
T36-MENU_1_2_3-M14,T36,MENU_1_2_3,M14,P0,R15,P0 registry/semantic package,OPEN,,
T36-PPM-C01,T36,PPM,C01,P0,R15,P0 registry/semantic package,OPEN,,
T36-PREVIEW-P01,T36,PREVIEW,P01,P0,R15,P0 registry/semantic package,OPEN,,
T36-TABLE-T03,T36,TABLE,T03,P0,R15,P0 registry/semantic package,OPEN,,
T36-TABLE-T13,T36,TABLE,T13,P0,R15,P0 registry/semantic package,OPEN,,
T37-KEBAB-K01,T37,KEBAB,K01,P0,R15,P0 registry/semantic package,OPEN,,
T37-MENU_1_2_3-M05,T37,MENU_1_2_3,M05,P1,R26,module migration,OPEN,,
T37-MENU_1_2_3-M14,T37,MENU_1_2_3,M14,P0,R15,P0 registry/semantic package,OPEN,,
T37-PPM-C01,T37,PPM,C01,P0,R15,P0 registry/semantic package,OPEN,,
T37-PREVIEW-P01,T37,PREVIEW,P01,P0,R15,P0 registry/semantic package,OPEN,,
T37-TABLE-T03,T37,TABLE,T03,P0,R15,P0 registry/semantic package,OPEN,,
T37-TABLE-T13,T37,TABLE,T13,P0,R15,P0 registry/semantic package,OPEN,,
T38-KEBAB-K01,T38,KEBAB,K01,P0,R15,P0 registry/semantic package,OPEN,,
T38-MENU_1_2_3-M05,T38,MENU_1_2_3,M05,P1,R26,module migration,OPEN,,
T38-MENU_1_2_3-M14,T38,MENU_1_2_3,M14,P0,R15,P0 registry/semantic package,OPEN,,
T38-PPM-C01,T38,PPM,C01,P0,R15,P0 registry/semantic package,OPEN,,
T38-PREVIEW-P01,T38,PREVIEW,P01,P0,R15,P0 registry/semantic package,OPEN,,
T38-TABLE-T03,T38,TABLE,T03,P0,R15,P0 registry/semantic package,OPEN,,
T38-TABLE-T13,T38,TABLE,T13,P0,R15,P0 registry/semantic package,OPEN,,
T39-KEBAB-K18,T39,KEBAB,K18,P1,R27,module migration,OPEN,,
T39-MENU_1_2_3-M16,T39,MENU_1_2_3,M16,P1,R27,module migration,OPEN,,
T39-PPM-C12,T39,PPM,C12,P1,R27,module migration,OPEN,,
T39-PREVIEW-P25,T39,PREVIEW,P25,P1,R27,module migration,OPEN,,
T39-PREVIEW-P29,T39,PREVIEW,P29,P1,R27,module migration,OPEN,,
T40-KEBAB-K06,T40,KEBAB,K06,P1,R27,module migration,OPEN,,
T40-KEBAB-K18,T40,KEBAB,K18,P1,R27,module migration,OPEN,,
T40-MENU_1_2_3-M16,T40,MENU_1_2_3,M16,P1,R27,module migration,OPEN,,
T40-PPM-C12,T40,PPM,C12,P1,R27,module migration,OPEN,,
T40-PREVIEW-P25,T40,PREVIEW,P25,P1,R27,module migration,OPEN,,
T40-PREVIEW-P30,T40,PREVIEW,P30,P0,R16,P0 registry/semantic package,OPEN,,
T40-TABLE-T13,T40,TABLE,T13,P0,R16,P0 registry/semantic package,OPEN,,
T41-KEBAB-K18,T41,KEBAB,K18,P1,R27,module migration,OPEN,,
T41-MENU_1_2_3-M16,T41,MENU_1_2_3,M16,P1,R27,module migration,OPEN,,
T41-PPM-C12,T41,PPM,C12,P1,R27,module migration,OPEN,,
T41-PREVIEW-P25,T41,PREVIEW,P25,P1,R27,module migration,OPEN,,
T41-PREVIEW-P30,T41,PREVIEW,P30,P1,R27,module migration,OPEN,,
T41-TABLE-T13,T41,TABLE,T13,P0,R16,P0 registry/semantic package,OPEN,,
T42-KEBAB-K18,T42,KEBAB,K18,P1,R27,module migration,OPEN,,
T42-MENU_1_2_3-M16,T42,MENU_1_2_3,M16,P1,R27,module migration,OPEN,,
T42-PPM-C12,T42,PPM,C12,P1,R27,module migration,OPEN,,
T42-PREVIEW-P25,T42,PREVIEW,P25,P1,R27,module migration,OPEN,,
T42-PREVIEW-P30,T42,PREVIEW,P30,P0,R16,P0 registry/semantic package,OPEN,,
T42-TABLE-T13,T42,TABLE,T13,P0,R16,P0 registry/semantic package,OPEN,,
T43-KEBAB-K18,T43,KEBAB,K18,P1,R27,module migration,OPEN,,
T43-MENU_1_2_3-M16,T43,MENU_1_2_3,M16,P1,R27,module migration,OPEN,,
T43-PPM-C12,T43,PPM,C12,P1,R27,module migration,OPEN,,
T43-PREVIEW-P25,T43,PREVIEW,P25,P1,R27,module migration,OPEN,,
T43-PREVIEW-P30,T43,PREVIEW,P30,P0,R16,P0 registry/semantic package,OPEN,,
T43-TABLE-T13,T43,TABLE,T13,P0,R16,P0 registry/semantic package,OPEN,,
T44-KEBAB-K18,T44,KEBAB,K18,P1,R28,module migration,OPEN,,
T44-MENU_1_2_3-M16,T44,MENU_1_2_3,M16,P1,R28,module migration,OPEN,,
T44-PPM-C12,T44,PPM,C12,P1,R28,module migration,OPEN,,
T44-PREVIEW-P25,T44,PREVIEW,P25,P1,R28,module migration,OPEN,,
T44-PREVIEW-P29,T44,PREVIEW,P29,P1,R28,module migration,OPEN,,
